Date,Open,High,Low,Close,Adj Close,Volume
2018-01-17,1.16,1.56,1.16,1.47,1.47,1886800
2018-01-18,1.74,2.26,1.66,1.82,1.82,3317400
2018-01-19,1.69,1.82,1.67,1.73,1.73,2426900
2018-01-22,1.75,1.87,1.75,1.79,1.79,1643000
2018-01-23,1.87,2.06,1.77,1.86,1.86,9190700
2018-01-24,1.94,2,1.91,1.96,1.96,14822800
2018-01-25,2,2.26,1.96,2.02,2.02,2598700
2018-01-26,2.1,2.14,2.02,2.06,2.06,1249500
2018-01-29,2.1,2.14,2.1,2.14,2.14,77500
2018-01-30,2.16,2.32,2.12,2.12,2.12,3876000
2018-01-31,2.18,2.18,2.02,2.02,2.02,1742100
2018-02-01,2.06,2.06,1.95,1.98,1.98,485300
2018-02-02,2.02,2.04,1.98,1.98,1.98,767500
2018-02-05,1.91,1.95,1.8,1.83,1.83,3153100
2018-02-06,1.72,1.91,1.6,1.8,1.8,2428300
2018-02-07,1.97,2.12,1.91,2,2,1026700
2018-02-08,2.14,2.68,2.14,2.66,2.66,2015500
2018-02-09,2.58,3.02,2.58,2.9,2.9,1054700
2018-02-12,3.02,3.1,2.72,2.82,2.82,975800
2018-02-13,2.82,2.86,2.68,2.68,2.68,252600
2018-02-14,2.76,2.76,2.58,2.6,2.6,14700
2018-02-15,2.64,2.64,2.58,2.58,2.58,250000
2018-02-16,2.74,3.84,2.74,3.84,3.84,1211600
2018-02-19,3.9,4,3.26,3.26,3.26,1139800
2018-02-20,3.3,3.3,2.76,2.76,2.76,3820100
2018-02-21,2.82,3,2.6,2.92,2.92,939200
2018-02-22,2.92,2.94,1.92,1.92,1.92,615700
2018-02-23,2.34,2.68,2.14,2.68,2.68,227700
2018-02-26,2.62,2.96,2.54,2.88,2.88,791400
2018-02-27,3.02,3.02,2.88,2.88,2.88,329300
2018-02-28,2.74,2.98,2.74,2.74,2.74,46100
2018-03-02,2.66,2.66,2.16,2.16,2.16,36900
2018-03-05,2.34,2.46,2.06,2.06,2.06,116400
2018-03-06,2.3,2.3,1.66,1.79,1.79,143600
2018-03-07,1.94,1.94,1.91,1.91,1.91,800
2018-03-08,1.92,1.92,1.72,1.72,1.72,3600
2018-03-09,1.79,1.79,1.68,1.72,1.72,1800
2018-03-12,2,2.28,1.76,2.28,2.28,446200
2018-03-13,2.32,2.52,2.26,2.52,2.52,677800
2018-03-14,2.36,2.48,2.36,2.36,2.36,455500
2018-03-15,2.46,2.72,2.38,2.66,2.66,94700
2018-03-16,2.64,2.64,2.6,2.6,2.6,5200
2018-03-19,2.6,2.66,2.6,2.66,2.66,7300
2018-03-22,2.76,2.86,2.7,2.86,2.86,111000
2018-03-23,3.1,3.12,3.04,3.06,3.06,11000
2018-03-26,3.26,3.72,3.26,3.72,3.72,136500
2018-03-27,3.7,4.06,3.7,4.06,4.06,117900
2018-03-28,4.08,4.5,4.08,4.34,4.34,107300
2018-03-29,4.4,4.52,4.34,4.52,4.52,28300
2018-03-30,4.7,4.7,4.2,4.2,4.2,1356000
2018-04-02,4.4,5.3,3.98,5.3,5.3,41600
2018-04-03,4.7,5,3.82,3.82,3.82,1285600
2018-04-04,3.62,3.64,2.6,2.76,2.76,1274800
2018-04-05,3.12,5,3.12,4.9,4.9,4242900
2018-04-09,4.7,4.9,4.54,4.54,4.54,773200
2018-04-10,4.7,5.2,4.42,4.66,4.66,1345100
2018-04-11,4.72,4.76,4.5,4.66,4.66,412000
2018-04-12,4.74,4.74,4.12,4.16,4.16,628300
2018-04-17,4.14,4.54,4.04,4.44,4.44,251300
2018-04-18,4.98,5.3,4.74,5.3,5.3,393200
2018-04-19,5.25,5.85,5.25,5.85,5.85,10400
2018-04-20,5.25,5.85,5.25,5.8,5.8,2300
2018-04-23,5.4,5.7,4.86,4.86,4.86,36900
