Date,Open,High,Low,Close,Adj Close,Volume
2016-03-03,2.04,2.08,2.04,2.08,2.08,214400
2016-03-04,2.08,2.14,2.06,2.14,2.14,139000
2016-03-07,2.12,2.12,2.08,2.08,2.08,146600
2016-03-08,2.06,2.1,2.06,2.1,2.1,64200
2016-03-11,2.04,2.04,2.04,2.04,2.04,167800
2016-03-14,2,2,1.94,1.94,1.94,101200
2016-03-15,1.91,1.91,1.9,1.9,1.9,16200
2016-03-16,1.85,1.94,1.85,1.91,1.91,172400
2016-03-17,1.87,1.88,1.84,1.84,1.84,171500
2016-03-18,1.84,1.9,1.84,1.9,1.9,25800
2016-03-21,1.85,1.88,1.85,1.87,1.87,74400
2016-03-22,1.88,2.02,1.88,2.02,2.02,94900
2016-03-23,1.97,1.97,1.89,1.89,1.89,190000
2016-03-24,1.88,1.89,1.86,1.87,1.87,61000
2016-03-25,1.9,1.9,1.87,1.87,1.87,80000
2016-03-28,1.9,1.9,1.86,1.87,1.87,38700
2016-03-29,1.9,1.9,1.9,1.9,1.9,20000
2016-03-30,1.85,1.85,1.74,1.79,1.79,120000
2016-03-31,1.72,1.72,1.72,1.72,1.72,40000
2016-04-01,1.69,1.74,1.69,1.74,1.74,100000
2016-04-04,1.73,1.75,1.72,1.72,1.72,176000
2016-04-05,1.72,1.73,1.72,1.73,1.73,68000
2016-04-07,1.69,1.69,1.6,1.66,1.66,134000
2016-04-08,1.67,1.67,1.61,1.63,1.63,103000
2016-04-11,1.6,1.64,1.59,1.64,1.64,131200
2016-04-12,1.61,1.7,1.61,1.67,1.67,144000
2016-04-18,1.64,1.71,1.64,1.68,1.68,120000
2016-04-19,1.66,1.67,1.64,1.66,1.66,92000
2016-04-20,1.66,1.69,1.66,1.67,1.67,80000
2016-04-21,1.59,1.6,1.52,1.58,1.58,288000
2016-04-22,1.52,1.54,1.51,1.53,1.53,189000
2016-04-25,1.51,1.58,1.51,1.56,1.56,53000
2016-04-26,1.51,1.52,1.34,1.36,1.36,278200
2016-04-27,1.36,1.42,1.32,1.41,1.41,203800
2016-04-28,1.4,1.46,1.39,1.46,1.46,145400
2016-04-29,1.48,1.5,1.45,1.45,1.45,314700
2016-05-03,1.4,1.41,1.39,1.41,1.41,98500
2016-05-04,1.43,1.43,1.43,1.43,1.43,3000
2016-05-09,1.44,1.45,1.44,1.44,1.44,175700
2016-05-10,1.39,1.4,1.37,1.39,1.39,129600
2016-05-11,1.35,1.36,1.34,1.35,1.35,295800
2016-05-12,1.33,1.35,1.33,1.35,1.35,85200
2016-05-13,1.31,1.33,1.3,1.32,1.32,211000
2016-05-16,1.3,1.32,1.3,1.31,1.31,87800
2016-05-17,1.31,1.35,1.31,1.35,1.35,259400
2016-05-18,1.36,1.36,1.3,1.33,1.33,173700
2016-05-19,1.32,1.34,1.32,1.32,1.32,83800
2016-05-23,1.34,1.34,1.33,1.33,1.33,86600
2016-05-24,1.41,1.41,1.33,1.34,1.34,226800
2016-05-25,1.36,1.38,1.33,1.34,1.34,211800
2016-05-26,1.35,1.38,1.34,1.38,1.38,127600
2016-05-27,1.35,1.35,1.35,1.35,1.35,168200
2016-05-30,1.34,1.41,1.34,1.41,1.41,125000
2016-05-31,1.42,1.43,1.37,1.43,1.43,120400
2016-06-01,1.37,1.38,1.35,1.35,1.35,116200
2016-06-02,1.35,1.37,1.35,1.36,1.36,79200
2016-06-03,1.37,1.37,1.32,1.35,1.35,176800
2016-06-07,1.35,1.35,1.32,1.33,1.33,129000
2016-06-08,1.32,1.32,1.31,1.31,1.31,85400
2016-06-09,1.27,1.32,1.26,1.29,1.29,213000
2016-06-10,1.26,1.27,1.26,1.27,1.27,87800
2016-06-13,1.29,1.29,1.29,1.29,1.29,44000
2016-06-15,1.22,1.22,1.2,1.21,1.21,124800
2016-06-16,1.2,1.27,1.2,1.24,1.24,251000
2016-06-20,1.24,1.26,1.24,1.26,1.26,170400
2016-06-22,1.16,1.19,1.14,1.17,1.17,635000
2016-06-23,1.14,1.19,1.14,1.18,1.18,851000
2016-06-24,1.19,1.23,1.16,1.16,1.16,530900
2016-06-27,1.14,1.14,1.04,1.05,1.05,1537700
2016-06-28,0.99,0.99,0.9,0.98,0.98,357100
2016-06-29,0.96,1.02,0.96,0.97,0.97,1808200
2016-06-30,0.95,0.97,0.89,0.89,0.89,587400
2016-07-04,0.86,0.87,0.81,0.87,0.87,343200
2016-07-05,0.88,0.92,0.87,0.92,0.92,637500
2016-07-06,0.9,0.9,0.86,0.87,0.87,192900
2016-07-07,0.84,0.89,0.84,0.89,0.89,773000
2016-07-08,0.87,0.88,0.87,0.88,0.88,20000
2016-07-11,0.84,0.84,0.77,0.81,0.81,642600
2016-07-12,0.8,0.8,0.64,0.64,0.64,2289800
2016-07-13,0.62,0.62,0.53,0.55,0.55,2033900
2016-07-14,0.55,0.57,0.52,0.53,0.53,1175300
2016-07-15,0.51,0.51,0.45,0.45,0.45,3666900
2016-07-20,0.43,0.44,0.41,0.41,0.41,4577000
2016-07-21,0.42,0.45,0.41,0.43,0.43,1082300
2016-07-22,0.43,0.43,0.36,0.37,0.37,4565400
2016-07-25,0.36,0.36,0.34,0.36,0.36,1629000
2016-07-26,0.41,0.41,0.29,0.31,0.31,2836100
2016-07-27,0.3,0.3,0.27,0.27,0.27,2338000
2016-07-28,0.27,0.3,0.26,0.28,0.28,2726200
2016-07-29,0.29,0.3,0.27,0.27,0.27,365600
2016-08-01,0.27,0.36,0.27,0.35,0.35,2824000
2016-08-02,0.36,0.37,0.33,0.34,0.34,3413700
2016-08-03,0.37,0.37,0.31,0.31,0.31,503500
2016-08-04,0.3,0.3,0.26,0.27,0.27,2765900
2016-08-05,0.26,0.26,0.24,0.25,0.25,1897800
2016-08-08,0.22,0.25,0.22,0.23,0.23,1011000
2016-08-09,0.23,0.24,0.21,0.24,0.24,1057100
2016-08-10,0.23,0.28,0.23,0.28,0.28,5881400
2016-08-11,0.29,0.3,0.25,0.25,0.25,3352100
2016-08-15,0.28,0.28,0.24,0.27,0.27,1287600
2016-08-16,0.25,0.33,0.25,0.28,0.28,2884700
2016-08-17,0.25,0.26,0.2,0.2,0.2,4076300
2016-08-18,0.19,0.19,0.13,0.14,0.14,8610900
2016-08-19,0.13,0.14,0.13,0.13,0.13,1084100
2016-08-22,0.12,0.15,0.12,0.14,0.14,3445900
2016-08-23,0.12,0.12,0.1,0.1,0.1,1464500
2016-08-24,0.1,0.11,0.09,0.1,0.1,2682600
2016-08-25,0.09,0.09,0.08,0.09,0.09,312300
2016-08-26,0.08,0.09,0.07,0.09,0.09,436500
2016-08-29,0.08,0.08,0.06,0.06,0.06,2672900
2016-08-30,0.06,0.07,0.06,0.07,0.07,260200
2016-08-31,0.07,0.08,0.05,0.05,0.05,297000
2016-09-01,0.07,0.07,0.05,0.05,0.05,484200
2016-09-02,0.05,0.05,0.05,0.05,0.05,366900
2016-09-05,0.04,0.07,0.04,0.06,0.06,2014500
2016-09-07,0.05,0.05,0.05,0.05,0.05,5000
2016-09-08,0.04,0.06,0.04,0.05,0.05,1925900
2016-09-09,0.06,0.06,0.05,0.06,0.06,400000
2016-09-12,0.07,0.07,0.07,0.07,0.07,2262600
2016-09-13,0.06,0.06,0.05,0.06,0.06,105200
2016-09-14,0.04,0.05,0.04,0.05,0.05,173100
2016-09-15,0.04,0.04,0.04,0.04,0.04,77800
2016-09-19,0.02,0.02,0.01,0.02,0.02,832400
2016-09-20,0.02,0.02,0.02,0.02,0.02,287800
2016-09-21,0.02,0.02,0.02,0.02,0.02,260000
2016-09-26,0.01,0.01,0.01,0.01,0.01,1020000
2016-09-27,0.01,0.01,0.01,0.01,0.01,92200
2016-09-30,0.01,0.01,0.01,0.01,0.01,185200
2016-10-03,0.01,0.01,0.01,0.01,0.01,50000
2016-10-12,0.01,0.01,0.01,0.01,0.01,105000
