Date,Open,High,Low,Close,Adj Close,Volume
2014-05-30,6.4,6.5,5.85,5.85,5.85,35680900
2014-06-02,5.85,6.25,5.85,6.15,6.15,32354300
2014-06-03,6.25,6.6,6.2,6.45,6.45,36705700
2014-06-04,6.5,6.5,6.25,6.25,6.25,20993500
2014-06-05,6.35,6.5,6.3,6.4,6.4,16867400
2014-06-06,6.55,6.6,6.25,6.25,6.25,40827400
2014-06-09,6.25,6.4,6.25,6.3,6.3,9103500
2014-06-10,6.3,6.35,6.25,6.3,6.3,33340100
2014-06-11,6.35,6.6,6.35,6.45,6.45,18713900
2014-06-12,6.4,6.5,6.4,6.45,6.45,9124800
2014-06-13,6.45,6.55,6.4,6.4,6.4,6869800
2014-06-16,6.5,6.55,6.3,6.3,6.3,10385100
2014-06-17,6.35,6.5,6.3,6.35,6.35,6244200
2014-06-18,6.3,6.4,6.1,6.1,6.1,11258700
2014-06-19,6.05,6.25,6,6.25,6.25,14722300
2014-06-20,6.25,6.25,6.15,6.15,6.15,12157800
2014-06-23,6.2,6.25,6.1,6.2,6.2,1885100
2014-06-24,6.15,6.2,6.1,6.15,6.15,2847000
2014-06-25,6.15,6.15,6.05,6.1,6.1,3567500
2014-06-26,6.1,6.15,6.05,6.1,6.1,4157900
2014-06-27,6.1,6.1,6,6.05,6.05,6103600
2014-06-30,6.05,6.1,6,6,6,2172300
2014-07-02,6.05,6.2,6.05,6.1,6.1,4297400
2014-07-03,6.15,6.15,6.05,6.05,6.05,740100
2014-07-04,6.1,6.2,6.1,6.1,6.1,1560700
2014-07-07,6.1,6.3,6.1,6.25,6.25,5058100
2014-07-08,6.35,6.35,6.25,6.3,6.3,9538900
2014-07-09,6.3,6.4,6.25,6.35,6.35,10860800
2014-07-10,6.4,6.75,6.4,6.75,6.75,19160200
2014-07-14,6.8,6.8,6.7,6.7,6.7,7386100
2014-07-15,6.75,6.75,6.6,6.6,6.6,6146000
2014-07-16,6.6,6.65,6.45,6.5,6.5,2586200
2014-07-17,6.5,6.55,6.45,6.5,6.5,1510200
2014-07-18,6.45,6.45,6.4,6.45,6.45,2015000
2014-07-21,6.45,6.55,6.4,6.45,6.45,7215700
2014-07-22,6.45,6.45,6.25,6.35,6.35,5323800
2014-07-23,6.3,6.4,6.3,6.4,6.4,2619800
2014-07-24,6.35,6.4,6.3,6.35,6.35,2880500
2014-07-25,6.35,6.4,6.25,6.25,6.25,931200
2014-07-28,6.3,6.3,6.2,6.2,6.2,1145300
2014-07-29,6.2,6.25,6.1,6.1,6.1,4022300
2014-07-30,6.1,6.15,5.85,5.95,5.95,3122100
2014-07-31,5.95,6.05,5.65,5.75,5.75,2068400
2014-08-01,5.65,5.7,5.55,5.6,5.6,1984600
2014-08-04,5.65,5.85,5.65,5.8,5.8,1209700
2014-08-05,5.8,5.95,5.75,5.9,5.9,1422800
2014-08-06,5.9,5.95,5.8,5.9,5.9,1690900
2014-08-07,5.9,6.05,5.9,5.95,5.95,2582900
2014-08-08,5.9,5.9,5.8,5.9,5.9,4339600
2014-08-13,5.95,6,5.95,6,6,1877900
2014-08-14,6,6,5.9,5.9,5.9,2039500
2014-08-15,5.95,6.6,5.95,6.5,6.5,11007200
2014-08-18,6.55,6.9,6.5,6.7,6.7,20755900
2014-08-19,6.75,6.8,6.65,6.7,6.7,5558600
2014-08-20,6.75,6.95,6.65,6.9,6.9,8117000
2014-08-21,6.9,7.55,6.9,7.35,7.35,10302400
2014-08-22,7.4,7.4,7.05,7.15,7.15,5684400
2014-08-25,7.15,7.35,7.15,7.2,7.2,1855900
2014-08-26,7.15,7.15,6.85,6.9,6.9,5144000
2014-08-27,6.95,7.35,6.95,7.25,7.25,2284800
2014-08-28,7.15,7.15,7,7.1,7.1,1693100
2014-08-29,7.05,7.35,7,7.05,7.05,4504300
2014-09-01,7.1,7.25,7.1,7.25,7.25,1840900
2014-09-02,7.15,7.25,7.1,7.15,7.15,5306100
2014-09-03,7.2,7.2,7.15,7.2,7.2,1032300
2014-09-04,7.25,7.25,6.9,6.95,6.95,1361700
2014-09-05,6.95,7.1,6.95,7,7,1076600
2014-09-08,6.95,7,6.85,6.85,6.85,11203900
2014-09-09,6.85,6.95,6.85,6.95,6.95,1069400
2014-09-10,6.85,6.9,6.7,6.9,6.9,2934200
2014-09-11,6.95,6.95,6.75,6.75,6.75,578500
2014-09-12,6.85,6.85,6.65,6.75,6.75,1011500
2014-09-15,6.75,7.05,6.75,6.95,6.95,943600
2014-09-16,7,7.05,6.8,6.8,6.8,440800
2014-09-17,6.7,6.85,6.6,6.7,6.7,1810100
2014-09-18,6.75,7.1,6.75,7.1,7.1,1303800
2014-09-19,7.1,7.2,7,7,7,791200
2014-09-22,6.95,7.1,6.95,6.95,6.95,4116800
2014-09-23,7.05,7.15,7,7.05,7.05,2870500
2014-09-24,7,7.1,7,7.1,7.1,1138900
2014-09-25,7.05,7.05,6.95,7,7,280500
2014-09-26,7,7,7,7,7,4000
2014-09-29,6.95,7,6.8,6.85,6.85,109900
2014-09-30,6.8,6.9,6.65,6.7,6.7,589800
2014-10-01,6.75,6.85,6.7,6.7,6.7,330900
2014-10-02,6.65,6.7,6.5,6.5,6.5,643200
2014-10-03,6.55,6.6,6.4,6.4,6.4,936800
2014-10-06,6.45,6.5,6.25,6.3,6.3,943100
2014-10-07,6.3,6.35,6.3,6.3,6.3,883400
2014-10-08,6.3,6.35,6.2,6.25,6.25,942200
2014-10-09,6.35,6.4,6.25,6.25,6.25,651700
2014-10-10,6.15,6.25,6.1,6.25,6.25,816400
2014-10-13,6.15,6.2,6.1,6.2,6.2,853100
2014-10-14,6.25,6.35,6.15,6.3,6.3,345400
2014-10-15,6.3,6.35,6.25,6.3,6.3,184000
2014-10-16,6.2,6.3,6.2,6.25,6.25,45000
2014-10-17,6.2,6.25,6.15,6.2,6.2,283500
2014-10-20,6.2,6.25,6.15,6.15,6.15,477300
2014-10-21,6.1,6.2,6.1,6.2,6.2,173300
2014-10-22,6.15,6.2,6.05,6.05,6.05,494500
2014-10-24,6.1,6.2,6.05,6.2,6.2,113000
2014-10-27,6.2,6.5,6.1,6.45,6.45,644300
2014-10-28,6.45,6.45,6.35,6.35,6.35,163200
2014-10-29,6.4,6.7,6.4,6.6,6.6,995400
2014-10-30,6.65,6.65,6.55,6.55,6.55,207100
2014-10-31,6.55,6.55,6.5,6.55,6.55,140300
2014-11-03,6.6,6.65,6.5,6.5,6.5,277800
2014-11-04,6.45,6.5,6.45,6.45,6.45,129700
2014-11-05,6.4,6.45,6.4,6.45,6.45,109300
2014-11-06,6.4,6.5,6.4,6.45,6.45,54700
2014-11-07,6.45,6.45,6.45,6.45,6.45,38200
2014-11-10,6.45,6.45,6.2,6.2,6.2,206800
2014-11-11,6.2,6.35,6.2,6.25,6.25,115800
2014-11-12,6.25,6.35,6.2,6.2,6.2,151200
2014-11-13,6.2,6.3,6.2,6.25,6.25,93400
2014-11-14,6.25,6.25,6.1,6.1,6.1,2608600
2014-11-17,6.1,6.3,6.1,6.2,6.2,138700
2014-11-18,6.2,6.45,6.2,6.3,6.3,617600
2014-11-19,6.35,6.35,6.3,6.3,6.3,28400
2014-11-20,6.25,6.3,6.2,6.3,6.3,137800
2014-11-21,6.35,6.5,6.35,6.35,6.35,714800
2014-11-24,6.45,6.45,6.35,6.4,6.4,167900
2014-11-25,6.35,6.35,6.2,6.2,6.2,513000
2014-11-26,6.25,6.3,6.25,6.3,6.3,144200
2014-11-27,6.3,6.35,6.3,6.3,6.3,49300
2014-11-28,6.3,6.35,6.3,6.3,6.3,250600
2014-12-01,6.35,6.35,6.3,6.3,6.3,79200
2014-12-02,6.3,6.35,6.3,6.35,6.35,225000
2014-12-03,6.35,6.4,6.35,6.35,6.35,514200
2014-12-04,6.3,6.4,6.3,6.3,6.3,299100
2014-12-08,6.35,6.35,6.2,6.25,6.25,241300
2014-12-09,6.1,6.3,6.1,6.1,6.1,1309200
2014-12-11,6.1,6.1,5.85,6,6,601200
2014-12-12,6,6,5.85,5.9,5.9,111800
2014-12-15,5.8,5.85,4.94,5.45,5.45,976700
2014-12-16,5.15,5.35,4.96,5.1,5.1,1657100
2014-12-17,5.05,5.15,5.05,5.05,5.05,1230500
2014-12-18,5.15,5.45,5.1,5.45,5.45,5889900
2014-12-19,5.5,5.7,5.45,5.55,5.55,1718000
2014-12-22,5.7,5.8,5.6,5.65,5.65,651200
2014-12-23,5.75,5.75,5.65,5.7,5.7,270100
2014-12-24,5.75,5.75,5.5,5.55,5.55,232500
2014-12-25,5.45,5.6,5.45,5.5,5.5,192600
2014-12-26,5.45,5.55,5.45,5.5,5.5,105700
2014-12-29,5.5,5.55,5.5,5.55,5.55,272600
2014-12-30,5.45,5.55,5.45,5.5,5.5,36100
2015-01-05,5.45,5.5,5.4,5.5,5.5,4700
2015-01-06,5.5,5.5,5.3,5.35,5.35,161200
2015-01-07,5.2,5.45,5.2,5.3,5.3,431700
2015-01-08,5.45,5.65,5.45,5.6,5.6,235500
2015-01-09,5.65,5.75,5.55,5.7,5.7,113800
2015-01-12,5.7,5.75,5.65,5.7,5.7,64800
2015-01-13,5.65,5.65,5.6,5.6,5.6,50300
2015-01-14,5.65,5.7,5.55,5.55,5.55,87300
2015-01-15,5.7,5.7,5.5,5.5,5.5,44200
2015-01-16,5.5,5.5,5.3,5.4,5.4,388800
2015-01-19,5.4,5.5,5.4,5.45,5.45,114400
2015-01-20,5.5,5.6,5.45,5.5,5.5,122000
2015-01-21,5.5,5.5,5.35,5.35,5.35,132600
2015-01-22,5.45,5.5,5.4,5.45,5.45,105800
2015-01-23,5.45,5.7,5.45,5.7,5.7,116400
2015-01-26,5.65,5.65,5.55,5.6,5.6,108400
2015-01-27,5.6,5.95,5.55,5.8,5.8,588700
2015-01-28,5.7,5.8,5.65,5.7,5.7,587800
2015-01-29,5.75,5.9,5.65,5.85,5.85,32500
2015-01-30,5.7,5.75,5.6,5.6,5.6,283600
2015-02-02,5.6,5.6,5.5,5.6,5.6,21000
2015-02-03,5.55,5.7,5.5,5.7,5.7,480700
2015-02-04,5.8,5.85,5.65,5.65,5.65,128100
2015-02-05,5.55,5.9,5.55,5.85,5.85,198100
2015-02-06,5.9,5.9,5.75,5.8,5.8,31800
2015-02-09,5.8,5.85,5.8,5.8,5.8,257600
2015-02-10,5.6,5.95,5.6,5.9,5.9,234700
2015-02-11,5.85,5.9,5.85,5.85,5.85,147800
2015-02-12,5.85,6.05,5.85,6.05,6.05,399700
2015-02-13,6.1,6.4,6,6.4,6.4,2041000
2015-02-16,6.4,6.45,6.3,6.3,6.3,385200
2015-02-17,6.3,6.4,6.3,6.35,6.35,902200
2015-02-18,6.15,6.35,6.15,6.3,6.3,75400
2015-02-19,6.4,6.4,6.25,6.3,6.3,155700
2015-02-20,6.3,6.45,6.3,6.45,6.45,495300
2015-02-23,6.45,6.7,6.45,6.65,6.65,2441000
2015-02-24,6.65,6.75,6.65,6.7,6.7,1640000
2015-02-25,6.75,6.8,6.6,6.7,6.7,2383700
2015-02-26,6.7,6.75,6.55,6.6,6.6,362200
2015-02-27,6.5,6.75,6.5,6.75,6.75,830200
2015-03-02,6.65,6.8,6.6,6.65,6.65,86900
2015-03-03,6.5,6.6,6.45,6.45,6.45,63900
2015-03-05,6.4,6.5,6.35,6.4,6.4,252700
2015-03-06,6.4,6.4,6.35,6.4,6.4,119900
2015-03-09,6.35,6.6,6.35,6.55,6.55,1927500
2015-03-10,6.6,6.6,6.15,6.15,6.15,483700
2015-03-11,6.1,6.25,6.1,6.2,6.2,541100
2015-03-12,6.1,6.15,6.1,6.15,6.15,139200
2015-03-13,6.15,6.15,6.1,6.1,6.1,210100
2015-03-16,6,6.05,5.95,6,6,256000
2015-03-17,6,6,5.95,6,6,79100
2015-03-18,5.95,6,5.95,5.95,5.95,21000
2015-03-19,6,6,6,6,6,55100
2015-03-20,6.1,6.25,6.1,6.25,6.25,659900
2015-03-23,6.25,6.25,6.15,6.15,6.15,1009000
2015-03-24,6.05,6.1,6,6,6,52100
2015-03-25,6,6,5.8,6,6,37800
2015-03-26,5.9,5.9,5.85,5.85,5.85,25900
2015-03-27,5.8,5.95,5.8,5.9,5.9,57400
2015-03-30,5.85,6,5.85,6,6,40300
2015-03-31,5.85,6,5.8,6,6,43000
2015-04-01,6,6,5.85,5.9,5.9,54400
2015-04-02,5.9,6,5.9,6,6,61500
2015-04-03,5.95,6,5.85,5.9,5.9,273800
2015-04-07,5.9,5.9,5.85,5.85,5.85,53900
2015-04-08,5.85,5.9,5.8,5.85,5.85,762800
2015-04-09,5.85,5.85,5.75,5.75,5.75,2709500
2015-04-10,5.8,5.9,5.75,5.9,5.9,310400
2015-04-16,6,6.15,5.95,6.15,6.15,738200
2015-04-17,6,6.15,6,6.05,6.05,581600
2015-04-20,6.05,6.05,6,6,6,37900
2015-04-21,6.05,6.2,6,6.2,6.2,77800
2015-04-22,6.2,6.3,6.15,6.15,6.15,435200
2015-04-23,6.2,6.2,5.95,5.95,5.95,90100
2015-04-24,6,6.15,5.95,6.1,6.1,713200
2015-04-27,6.1,6.3,6.1,6.15,6.15,1358600
2015-04-28,6.15,6.15,6,6,6,107200
2015-04-29,5.95,5.95,5.95,5.95,5.95,14200
2015-04-30,6,6,5.95,5.95,5.95,23100
2015-05-06,5.8,5.85,5.75,5.75,5.75,122500
2015-05-07,5.7,5.85,5.65,5.65,5.65,101100
2015-05-08,5.5,5.8,5.5,5.8,5.8,16600
2015-05-11,5.75,5.75,5.5,5.5,5.5,96500
2015-05-12,5.45,5.5,5.45,5.5,5.5,11100
2015-05-13,5.5,5.5,5.3,5.3,5.3,168800
2015-05-14,5.5,5.55,5.5,5.5,5.5,338800
2015-05-15,5.7,5.7,5.6,5.6,5.6,26300
2015-05-18,6,6,5.7,5.7,5.7,25000
2015-05-19,5.7,5.8,5.7,5.8,5.8,63700
2015-05-20,5.7,5.9,5.7,5.8,5.8,97800
2015-05-21,5.65,5.95,5.65,5.85,5.85,46800
2015-05-22,5.9,5.9,5.85,5.85,5.85,85600
2015-05-25,5.85,5.9,5.85,5.9,5.9,144000
2015-05-26,5.7,5.7,5.7,5.7,5.7,69600
2015-05-27,5.65,5.65,5.45,5.65,5.65,6500
2015-05-28,5.65,5.7,5.65,5.65,5.65,10200
2015-05-29,5.65,5.8,5.65,5.65,5.65,19100
2015-06-02,5.65,5.65,5.55,5.55,5.55,86400
2015-06-04,5.65,5.7,5.65,5.7,5.7,2900
2015-06-05,5.7,5.75,5.65,5.7,5.7,16100
2015-06-08,5.7,5.7,5.65,5.65,5.65,11000
2015-06-09,5.55,5.6,5.45,5.5,5.5,24100
2015-06-10,5.5,5.55,5.5,5.5,5.5,206600
2015-06-11,5.55,5.55,5.5,5.55,5.55,161600
2015-06-12,5.5,5.85,5.5,5.55,5.55,2847900
2015-06-15,5.55,5.55,5.5,5.55,5.55,51500
2015-06-16,5.6,5.6,5.55,5.55,5.55,16000
2015-06-17,5.55,5.6,5.5,5.55,5.55,162800
2015-06-18,5.55,5.55,5.55,5.55,5.55,50500
2015-06-19,5.65,5.65,5.55,5.6,5.6,815200
2015-06-22,5.5,5.7,5.5,5.7,5.7,94800
2015-06-23,5.7,5.7,5.6,5.6,5.6,63000
2015-06-24,5.6,5.6,5.6,5.6,5.6,4000
2015-06-25,5.55,5.55,5.5,5.5,5.5,30000
2015-06-26,5.5,5.5,5.45,5.45,5.45,83200
2015-06-29,5.45,5.45,5.45,5.45,5.45,3800
2015-06-30,5.25,5.5,5.25,5.3,5.3,13600
2015-07-02,5.35,5.35,4.88,4.9,4.9,864800
2015-07-03,4.94,4.98,4.8,4.82,4.82,236800
2015-07-06,4.84,4.88,4.6,4.8,4.8,216500
2015-07-07,4.82,4.82,4.74,4.74,4.74,162000
2015-07-08,4.6,4.84,4.6,4.8,4.8,105500
2015-07-09,4.8,4.8,4.74,4.78,4.78,63500
2015-07-10,4.78,4.84,4.7,4.72,4.72,243300
2015-07-13,4.72,4.86,4.72,4.86,4.86,81100
2015-07-14,4.82,4.84,4.78,4.8,4.8,35300
2015-07-15,4.76,4.82,4.76,4.76,4.76,102100
2015-07-16,4.74,4.74,4.7,4.74,4.74,116300
2015-07-17,4.74,4.74,4.7,4.7,4.7,61000
2015-07-20,4.72,4.76,4.68,4.7,4.7,14200
2015-07-21,4.7,4.7,4.6,4.62,4.62,38000
2015-07-22,4.7,4.72,4.6,4.68,4.68,91200
2015-07-23,4.72,4.72,4.6,4.6,4.6,27400
2015-07-24,4.62,4.62,4.54,4.54,4.54,25900
2015-07-27,4.64,4.64,4.38,4.52,4.52,27600
2015-07-28,4.32,4.5,4.32,4.34,4.34,14500
2015-07-29,4.48,4.48,4.32,4.44,4.44,11600
2015-07-31,4.34,4.6,4.34,4.58,4.58,18000
2015-08-03,4.4,4.6,4.4,4.6,4.6,109500
2015-08-04,4.6,4.62,4.54,4.6,4.6,900
2015-08-05,4.08,4.6,4.08,4.6,4.6,50500
2015-08-06,4.46,4.6,4.46,4.5,4.5,4400
2015-08-07,4.58,4.58,4.48,4.5,4.5,12800
2015-08-10,4.48,4.56,4.3,4.44,4.44,10500
2015-08-11,4.34,4.5,4.3,4.5,4.5,3900
2015-08-13,4.34,4.4,4.2,4.4,4.4,189600
2015-08-14,4.34,4.58,4.32,4.5,4.5,3600
2015-08-17,4.4,4.4,4.38,4.4,4.4,2600
2015-08-18,4.3,4.32,4.2,4.2,4.2,133800
2015-08-19,4.2,4.3,4.18,4.26,4.26,44000
2015-08-20,4.28,4.3,4.22,4.24,4.24,30400
2015-08-21,4.24,4.28,4.2,4.26,4.26,4200
2015-08-24,4.14,4.14,3.8,3.92,3.92,276700
2015-08-25,3.82,4.04,3.82,4.04,4.04,40600
2015-08-26,4,4.04,3.96,4.02,4.02,33800
2015-08-27,4.04,4.3,4.04,4.28,4.28,90000
2015-08-28,4.24,4.36,4.2,4.2,4.2,44000
2015-08-31,4.42,4.42,4.22,4.38,4.38,53500
2015-09-01,4.3,4.3,4.16,4.16,4.16,73900
2015-09-02,4.14,4.24,4.12,4.14,4.14,106400
2015-09-03,4.16,4.44,4.16,4.44,4.44,1712900
