Date,Open,High,Low,Close,Adj Close,Volume
2017-05-05,0.51,0.54,0.51,0.53,0.53,937300
2017-05-08,0.53,0.55,0.53,0.53,0.53,722800
2017-05-09,0.54,0.57,0.54,0.57,0.57,945100
2017-05-11,0.54,0.55,0.53,0.53,0.53,834000
2017-05-12,0.52,0.55,0.52,0.55,0.55,556000
2017-05-15,0.53,0.53,0.48,0.48,0.48,1612400
2017-05-16,0.48,0.52,0.48,0.52,0.52,1167600
2017-05-17,0.52,0.52,0.51,0.51,0.51,569200
2017-05-18,0.44,0.47,0.43,0.43,0.43,2409200
2017-05-19,0.44,0.44,0.4,0.42,0.42,1754300
2017-05-22,0.43,0.49,0.43,0.47,0.47,2020200
2017-05-23,0.46,0.46,0.45,0.45,0.45,444900
2017-05-24,0.45,0.47,0.45,0.46,0.46,707200
2017-05-25,0.46,0.46,0.46,0.46,0.46,222400
2017-05-26,0.47,0.48,0.46,0.47,0.47,1741200
2017-05-29,0.46,0.48,0.46,0.46,0.46,1989600
2017-05-30,0.48,0.48,0.48,0.48,0.48,552600
2017-05-31,0.45,0.45,0.45,0.45,0.45,21000
2017-06-01,0.47,0.48,0.47,0.48,0.48,1345200
2017-06-02,0.48,0.5,0.48,0.5,0.5,701300
2017-06-05,0.51,0.55,0.51,0.53,0.53,1423000
2017-06-06,0.53,0.53,0.52,0.52,0.52,1220200
2017-06-07,0.52,0.52,0.49,0.5,0.5,486800
2017-06-08,0.51,0.53,0.5,0.5,0.5,446800
2017-06-09,0.5,0.5,0.5,0.5,0.5,385600
2017-06-12,0.5,0.52,0.5,0.5,0.5,717200
2017-06-13,0.5,0.5,0.5,0.5,0.5,111200
2017-06-14,0.51,0.51,0.51,0.51,0.51,453600
2017-06-15,0.51,0.52,0.51,0.52,0.52,272400
2017-06-16,0.52,0.52,0.5,0.5,0.5,80000
2017-06-19,0.51,0.52,0.51,0.51,0.51,476100
2017-06-22,0.53,0.54,0.51,0.51,0.51,1321700
2017-06-23,0.51,0.54,0.5,0.54,0.54,1566300
2017-06-26,0.54,0.56,0.54,0.56,0.56,222400
2017-06-27,0.54,0.54,0.54,0.54,0.54,15000
2017-06-28,0.56,0.56,0.56,0.56,0.56,56900
2017-07-05,0.49,0.5,0.49,0.5,0.5,389200
2017-07-06,0.5,0.5,0.47,0.47,0.47,222400
2017-07-07,0.47,0.47,0.46,0.46,0.46,945200
2017-07-11,0.47,0.47,0.47,0.47,0.47,222400
2017-07-13,0.49,0.49,0.48,0.49,0.49,333600
2017-07-14,0.47,0.47,0.47,0.47,0.47,333600
2017-07-17,0.47,0.47,0.45,0.45,0.45,111200
2017-07-19,0.45,0.45,0.44,0.44,0.44,767200
2017-07-20,0.46,0.48,0.46,0.47,0.47,1245200
2017-07-21,0.47,0.47,0.46,0.46,0.46,498600
2017-07-24,0.48,0.48,0.48,0.48,0.48,474800
2017-07-26,0.48,0.49,0.48,0.49,0.49,1030800
2017-07-27,0.5,0.5,0.47,0.49,0.49,2090000
2017-07-31,0.47,0.47,0.47,0.47,0.47,631000
2017-08-01,0.48,0.48,0.45,0.47,0.47,761000
2017-08-02,0.48,0.48,0.48,0.48,0.48,600000
2017-08-03,0.48,0.48,0.48,0.48,0.48,1137200
2017-08-04,0.48,0.48,0.47,0.48,0.48,347600
2017-08-07,0.48,0.48,0.48,0.48,0.48,222400
2017-08-08,0.5,0.5,0.5,0.5,0.5,111200
2017-08-09,0.48,0.48,0.48,0.48,0.48,111200
