Date,Open,High,Low,Close,Adj Close,Volume
2017-07-24,0.38,0.38,0.37,0.37,0.37,47700
2017-07-25,0.38,0.38,0.38,0.38,0.38,42800
2017-07-27,0.38,0.38,0.37,0.37,0.37,82600
2017-08-01,0.38,0.38,0.38,0.38,0.38,41000
2017-08-03,0.36,0.36,0.36,0.36,0.36,41600
2017-08-04,0.36,0.36,0.35,0.35,0.35,86400
2017-08-07,0.36,0.36,0.35,0.35,0.35,41000
2017-08-08,0.35,0.35,0.35,0.35,0.35,5300
2017-08-09,0.35,0.36,0.35,0.36,0.36,63200
2017-08-10,0.36,0.36,0.36,0.36,0.36,148600
2017-08-11,0.37,0.37,0.36,0.36,0.36,41000
2017-08-15,0.33,0.33,0.32,0.32,0.32,213800
2017-08-17,0.32,0.33,0.32,0.32,0.32,422000
2017-08-21,0.32,0.33,0.32,0.33,0.33,124000
2017-08-23,0.33,0.33,0.33,0.33,0.33,21700
2017-08-24,0.33,0.33,0.33,0.33,0.33,21700
2017-08-25,0.33,0.33,0.33,0.33,0.33,84800
2017-08-28,0.33,0.33,0.32,0.32,0.32,43000
2017-08-29,0.32,0.32,0.3,0.31,0.31,212200
2017-08-30,0.32,0.34,0.32,0.34,0.34,251000
2017-08-31,0.34,0.34,0.34,0.34,0.34,1300
2017-09-01,0.34,0.34,0.34,0.34,0.34,43400
2017-09-04,0.33,0.34,0.33,0.34,0.34,253800
2017-09-05,0.34,0.34,0.34,0.34,0.34,42000
2017-09-06,0.34,0.34,0.34,0.34,0.34,124400
2017-09-08,0.33,0.33,0.33,0.33,0.33,256400
2017-09-11,0.33,0.33,0.33,0.33,0.33,21700
2017-09-12,0.32,0.32,0.32,0.32,0.32,63100
2017-09-13,0.33,0.33,0.32,0.32,0.32,83200
2017-09-14,0.32,0.32,0.32,0.32,0.32,41200
2017-09-15,0.31,0.32,0.31,0.32,0.32,252800
2017-09-18,0.31,0.31,0.31,0.31,0.31,380800
2017-09-19,0.28,0.29,0.28,0.29,0.29,83600
2017-09-20,0.3,0.3,0.29,0.29,0.29,42000
2017-09-21,0.28,0.28,0.28,0.28,0.28,43000
2017-09-25,0.27,0.29,0.27,0.29,0.29,83800
2017-09-26,0.28,0.28,0.28,0.28,0.28,130400
2017-09-27,0.28,0.28,0.28,0.28,0.28,21000
2017-09-28,0.29,0.29,0.29,0.29,0.29,42800
2017-09-29,0.29,0.29,0.29,0.29,0.29,23100
2017-10-02,0.28,0.28,0.28,0.28,0.28,128000
2017-10-03,0.27,0.27,0.27,0.27,0.27,63800
2017-10-04,0.28,0.28,0.28,0.28,0.28,190600
2017-10-05,0.28,0.28,0.27,0.28,0.28,168200
2017-10-06,0.28,0.28,0.28,0.28,0.28,43600
2017-10-09,0.28,0.28,0.28,0.28,0.28,6000
2017-10-11,0.26,0.26,0.26,0.26,0.26,41400
2017-10-12,0.26,0.26,0.26,0.26,0.26,46000
2017-10-16,0.23,0.24,0.21,0.22,0.22,517200
2017-10-17,0.22,0.22,0.2,0.2,0.2,376000
2017-10-18,0.2,0.21,0.2,0.21,0.21,998400
2017-10-19,0.21,0.24,0.21,0.24,0.24,236400
2017-10-20,0.23,0.23,0.22,0.22,0.22,154200
2017-10-24,0.22,0.22,0.21,0.21,0.21,83600
2017-10-25,0.2,0.2,0.2,0.2,0.2,220000
2017-10-30,0.2,0.2,0.19,0.19,0.19,84400
2017-10-31,0.19,0.19,0.17,0.17,0.17,84800
2017-11-01,0.17,0.17,0.17,0.17,0.17,43800
2017-11-02,0.17,0.18,0.17,0.17,0.17,426600
2017-11-03,0.18,0.19,0.18,0.19,0.19,149800
2017-11-06,0.18,0.2,0.18,0.2,0.2,87800
2017-11-07,0.18,0.18,0.18,0.18,0.18,48600
2017-11-08,0.19,0.19,0.18,0.18,0.18,41400
2017-11-09,0.19,0.21,0.19,0.21,0.21,188400
2017-11-10,0.22,0.22,0.19,0.21,0.21,462300
2017-11-13,0.2,0.2,0.2,0.2,0.2,296900
2017-11-14,0.19,0.19,0.17,0.17,0.17,534300
2017-11-15,0.18,0.18,0.18,0.18,0.18,160800
2017-11-16,0.18,0.18,0.18,0.18,0.18,21000
2017-11-17,0.18,0.18,0.18,0.18,0.18,402600
2017-11-20,0.17,0.17,0.17,0.17,0.17,20600
2017-11-21,0.18,0.18,0.18,0.18,0.18,20600
2017-11-22,0.16,0.16,0.16,0.16,0.16,43000
2017-11-24,0.15,0.15,0.15,0.15,0.15,20400
2017-11-27,0.18,0.2,0.18,0.2,0.2,311600
2017-11-28,0.2,0.2,0.19,0.19,0.19,357600
2017-11-29,0.19,0.19,0.18,0.19,0.19,62000
2017-11-30,0.17,0.18,0.17,0.18,0.18,86800
2017-12-01,0.18,0.18,0.18,0.18,0.18,254600
2017-12-04,0.17,0.18,0.17,0.18,0.18,460600
2017-12-06,0.18,0.18,0.18,0.18,0.18,266400
2017-12-07,0.18,0.18,0.18,0.18,0.18,430400
2017-12-08,0.18,0.18,0.18,0.18,0.18,229200
2017-12-12,0.17,0.17,0.16,0.16,0.16,85400
2017-12-13,0.17,0.17,0.17,0.17,0.17,210000
2017-12-14,0.16,0.16,0.16,0.16,0.16,105000
2017-12-15,0.17,0.17,0.17,0.17,0.17,87000
2017-12-25,0.15,0.15,0.13,0.13,0.13,127800
2017-12-26,0.14,0.14,0.14,0.14,0.14,169000
2017-12-27,0.13,0.13,0.13,0.13,0.13,42000
2017-12-28,0.12,0.12,0.12,0.12,0.12,20600
2017-12-29,0.13,0.13,0.13,0.13,0.13,20600
2018-01-03,0.13,0.13,0.12,0.12,0.12,84200
2018-01-04,0.13,0.13,0.11,0.11,0.11,173000
2018-01-05,0.12,0.12,0.11,0.12,0.12,422600
2018-01-08,0.11,0.11,0.11,0.11,0.11,20900
2018-01-09,0.11,0.11,0.11,0.11,0.11,42500
2018-01-10,0.1,0.1,0.1,0.1,0.1,107200
2018-01-11,0.11,0.11,0.11,0.11,0.11,88600
2018-01-18,0.05,0.05,0.05,0.05,0.05,5400
