Date,Open,High,Low,Close,Adj Close,Volume
2014-04-23,10.03,10.07,10.03,10.07,10.07,10
2014-06-02,9.9,9.9,9.9,9.9,9.9,44
2014-06-03,10.4,10.4,10.4,10.4,10.4,45
2014-06-04,10.05,10.29,10.05,10.29,10.29,89
2014-06-05,10.3,10.3,10.3,10.3,10.3,99
2014-06-06,10.69,10.69,10.4,10.4,10.4,249
2014-06-09,10.19,10.19,10.19,10.19,10.19,100
2014-07-08,10.52,10.52,10.52,10.52,10.52,50
2014-08-04,9.65,9.65,9.65,9.65,9.65,100
2014-08-07,9.85,9.85,9.85,9.85,9.85,200
2014-08-08,9.75,9.75,9.75,9.75,9.75,800
2014-08-15,10.18,10.18,10.18,10.18,10.18,900
2014-09-15,10.5,10.5,10.5,10.5,10.5,1
2014-09-16,10.5,10.5,10.5,10.5,10.5,1
2014-11-21,10.15,10.15,9.95,9.95,9.95,514
2014-11-27,9.94,9.94,9.94,9.94,9.94,400
2014-11-28,10.05,10.05,10,10,10,135
2014-12-01,10,10.03,9.98,10,10,56
2014-12-02,10.08,10.08,9.9,10.03,10.03,33
2014-12-03,10.21,10.21,10.21,10.21,10.21,400
2014-12-04,10.06,10.06,9.88,9.88,9.88,724
2014-12-08,9.81,9.81,9.81,9.81,9.81,4
2014-12-09,9.81,9.81,9.63,9.63,9.63,66
2014-12-11,9.5,9.6,9.48,9.6,9.6,117
2014-12-12,9.45,9.45,9.45,9.45,9.45,5
2014-12-15,9.2,9.2,8,8.8,8.8,127
2014-12-16,7.9,8.78,7.9,8.75,8.75,519
2014-12-18,8.7,8.8,8.7,8.8,8.8,27
2014-12-19,9.25,9.25,9.2,9.2,9.2,112
2014-12-22,9.45,9.45,9.45,9.45,9.45,100
2014-12-23,9.2,9.2,9.2,9.2,9.2,305
2014-12-24,9.25,9.25,9.25,9.25,9.25,1250
2014-12-25,9.1,9.1,9.1,9.1,9.1,601
2014-12-26,9.1,9.1,9.1,9.1,9.1,1
2014-12-30,9.14,9.15,8.88,9.15,9.15,3
2015-01-05,9.17,9.17,9.17,9.17,9.17,600
2015-01-07,8.9,8.9,8.9,8.9,8.9,120
2015-01-08,9,9.15,9,9.15,9.15,15
2015-01-09,9.2,9.3,9.2,9.3,9.3,10
2015-01-13,9.2,9.2,9.2,9.2,9.2,9
2015-01-14,9.14,9.14,9.14,9.14,9.14,200
2015-01-15,9.12,9.25,9.11,9.2,9.2,1162
2015-01-16,9.05,9.05,8.85,8.85,8.85,1072
2015-01-19,8.8,8.84,8.8,8.84,8.84,25
2015-01-20,9.19,9.19,9.19,9.19,9.19,100
2015-01-21,8.95,8.95,8.9,8.9,8.9,5
2015-01-22,8.9,8.9,8.6,8.9,8.9,36
2015-01-23,8.9,9.08,8.9,9.08,9.08,637
2015-01-26,9.19,9.2,9,9.15,9.15,8
2015-01-27,9.2,9.4,9.2,9.4,9.4,628
2015-01-28,9.48,9.48,9.48,9.48,9.48,1800
2015-01-29,9.35,9.35,9.35,9.35,9.35,5
2015-02-02,9,9.12,9,9.12,9.12,208
2015-02-03,9.3,9.35,9.3,9.35,9.35,7
2015-02-04,9.4,9.4,9.3,9.3,9.3,17
2015-02-05,9.25,9.25,9.25,9.25,9.25,5
2015-02-06,9.4,9.45,9.4,9.4,9.4,79
2015-02-11,9.5,9.55,9.5,9.55,9.55,14
2015-02-12,9.59,9.59,9.59,9.59,9.59,1
2015-02-13,9.69,10,9.69,9.9,9.9,32
2015-02-16,9.85,9.95,9.85,9.95,9.95,1002
2015-02-17,10.1,10.1,10.1,10.1,10.1,3
2015-02-20,10.1,10.1,10.1,10.1,10.1,2400
2015-02-23,10,10.15,10,10.15,10.15,1019
2015-02-24,10.17,10.17,10.17,10.17,10.17,408
2015-02-25,10.15,10.15,10.15,10.15,10.15,15
2015-02-26,10,10.14,10,10.14,10.14,8
2015-02-27,10.25,10.25,10.25,10.25,10.25,1
2015-03-03,9.91,9.91,9.9,9.9,9.9,5
2015-03-05,9.95,9.95,9.95,9.95,9.95,1
2015-03-09,10,10.1,10,10.1,10.1,2
2015-03-12,9.74,9.74,9.74,9.74,9.74,6
2015-03-16,9.5,9.5,9.5,9.5,9.5,1
2015-03-17,9.01,9.5,9.01,9.5,9.5,4
2015-03-18,9.4,9.4,9.4,9.4,9.4,1
2015-03-19,9.45,9.7,9.45,9.7,9.7,3
2015-03-23,9.85,9.85,9.8,9.8,9.8,2
2015-03-25,9.8,9.8,9.7,9.7,9.7,3
2015-03-26,9.51,9.51,9.51,9.51,9.51,200
2015-03-30,9.75,9.75,9.75,9.75,9.75,2
