Date,Open,High,Low,Close,Adj Close,Volume
2011-03-22,5.63,5.63,5.63,5.63,5.63,5
2011-03-25,6,6,6,6,6,5
2011-06-30,5.85,5.85,5.8,5.8,5.8,16
2011-07-06,6.5,6.5,6.5,6.5,6.5,1
2011-07-12,6.4,6.4,6.4,6.4,6.4,20
2011-07-19,6.7,6.7,6.7,6.7,6.7,1
2011-07-20,6.93,6.93,6.93,6.93,6.93,5
2011-08-01,6.99,6.99,6.99,6.99,6.99,5
2011-08-10,6.5,6.5,6.5,6.5,6.5,1
2011-08-23,6.79,6.79,6.79,6.79,6.79,1
2011-08-25,6.8,6.8,6.8,6.8,6.8,5
2011-08-26,6.6,6.7,6.6,6.7,6.7,3
2011-09-06,7,7,7,7,7,1
2011-09-09,7,7,7,7,7,3
2011-09-19,6.8,6.8,6.75,6.8,6.8,4
2011-09-20,6.85,6.95,6.85,6.95,6.95,7
2011-09-21,7.05,7.29,7.05,7.28,7.28,40
2011-09-22,7.15,7.17,6.9,6.9,6.9,28
2011-09-23,6.75,6.75,6.6,6.65,6.65,23
2011-09-26,6.45,6.45,5.85,6.09,6.09,29
2011-09-27,6.2,6.39,6.15,6.38,6.38,40
2011-09-28,6.45,6.5,6.35,6.35,6.35,11
2011-09-29,6.39,6.4,6.39,6.4,6.4,8
2011-09-30,6.44,6.46,6.4,6.4,6.4,48
2011-10-03,6.1,6.2,6,6,6,18
2011-10-04,6,6.1,5.8,5.95,5.95,70
2011-10-05,6.1,6.1,5.95,6,6,10
2011-10-06,6.1,6.3,6.1,6.3,6.3,36
2011-10-07,6.3,6.4,6.1,6.1,6.1,38
2011-10-10,5.91,5.96,5.9,5.96,5.96,5
2011-10-11,6.3,6.58,6.3,6.49,6.49,45
2011-10-12,6.4,6.45,6.25,6.45,6.45,33
2011-10-13,6.3,6.35,6.3,6.35,6.35,14
2011-10-14,6.4,6.4,6.4,6.4,6.4,4
2011-10-17,6.45,6.45,6.45,6.45,6.45,22
2011-10-18,6.25,6.25,6.16,6.18,6.18,7
2011-10-19,6.2,6.2,5.8,5.8,5.8,96
2011-10-20,5.8,5.8,5.15,5.25,5.25,59
2011-10-21,5.25,5.5,5.2,5.4,5.4,27
2011-10-26,5.2,5.2,5.2,5.2,5.2,1
2011-10-27,5.35,5.5,5.3,5.38,5.38,46
2011-10-28,5.52,5.6,5.41,5.6,5.6,29
2011-10-31,5.55,5.7,5.55,5.65,5.65,16
2011-11-01,5.6,5.8,5.6,5.6,5.6,77
2011-11-02,5.45,5.75,5.45,5.75,5.75,29
2011-11-03,5.5,5.6,5.45,5.6,5.6,9
2011-11-04,5.65,5.65,5.65,5.65,5.65,1
2011-11-07,5.6,5.72,5.6,5.7,5.7,5
2011-11-09,5.8,5.8,5.7,5.7,5.7,4
2011-11-10,5.7,5.7,5.7,5.7,5.7,3
2011-11-11,5.75,5.75,5.75,5.75,5.75,1
2011-11-14,5.9,5.94,5.88,5.94,5.94,24
2011-11-15,5.95,6,5.95,6,6,14
2011-11-16,6.1,6.15,6.1,6.15,6.15,10
2011-11-17,6.1,6.1,5.9,5.9,5.9,20
2011-11-18,5.88,5.9,5.8,5.9,5.9,12
2011-11-21,5.71,5.74,5.71,5.74,5.74,3
2011-11-22,5.75,5.8,5.75,5.8,5.8,24
2011-11-23,5.7,5.7,5.7,5.7,5.7,1
2011-11-25,5.7,5.7,5.66,5.66,5.66,7
2011-11-28,5.7,5.9,5.61,5.9,5.9,29
2011-11-29,6,6,5.9,5.93,5.93,27
2011-11-30,5.99,6,5.83,5.88,5.88,21
2011-12-01,6,6.16,6,6.16,6.16,45
2011-12-02,6.18,6.24,6.18,6.24,6.24,16
2011-12-06,6.29,6.3,6.29,6.3,6.3,3
2011-12-07,6.3,6.4,6.3,6.4,6.4,14
2011-12-08,6.35,6.35,6.35,6.35,6.35,10
2011-12-09,6.15,6.15,6.1,6.15,6.15,13
2011-12-14,6,6,6,6,6,4
2011-12-15,5.85,5.9,5.73,5.9,5.9,40
2011-12-16,6.1,6.1,6.1,6.1,6.1,2
2011-12-19,6.15,6.15,6.15,6.15,6.15,1
2011-12-20,6.1,6.19,6,6,6,6
2011-12-23,6.25,6.25,6.2,6.2,6.2,11
