Date,Open,High,Low,Close,Adj Close,Volume
2017-05-23,0.23,0.24,0.23,0.24,0.24,648200
2017-05-24,0.25,0.26,0.25,0.25,0.25,2982300
2017-05-25,0.25,0.26,0.25,0.26,0.26,518100
2017-05-26,0.25,0.25,0.25,0.25,0.25,920300
2017-05-29,0.24,0.24,0.24,0.24,0.24,1104200
2017-05-30,0.24,0.24,0.24,0.24,0.24,1715000
2017-05-31,0.24,0.24,0.23,0.23,0.23,1107400
2017-06-01,0.23,0.23,0.23,0.23,0.23,532400
2017-06-02,0.24,0.24,0.23,0.23,0.23,943400
2017-06-05,0.24,0.25,0.24,0.24,0.24,1248400
2017-06-06,0.24,0.24,0.24,0.24,0.24,171400
2017-06-07,0.25,0.31,0.25,0.3,0.3,6939400
2017-06-08,0.31,0.36,0.31,0.36,0.36,5684000
2017-06-09,0.34,0.41,0.34,0.41,0.41,7257700
2017-06-12,0.4,0.4,0.37,0.38,0.38,7817700
2017-06-13,0.38,0.39,0.38,0.38,0.38,2587800
2017-06-14,0.38,0.39,0.35,0.36,0.36,1175400
2017-06-15,0.36,0.4,0.36,0.39,0.39,3287100
2017-06-16,0.39,0.4,0.37,0.37,0.37,1696900
2017-06-19,0.37,0.37,0.36,0.36,0.36,1400300
2017-06-20,0.36,0.36,0.35,0.36,0.36,1111900
2017-06-21,0.37,0.4,0.37,0.39,0.39,3966900
2017-06-22,0.39,0.4,0.36,0.36,0.36,5920000
2017-06-23,0.36,0.36,0.35,0.36,0.36,494800
2017-06-26,0.36,0.36,0.35,0.36,0.36,2201800
2017-06-27,0.36,0.36,0.34,0.35,0.35,2030700
2017-06-28,0.33,0.33,0.31,0.31,0.31,2283700
2017-06-29,0.3,0.32,0.3,0.32,0.32,2064600
2017-06-30,0.32,0.32,0.31,0.31,0.31,821600
2017-07-03,0.3,0.3,0.29,0.29,0.29,2448900
2017-07-04,0.3,0.31,0.29,0.29,0.29,1816500
2017-07-05,0.3,0.31,0.3,0.31,0.31,1643600
2017-07-06,0.3,0.3,0.29,0.29,0.29,235300
2017-07-07,0.29,0.29,0.27,0.27,0.27,1364100
2017-07-11,0.26,0.27,0.26,0.27,0.27,2742100
2017-07-12,0.28,0.3,0.28,0.29,0.29,4471000
