Date,Open,High,Low,Close,Adj Close,Volume
2018-01-11,12.68,12.68,12.68,12.68,12.68,50
2018-02-19,10.68,10.68,10.68,10.68,10.68,1000
2018-03-13,10.64,10.64,10.64,10.64,10.64,6
2018-03-20,10.62,10.62,10.62,10.62,10.62,15
2018-03-26,13.29,13.29,13.29,13.29,13.29,1600
2018-03-27,12.92,12.92,12.92,12.92,12.92,1000
2018-03-29,9.82,9.82,9.82,9.82,9.82,300
2018-04-19,10.43,10.43,10.43,10.43,10.43,200
2018-04-20,10.43,10.43,10.43,10.43,10.43,200
2018-04-23,10.14,10.14,10.14,10.14,10.14,4
2018-04-24,10.14,10.14,10,10,10,31
2018-04-25,10.21,10.21,10.21,10.21,10.21,700
2018-05-02,9.99,9.99,9.99,9.99,9.99,210
2018-05-03,10.24,10.24,10.24,10.24,10.24,110
2018-05-04,10.1,10.1,10.1,10.1,10.1,600
2018-05-07,9.99,9.99,9.99,9.99,9.99,310
2018-05-08,9.94,9.94,9.94,9.94,9.94,10
2018-05-10,9.68,9.68,9.68,9.68,9.68,1411
2018-05-11,9.53,9.53,9.53,9.53,9.53,10
2018-05-14,9.68,9.68,9.68,9.68,9.68,10
2018-05-15,9.78,9.78,9.78,9.78,9.78,10
2018-05-16,9.8,9.8,9.8,9.8,9.8,100
2018-05-18,9.9,9.9,9.9,9.9,9.9,200
2018-05-21,9.85,9.85,9.85,9.85,9.85,200
2018-05-22,9.75,9.75,9.75,9.75,9.75,100
2018-05-23,9.65,9.65,9.65,9.65,9.65,200
2018-05-24,9.57,9.57,9.57,9.57,9.57,289
2018-05-28,9.75,9.75,9.75,9.75,9.75,5
2018-05-30,9.7,9.7,9.7,9.7,9.7,102
2018-05-31,9.83,9.83,9.83,9.83,9.83,200
2018-06-01,9.65,9.65,9.65,9.65,9.65,300
2018-06-04,9.59,9.62,9.59,9.62,9.62,118
2018-06-05,9.52,9.57,9.52,9.57,9.57,103
2018-06-06,9.5,9.62,9.5,9.62,9.62,203
2018-06-07,9.67,9.67,9.67,9.67,9.67,1164
2018-06-08,9.6,9.6,9.6,9.6,9.6,300
2018-06-11,9.72,9.72,9.72,9.72,9.72,101
2018-06-12,9.92,10.17,9.92,10.17,10.17,1549
2018-06-13,10.17,10.17,9.99,9.99,9.99,1642
2018-06-14,10.07,10.07,9.95,9.95,9.95,846
2018-06-15,10.04,10.1,10.04,10.07,10.07,1454
2018-06-18,10.21,10.31,10.11,10.11,10.11,1222
2018-06-19,10.27,10.3,10.09,10.3,10.3,2734
2018-06-20,10.44,10.44,10.44,10.44,10.44,901
2018-06-21,10.19,10.19,10.19,10.19,10.19,1002
2018-06-22,10.19,10.19,10.19,10.19,10.19,280
2018-06-25,10.27,10.27,10.12,10.12,10.12,2252
2018-06-26,9.99,10.1,9.99,10.08,10.08,2138
2018-06-27,10.26,10.26,9.99,9.99,9.99,1853
2018-06-28,9.89,9.89,9.89,9.89,9.89,801
2018-06-29,9.62,9.76,9.52,9.75,9.75,1365
2018-07-02,9.98,10.35,9.9,10.35,10.35,1315
2018-07-03,10.4,10.56,10.4,10.41,10.41,1556
2018-07-04,10.64,10.64,10.51,10.51,10.51,1947
2018-07-05,10.59,10.59,10.59,10.59,10.59,1051
2018-07-06,10.49,10.5,10.42,10.42,10.42,1350
2018-07-09,10.74,10.85,10.74,10.85,10.85,713
2018-07-10,10.5,10.72,10.5,10.51,10.51,213
2018-07-11,10.74,10.74,10.74,10.74,10.74,100
2018-07-12,10.62,10.62,10.5,10.5,10.5,141
2018-07-13,10.47,10.47,10.47,10.47,10.47,201
2018-07-16,10.72,10.72,10.44,10.44,10.44,717
2018-07-17,10.4,10.62,10.4,10.62,10.62,218
2018-07-18,10.8,10.8,10.8,10.8,10.8,300
2018-07-19,10.43,10.43,10.42,10.42,10.42,110
2018-07-20,10.62,10.73,10.62,10.73,10.73,34
2018-07-23,10.6,10.6,10.6,10.6,10.6,605
2018-07-24,10.3,10.35,9.92,10,10,2258
2018-07-25,10.03,10.32,10.03,10.15,10.15,126
2018-07-26,10.12,10.14,10.12,10.14,10.14,520
2018-07-31,10.14,10.14,10,10,10,308
2018-08-01,10.12,10.12,10.12,10.12,10.12,105
2018-08-03,10.12,10.14,10.1,10.1,10.1,213
2018-08-06,9.82,10.02,9.64,9.64,9.64,1278
2018-08-07,9.7,10,9.7,10,10,410
2018-08-08,10.02,10.02,10.02,10.02,10.02,105
2018-08-09,10.02,10.02,10.02,10.02,10.02,103
2018-08-10,9.95,10.19,9.85,10.14,10.14,1057
2018-08-14,10.19,10.2,10.16,10.2,10.2,335
2018-08-17,10.2,10.2,10.2,10.2,10.2,200
2018-08-21,10,10.05,10,10,10,530
2018-08-22,10.26,10.26,10.26,10.26,10.26,200
2018-08-24,9.96,10.09,9.93,10.09,10.09,159
2018-08-27,9.86,9.86,9.86,9.86,9.86,7
2018-08-28,10.09,10.09,10.09,10.09,10.09,7
2018-08-29,10.16,10.16,10.16,10.16,10.16,100
2018-08-30,9.94,9.95,9.94,9.95,9.95,314
2018-08-31,9.81,9.81,9.81,9.81,9.81,215
2018-09-03,9.99,9.99,9.99,9.99,9.99,101
2018-09-04,9.95,9.95,9.95,9.95,9.95,1
2018-09-05,9.86,9.86,9.86,9.86,9.86,5
2018-09-06,9.89,10.09,9.89,10.09,10.09,14
2018-09-10,10.22,10.22,10.22,10.22,10.22,100
2018-09-11,10.12,10.12,10.12,10.12,10.12,600
2018-09-12,10.19,10.19,10.12,10.12,10.12,35
2018-09-13,10.34,10.34,10.34,10.34,10.34,100
2018-09-14,10.6,10.6,10.6,10.6,10.6,301
2018-09-18,10.71,10.71,10.62,10.62,10.62,940
2018-09-19,10.85,11.31,10.85,11.31,11.31,411
2018-09-20,11.3,11.32,11.1,11.12,11.12,234
2018-09-21,11.16,11.16,10.96,11.1,11.1,55
2018-09-24,11.08,11.08,11.08,11.08,11.08,2
2018-09-25,11.02,11.02,10.47,10.47,10.47,338
2018-09-26,10.34,10.34,10.34,10.34,10.34,619
2018-09-27,10.2,10.3,10.2,10.3,10.3,65
