Date,Open,High,Low,Close,Adj Close,Volume
2011-11-17,9.4,9.4,9.2,9.2,9.2,206800
2011-11-18,9.75,9.75,9,9.2,9.2,432600
2011-11-21,9.2,9.2,9.2,9.2,9.2,8500
2011-11-22,9,9.2,9,9.2,9.2,9000
2011-11-23,9.15,9.15,9.1,9.1,9.1,34700
2011-11-24,9.15,9.15,9.1,9.15,9.15,32600
2011-11-25,9.15,9.15,9.1,9.15,9.15,33100
2011-11-28,9.15,9.15,9.1,9.15,9.15,13400
2011-11-29,9.15,9.15,9.15,9.15,9.15,10000
2011-11-30,9.2,9.2,9.15,9.15,9.15,7700
2011-12-01,9.2,9.5,9.2,9.5,9.5,25500
2011-12-02,9.3,9.3,9.3,9.3,9.3,3000
2011-12-06,9.2,9.2,9.15,9.15,9.15,29100
2011-12-07,9.15,9.15,9.15,9.15,9.15,4700
2011-12-08,9.15,9.15,9.15,9.15,9.15,33000
2011-12-09,9.2,9.2,9.15,9.15,9.15,16000
2011-12-13,9.15,9.15,9.15,9.15,9.15,7500
2011-12-14,9.15,9.15,9.15,9.15,9.15,17200
2011-12-15,9.15,9.15,9.15,9.15,9.15,23000
2011-12-16,9.1,9.1,9.1,9.1,9.1,1500
2011-12-19,9.15,9.15,9.1,9.15,9.15,4500
2011-12-20,9.15,9.15,9.1,9.1,9.1,51000
2011-12-21,9.1,9.1,9.1,9.1,9.1,17000
2011-12-22,9.1,9.2,9.1,9.2,9.2,22300
2011-12-23,9.1,9.15,9.1,9.15,9.15,10100
2011-12-26,9.1,9.15,9.1,9.15,9.15,124600
2011-12-27,9.1,9.1,9.1,9.1,9.1,17900
2011-12-28,9.1,9.2,9.05,9.2,9.2,92000
2011-12-29,9.1,9.2,9.1,9.2,9.2,9500
2011-12-30,9.15,9.95,9.1,9.95,9.95,156500
2012-01-04,9.15,9.2,9.1,9.2,9.2,76900
2012-01-05,9.15,9.25,9.1,9.25,9.25,150100
2012-01-06,9.15,9.15,9.15,9.15,9.15,2000
2012-01-10,9.15,9.2,9.15,9.2,9.2,16000
2012-01-11,9.25,9.25,9.25,9.25,9.25,100
2012-01-13,9.25,9.25,9.25,9.25,9.25,10000
2012-01-16,9.25,9.3,9.25,9.3,9.3,20000
2012-01-17,9.3,9.3,9.3,9.3,9.3,10000
2012-01-18,9.45,9.45,9.45,9.45,9.45,100
2012-01-19,9.45,9.45,9.45,9.45,9.45,5000
2012-01-20,9.4,9.4,9.4,9.4,9.4,100
2012-01-23,9.3,9.3,9.3,9.3,9.3,2000
2012-01-24,9.3,9.3,9.3,9.3,9.3,10000
2012-01-25,9.3,9.5,9.3,9.5,9.5,149000
2012-01-26,9.85,9.85,9.55,9.7,9.7,118900
2012-01-27,9.6,9.75,9.6,9.75,9.75,5100
2012-01-31,9.65,9.8,9.65,9.8,9.8,7600
2012-02-03,9.55,9.8,9.55,9.8,9.8,3000
2012-02-13,9.8,9.8,9.75,9.8,9.8,8000
2012-02-14,9.8,9.8,9.8,9.8,9.8,15000
2012-02-15,9.8,9.8,9.8,9.8,9.8,15000
2012-02-16,9.8,9.8,9.8,9.8,9.8,9600
2012-02-20,9.85,9.95,9.85,9.95,9.95,10000
2012-02-27,9.8,10,9.8,10,10,600
2012-02-28,9.8,9.85,9.8,9.85,9.85,67000
2012-02-29,9.8,9.9,9.8,9.9,9.9,26000
2012-03-01,9.7,9.7,9.7,9.7,9.7,100
