Date,Open,High,Low,Close,Adj Close,Volume
2009-08-11,10.5,10.5,10.5,10.5,10.5,1000
2009-10-07,10,10.2,10,10.2,10.2,20900
2009-10-08,10,10,10,10,10,8200
2009-10-09,10,10.2,10,10,10,26000
2009-10-12,10,10.2,10,10.2,10.2,26000
2009-10-14,9.95,9.95,9.95,9.95,9.95,900
2009-12-14,10,10,10,10,10,100
2009-12-16,10,10,10,10,10,2000
2009-12-18,10,10,10,10,10,2000
2009-12-21,10,10,10,10,10,100
2010-01-05,10,10,9,9,9,6800
2010-01-06,9,9,9,9,9,2000
2010-01-13,10,10,10,10,10,100
2010-01-20,10,10,10,10,10,2000
2010-01-22,10,10,10,10,10,3000
2010-01-25,10,10,10,10,10,3000
2010-01-29,9.8,9.8,9.8,9.8,9.8,100000
2010-02-11,10,10,10,10,10,3000
2010-02-12,10,10,10,10,10,1900
2010-02-15,10,10,10,10,10,20000
2010-02-17,9.9,9.9,9.9,9.9,9.9,1900
2010-02-18,9.9,9.9,9.9,9.9,9.9,4100
2010-02-23,9.95,9.95,9.95,9.95,9.95,2500
2010-02-24,10,10,10,10,10,20000
2010-03-02,10,10,10,10,10,3000
2010-03-03,10,10,10,10,10,17000
2010-03-04,10,10,10,10,10,2000
2010-03-05,10,10,10,10,10,10000
2010-03-09,10,10,10,10,10,9000
2010-03-10,10,10,10,10,10,1000
2010-03-12,10,10,10,10,10,5000
2010-04-28,10,10,10,10,10,500
2010-05-07,10,10,9.85,9.85,9.85,32500
2010-05-17,9.8,9.9,9.8,9.8,9.8,7500
2010-06-18,9.9,9.9,9.9,9.9,9.9,2000
2010-07-16,9.95,9.95,9.95,9.95,9.95,5000
2010-08-05,11,11,11,11,11,3000
2010-09-01,10.2,10.2,10.1,10.1,10.1,3000
2010-09-16,10.1,10.1,10.1,10.1,10.1,5000
2010-09-21,10,10,10,10,10,4000
2010-09-24,10.3,10.3,10.3,10.3,10.3,4000
2010-09-30,10.4,10.4,10.3,10.3,10.3,10000
2010-10-01,10.3,10.3,10.3,10.3,10.3,1000
2010-10-11,10.5,10.6,10.5,10.6,10.6,1000
2010-10-15,10.3,10.3,10.3,10.3,10.3,5000
2010-10-20,10.3,10.3,10.3,10.3,10.3,11000
2010-10-26,10.3,10.3,10.3,10.3,10.3,10000
2010-11-04,10.9,10.9,10.9,10.9,10.9,300
2010-11-24,10.9,10.9,10.9,10.9,10.9,10000
2010-11-25,11,11,11,11,11,2800
2010-11-26,10.8,10.8,10.8,10.8,10.8,2500
