Date,Open,High,Low,Close,Adj Close,Volume
2014-03-07,0.74,0.74,0.74,0.74,0.74,20000
2014-03-13,0.75,0.75,0.75,0.75,0.75,300
2014-03-14,0.73,0.73,0.73,0.73,0.73,200
2014-03-18,0.75,0.75,0.75,0.75,0.75,500
2014-03-19,0.8,0.8,0.77,0.77,0.77,41000
2014-03-20,0.74,0.75,0.74,0.75,0.75,1000
2014-03-21,0.76,0.77,0.76,0.77,0.77,41000
2014-03-24,0.75,0.77,0.75,0.77,0.77,2450000
2014-03-26,0.74,0.74,0.74,0.74,0.74,300
2014-03-28,0.74,0.75,0.74,0.75,0.75,200300
2014-03-31,0.75,0.76,0.75,0.76,0.76,200000
2014-04-01,0.78,0.78,0.78,0.78,0.78,100
2014-04-08,0.77,0.77,0.76,0.76,0.76,100000
2014-04-09,0.78,0.78,0.78,0.78,0.78,100
2014-04-24,0.86,0.86,0.86,0.86,0.86,10000
2014-04-28,0.85,0.85,0.85,0.85,0.85,100000
2014-04-29,0.84,0.84,0.84,0.84,0.84,10000
2014-05-08,0.8,0.8,0.8,0.8,0.8,100000
2014-05-09,0.78,0.78,0.78,0.78,0.78,10000
2014-05-12,0.67,0.7,0.66,0.7,0.7,610000
2014-05-14,0.67,0.68,0.67,0.68,0.68,150000
2014-05-15,0.69,0.69,0.68,0.69,0.69,650000
2014-05-16,0.68,0.69,0.68,0.69,0.69,2050000
2014-05-19,0.7,0.7,0.7,0.7,0.7,50000
2014-05-20,0.69,0.7,0.69,0.7,0.7,1000000
2014-05-21,0.7,0.7,0.69,0.69,0.69,1555400
2014-05-22,0.67,0.67,0.67,0.67,0.67,300000
2014-05-23,0.66,0.66,0.66,0.66,0.66,200000
2014-05-26,0.67,0.67,0.66,0.67,0.67,2500000
2014-05-27,0.63,0.63,0.63,0.63,0.63,40000
2014-05-28,0.65,0.65,0.65,0.65,0.65,40000
2014-05-29,0.64,0.64,0.63,0.63,0.63,40000
2014-05-30,0.63,0.66,0.63,0.65,0.65,1030000
2014-06-02,0.66,0.66,0.66,0.66,0.66,50000
2014-06-03,0.71,0.71,0.71,0.71,0.71,100
2014-06-04,0.72,0.72,0.71,0.71,0.71,51000
2014-06-06,0.72,0.76,0.72,0.75,0.75,158200
2014-06-09,0.76,0.77,0.75,0.75,0.75,160200
2014-06-10,0.76,0.77,0.76,0.76,0.76,400100
2014-06-11,0.76,0.77,0.73,0.76,0.76,2051000
2014-06-13,0.75,0.76,0.75,0.75,0.75,600000
2014-06-17,0.75,0.76,0.74,0.75,0.75,1000000
2014-06-20,0.75,0.75,0.75,0.75,0.75,800000
2014-06-24,0.75,0.76,0.75,0.76,0.76,610000
2014-06-25,0.76,0.76,0.76,0.76,0.76,63500
2014-06-26,0.77,0.77,0.77,0.77,0.77,240000
2014-06-27,0.75,0.75,0.74,0.75,0.75,104500
2014-07-02,0.77,0.78,0.77,0.78,0.78,544900
2014-07-03,0.78,0.79,0.78,0.78,0.78,9204200
2014-07-04,0.77,0.79,0.77,0.79,0.79,1845100
2014-07-07,0.79,0.8,0.79,0.8,0.8,4554300
2014-07-08,0.79,0.79,0.79,0.79,0.79,5877300
2014-07-10,0.78,0.79,0.78,0.78,0.78,1058700
2014-07-14,0.77,0.79,0.77,0.77,0.77,3004400
2014-07-21,0.82,0.82,0.81,0.81,0.81,2260500
2014-07-22,0.84,0.84,0.83,0.83,0.83,320500
2014-07-23,0.85,0.85,0.85,0.85,0.85,170000
2014-07-24,0.89,0.89,0.88,0.88,0.88,170000
2014-07-25,0.88,0.88,0.82,0.83,0.83,212200
2014-07-28,0.83,0.83,0.83,0.83,0.83,200500
2014-07-29,0.83,0.84,0.82,0.82,0.82,900700
2014-08-01,0.81,0.82,0.81,0.82,0.82,2400000
2014-08-04,0.83,0.84,0.83,0.83,0.83,1800000
2014-08-08,0.82,0.83,0.82,0.83,0.83,200000
2014-08-13,0.89,0.9,0.88,0.9,0.9,2430000
2014-08-14,0.9,0.9,0.89,0.89,0.89,190000
2014-08-19,0.99,1,0.99,0.99,0.99,293000
2014-08-20,1,1.03,1,1.03,1.03,190000
2014-08-21,1.04,1.04,1.01,1.01,1.01,25800
2014-08-25,1.04,1.04,1.04,1.04,1.04,50000
2014-08-26,1.05,1.05,1.05,1.05,1.05,50000
2014-09-01,1.05,1.07,1.05,1.07,1.07,600100
2014-09-02,1.08,1.11,1.08,1.11,1.11,20000
2014-09-03,1.1,1.1,1.1,1.1,1.1,4000
2014-09-04,1.1,1.1,1.1,1.1,1.1,40000
2014-09-09,1.14,1.14,1.14,1.14,1.14,100
2014-09-10,1.12,1.12,1.12,1.12,1.12,11800
2014-09-11,1.07,1.08,1.07,1.08,1.08,424000
2014-09-15,1.11,1.13,1.11,1.13,1.13,4000
2014-09-16,1.18,1.18,1.18,1.18,1.18,1000
2014-09-17,1.23,1.23,1.23,1.23,1.23,2000
2014-09-18,1.23,1.23,1.23,1.23,1.23,1000
2014-09-22,1.23,1.23,1.23,1.23,1.23,2000
2014-10-01,1.27,1.27,1.27,1.27,1.27,2000
2014-10-03,1.23,1.24,1.15,1.23,1.23,1804000
2014-10-16,1.25,1.26,1.23,1.23,1.23,1600000
2014-10-29,1.23,1.24,1.23,1.24,1.24,800000
2014-11-05,1.24,1.24,1.24,1.24,1.24,1000
2014-11-12,1.35,1.35,1.35,1.35,1.35,1000
2014-11-13,1.27,1.28,1.25,1.26,1.26,1000000
2014-11-27,1.45,1.47,1.45,1.47,1.47,600000
2014-11-28,1.43,1.45,1.43,1.45,1.45,800000
2014-12-08,1.42,1.45,1.4,1.41,1.41,612000
