Date,Open,High,Low,Close,Adj Close,Volume
2012-11-28,0.6,0.6,0.56,0.56,0.56,869900
2012-11-29,0.59,0.59,0.56,0.58,0.58,116100
2012-11-30,0.58,0.59,0.54,0.56,0.56,744000
2012-12-03,0.56,0.62,0.56,0.59,0.59,2169800
2012-12-04,0.61,0.62,0.6,0.6,0.6,1507200
2012-12-06,0.62,0.62,0.6,0.6,0.6,9852000
2012-12-07,0.62,0.62,0.6,0.6,0.6,1190000
2012-12-11,0.62,0.63,0.61,0.61,0.61,2932100
2012-12-12,0.62,0.64,0.61,0.61,0.61,4812100
2012-12-13,0.62,0.62,0.59,0.59,0.59,943600
2012-12-14,0.59,0.6,0.58,0.59,0.59,225200
2012-12-17,0.59,0.59,0.57,0.57,0.57,168200
2012-12-18,0.61,0.61,0.55,0.56,0.56,2692700
2012-12-19,0.57,0.58,0.54,0.55,0.55,3979400
2012-12-20,0.55,0.57,0.55,0.56,0.56,365100
2012-12-21,0.55,0.57,0.54,0.54,0.54,653200
2012-12-24,0.52,0.55,0.52,0.54,0.54,1357600
2012-12-25,0.56,0.56,0.54,0.54,0.54,827100
2012-12-26,0.54,0.56,0.53,0.53,0.53,3356100
2012-12-27,0.55,0.56,0.53,0.56,0.56,1400300
2012-12-28,0.55,0.56,0.54,0.54,0.54,1038000
2013-01-02,0.54,0.55,0.54,0.54,0.54,1280100
2013-01-03,0.55,0.6,0.55,0.59,0.59,7742100
2013-01-04,0.57,0.59,0.57,0.59,0.59,2776400
2013-01-07,0.59,0.62,0.59,0.62,0.62,5222600
2013-01-08,0.65,0.66,0.62,0.64,0.64,4345700
2013-01-09,0.64,0.67,0.64,0.66,0.66,3520000
2013-01-10,0.69,0.69,0.65,0.65,0.65,5094300
2013-01-11,0.65,0.66,0.61,0.66,0.66,1733600
2013-01-14,0.66,0.71,0.65,0.7,0.7,1757400
2013-01-15,0.71,0.71,0.64,0.65,0.65,2670300
2013-01-16,0.67,0.67,0.63,0.64,0.64,3308600
2013-01-17,0.62,0.62,0.59,0.59,0.59,992000
2013-01-18,0.59,0.59,0.58,0.59,0.59,969100
2013-01-21,0.6,0.6,0.57,0.58,0.58,2101700
2013-01-22,0.61,0.65,0.6,0.65,0.65,4597100
2013-01-23,0.65,0.66,0.59,0.61,0.61,5717700
2013-01-24,0.62,0.64,0.61,0.61,0.61,676500
2013-01-25,0.63,0.66,0.63,0.65,0.65,5345000
2013-01-28,0.67,0.71,0.67,0.71,0.71,7039200
2013-01-29,0.73,0.73,0.69,0.7,0.7,3818100
2013-01-30,0.69,0.7,0.68,0.68,0.68,664200
2013-01-31,0.67,0.72,0.67,0.68,0.68,2564100
2013-02-01,0.72,0.74,0.7,0.71,0.71,3231000
2013-02-04,0.72,0.72,0.69,0.7,0.7,1957200
2013-02-05,0.68,0.72,0.68,0.69,0.69,4051500
2013-02-06,0.72,0.79,0.72,0.75,0.75,22161900
2013-02-07,0.74,0.74,0.72,0.74,0.74,2374400
2013-02-08,0.77,0.83,0.77,0.82,0.82,8414200
2013-02-11,0.84,0.88,0.83,0.85,0.85,13261100
2013-02-12,0.83,0.88,0.83,0.87,0.87,1783200
2013-02-13,0.88,0.9,0.88,0.89,0.89,708300
2013-02-14,0.92,0.96,0.92,0.94,0.94,3376400
2013-02-15,0.91,0.98,0.91,0.96,0.96,1317000
2013-02-18,0.96,0.96,0.92,0.94,0.94,1818300
2013-02-19,0.96,0.96,0.93,0.93,0.93,1405000
2013-02-20,0.91,0.94,0.91,0.92,0.92,1134200
2013-02-21,0.9,0.9,0.86,0.87,0.87,850400
2013-02-22,0.92,1.03,0.9,1.02,1.02,6011600
2013-02-26,0.97,1,0.95,0.99,0.99,5287000
2013-02-27,1.03,1.1,0.98,1.02,1.02,9648900
2013-02-28,1.02,1.05,0.97,0.99,0.99,6541600
2013-03-01,0.99,1.08,0.99,1.04,1.04,5857500
2013-03-04,1.02,1.02,0.97,1.02,1.02,5620700
2013-03-05,1,1.05,0.99,1.02,1.02,16205500
2013-03-06,1.03,1.04,1.02,1.03,1.03,3340200
