Date,Open,High,Low,Close,Adj Close,Volume
2017-01-16,0.51,0.53,0.51,0.53,0.53,360000
2017-01-17,0.53,0.55,0.53,0.55,0.55,495000
2017-01-18,0.54,0.55,0.54,0.55,0.55,900000
2017-01-19,0.56,0.57,0.56,0.57,0.57,270000
2017-01-20,0.58,0.58,0.58,0.58,0.58,720000
2017-01-23,0.56,0.58,0.55,0.58,0.58,582200
2017-01-24,0.56,0.56,0.53,0.55,0.55,720000
2017-01-25,0.53,0.53,0.52,0.52,0.52,1001000
2017-01-26,0.52,0.54,0.51,0.51,0.51,644000
2017-01-27,0.52,0.54,0.51,0.51,0.51,730000
2017-01-30,0.52,0.54,0.52,0.54,0.54,550000
2017-01-31,0.55,0.55,0.53,0.53,0.53,461600
2017-02-01,0.54,0.57,0.54,0.55,0.55,1011600
2017-02-02,0.54,0.54,0.52,0.52,0.52,550000
2017-02-03,0.54,0.54,0.54,0.54,0.54,180000
2017-02-06,0.53,0.53,0.53,0.53,0.53,450000
2017-02-07,0.53,0.54,0.52,0.52,0.52,360100
2017-02-08,0.5,0.5,0.46,0.48,0.48,1238100
2017-02-09,0.47,0.49,0.47,0.48,0.48,680000
2017-02-10,0.48,0.52,0.48,0.52,0.52,1711200
2017-02-14,0.51,0.51,0.51,0.51,0.51,91000
2017-02-15,0.49,0.51,0.49,0.5,0.5,1172000
2017-02-16,0.51,0.52,0.51,0.52,0.52,679000
2017-02-17,0.52,0.52,0.52,0.52,0.52,181000
2017-02-20,0.51,0.52,0.51,0.52,0.52,290000
2017-02-21,0.55,0.55,0.54,0.55,0.55,3002000
2017-02-22,0.55,0.56,0.55,0.55,0.55,1735000
2017-02-23,0.56,0.57,0.56,0.57,0.57,1271100
2017-02-24,0.57,0.57,0.54,0.54,0.54,808800
2017-02-27,0.55,0.55,0.53,0.53,0.53,900000
2017-02-28,0.51,0.54,0.5,0.54,0.54,827000
2017-03-01,0.51,0.51,0.51,0.51,0.51,1660000
2017-03-02,0.51,0.51,0.5,0.5,0.5,366300
2017-03-06,0.5,0.5,0.5,0.5,0.5,90000
2017-03-07,0.51,0.52,0.51,0.51,0.51,566100
2017-03-08,0.51,0.52,0.51,0.52,0.52,190000
2017-03-09,0.52,0.53,0.52,0.53,0.53,270000
2017-03-10,0.53,0.53,0.52,0.52,0.52,210000
2017-03-13,0.53,0.54,0.52,0.52,0.52,270000
2017-03-14,0.54,0.54,0.54,0.54,0.54,90000
2017-03-15,0.53,0.53,0.51,0.51,0.51,450000
2017-03-16,0.5,0.5,0.49,0.49,0.49,810000
2017-03-17,0.48,0.48,0.48,0.48,0.48,90000
2017-03-20,0.47,0.49,0.47,0.47,0.47,279000
2017-03-21,0.47,0.47,0.47,0.47,0.47,550000
2017-03-22,0.48,0.48,0.46,0.46,0.46,287000
2017-03-23,0.45,0.45,0.44,0.44,0.44,376000
2017-03-24,0.44,0.45,0.44,0.45,0.45,134000
2017-03-27,0.44,0.44,0.43,0.43,0.43,314000
2017-03-28,0.43,0.43,0.42,0.42,0.42,78000
