Date,Open,High,Low,Close,Adj Close,Volume
2011-06-22,1.17,1.2,1.14,1.14,1.14,118000
2011-06-24,1.14,1.14,1.14,1.14,1.14,10000
2011-06-27,1.12,1.12,1.12,1.12,1.12,10000
2011-06-29,1.15,1.2,1.15,1.2,1.2,452400
2011-06-30,1.2,1.2,1.2,1.2,1.2,50000
2011-07-08,1.26,1.3,1.24,1.26,1.26,12200
2011-07-11,1.3,1.35,1.28,1.34,1.34,1000000
2011-07-12,1.34,1.34,1.34,1.34,1.34,200000
2011-07-13,1.39,1.41,1.39,1.41,1.41,235000
2011-07-14,1.42,1.42,1.4,1.4,1.4,70000
2011-07-18,1.43,1.44,1.43,1.43,1.43,333300
2011-07-19,1.5,1.5,1.5,1.5,1.5,101700
2011-08-01,1.76,1.76,1.67,1.7,1.7,160000
2011-08-02,1.8,1.8,1.8,1.8,1.8,40000
2011-08-04,1.67,1.7,1.66,1.66,1.66,125000
2011-08-05,1.45,1.48,1.41,1.41,1.41,145000
2011-08-08,1.23,1.26,1.23,1.26,1.26,4000
2011-08-09,1.19,1.29,1.19,1.19,1.19,80000
2011-08-10,1.28,1.29,1.25,1.25,1.25,52000
2011-08-15,1.25,1.3,1.25,1.3,1.3,64000
2011-08-16,1.39,1.46,1.39,1.46,1.46,4000
2011-08-17,1.47,1.56,1.47,1.56,1.56,54500
2011-08-18,1.55,1.56,1.55,1.56,1.56,40000
2011-08-19,1.38,1.38,1.38,1.38,1.38,4500
2011-08-22,1.38,1.47,1.35,1.47,1.47,125000
2011-08-23,1.55,1.56,1.52,1.52,1.52,15800
2011-08-25,1.35,1.35,1.2,1.2,1.2,93000
2011-08-26,1.06,1.28,1.06,1.28,1.28,105100
2011-08-29,1.28,1.32,1.28,1.32,1.32,20000
2011-08-30,1.34,1.37,1.3,1.32,1.32,144000
2011-08-31,1.34,1.4,1.34,1.39,1.39,243300
2011-09-01,1.44,1.47,1.41,1.47,1.47,237100
2011-09-02,1.44,1.46,1.44,1.46,1.46,80000
2011-09-05,1.45,1.45,1.34,1.34,1.34,31500
2011-09-06,1.29,1.35,1.29,1.35,1.35,80000
2011-09-07,1.33,1.33,1.26,1.28,1.28,246600
2011-09-08,1.28,1.3,1.25,1.3,1.3,9100
2011-09-09,1.31,1.31,1.27,1.27,1.27,56500
2011-09-12,1.17,1.19,1.11,1.16,1.16,559000
2011-09-13,1.13,1.13,1.1,1.11,1.11,1343500
2011-09-14,1.09,1.12,1.04,1.1,1.1,607200
2011-09-15,1.1,1.11,1.07,1.07,1.07,685500
2011-09-16,1.13,1.13,1.08,1.1,1.1,522000
2011-09-19,0.99,0.99,0.99,0.99,0.99,202000
2011-09-20,0.97,0.97,0.94,0.95,0.95,490000
2011-09-21,0.97,0.99,0.95,0.95,0.95,206600
2011-09-22,0.9,0.9,0.82,0.82,0.82,576800
2011-09-23,0.7,0.7,0.6,0.64,0.64,387200
2011-09-26,0.53,0.53,0.38,0.43,0.43,299800
2011-09-27,0.61,0.64,0.61,0.64,0.64,8000
2011-09-28,0.54,0.56,0.54,0.54,0.54,228000
2011-09-29,0.48,0.53,0.48,0.53,0.53,410000
2011-09-30,0.48,0.51,0.48,0.49,0.49,1120000
2011-10-03,0.39,0.39,0.32,0.34,0.34,382100
2011-10-04,0.31,0.32,0.3,0.31,0.31,650100
2011-10-05,0.31,0.32,0.3,0.31,0.31,860000
2011-10-06,0.32,0.4,0.32,0.39,0.39,1310000
2011-10-07,0.45,0.45,0.4,0.4,0.4,480000
2011-10-10,0.36,0.38,0.36,0.37,0.37,240000
2011-10-11,0.41,0.43,0.41,0.43,0.43,587400
2011-10-13,0.44,0.46,0.44,0.46,0.46,160000
2011-10-14,0.39,0.39,0.39,0.39,0.39,60000
2011-10-17,0.39,0.43,0.39,0.43,0.43,364500
2011-10-18,0.37,0.37,0.37,0.37,0.37,50000
2011-10-19,0.33,0.33,0.32,0.32,0.32,206000
2011-10-20,0.25,0.26,0.24,0.24,0.24,360000
2011-10-21,0.25,0.25,0.25,0.25,0.25,20000
2011-10-25,0.25,0.27,0.25,0.25,0.25,682000
2011-10-26,0.25,0.29,0.25,0.29,0.29,630000
2011-10-27,0.26,0.28,0.25,0.28,0.28,698000
2011-10-28,0.31,0.31,0.31,0.31,0.31,648000
2011-10-31,0.3,0.31,0.29,0.31,0.31,260000
2011-11-02,0.29,0.29,0.29,0.29,0.29,100500
2011-11-08,0.34,0.35,0.34,0.35,0.35,50800
2011-11-14,0.38,0.38,0.38,0.38,0.38,5000
2011-11-22,0.23,0.23,0.21,0.21,0.21,40000
2011-11-24,0.18,0.18,0.17,0.18,0.18,18100
2011-11-25,0.17,0.17,0.17,0.17,0.17,20100
2011-11-28,0.15,0.15,0.15,0.15,0.15,10000
2011-11-29,0.19,0.19,0.19,0.19,0.19,30500
2011-12-01,0.26,0.3,0.26,0.3,0.3,300
2011-12-06,0.3,0.4,0.3,0.4,0.4,140000
2011-12-07,0.35,0.41,0.35,0.39,0.39,100800
2011-12-13,0.09,0.09,0.09,0.09,0.09,15000
2011-12-15,0.01,0.01,0.01,0.01,0.01,200000
