Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,0.24,0.24,0.23,0.23,0.23,762000
2017-02-02,0.24,0.24,0.24,0.24,0.24,2098400
2017-02-03,0.24,0.24,0.23,0.23,0.23,33800
2017-02-06,0.24,0.24,0.24,0.24,0.24,1246800
2017-02-07,0.24,0.25,0.24,0.24,0.24,1069600
2017-02-08,0.27,0.28,0.25,0.25,0.25,5135400
2017-02-09,0.27,0.28,0.25,0.26,0.26,1889000
2017-02-10,0.26,0.26,0.24,0.24,0.24,1460600
2017-02-14,0.25,0.25,0.24,0.24,0.24,180000
2017-02-15,0.24,0.24,0.24,0.24,0.24,1204700
2017-02-16,0.24,0.24,0.24,0.24,0.24,1000
2017-02-17,0.23,0.23,0.23,0.23,0.23,802000
2017-02-20,0.24,0.24,0.24,0.24,0.24,242500
2017-02-21,0.21,0.22,0.21,0.22,0.22,420000
2017-02-22,0.21,0.21,0.2,0.2,0.2,820000
2017-02-23,0.2,0.2,0.2,0.2,0.2,600900
2017-02-24,0.2,0.21,0.2,0.21,0.21,1510400
2017-02-27,0.21,0.22,0.21,0.21,0.21,2821400
2017-02-28,0.22,0.23,0.22,0.22,0.22,3180000
2017-03-01,0.22,0.22,0.22,0.22,0.22,100000
2017-03-02,0.22,0.22,0.22,0.22,0.22,480000
2017-03-03,0.22,0.22,0.22,0.22,0.22,1000000
2017-03-06,0.23,0.23,0.23,0.23,0.23,180000
2017-03-07,0.22,0.22,0.21,0.21,0.21,1800000
2017-03-08,0.22,0.22,0.21,0.21,0.21,180500
2017-03-13,0.2,0.2,0.2,0.2,0.2,100000
2017-03-15,0.2,0.2,0.2,0.2,0.2,900000
2017-03-16,0.21,0.22,0.21,0.22,0.22,3037000
2017-03-17,0.22,0.23,0.22,0.23,0.23,100100
2017-03-20,0.22,0.22,0.22,0.22,0.22,580000
2017-03-22,0.22,0.23,0.22,0.23,0.23,1720000
2017-03-23,0.24,0.24,0.24,0.24,0.24,1691000
2017-03-24,0.23,0.23,0.23,0.23,0.23,100000
2017-03-27,0.24,0.24,0.24,0.24,0.24,600200
2017-03-29,0.26,0.26,0.26,0.26,0.26,2000
2017-03-30,0.25,0.26,0.25,0.26,0.26,1340000
2017-03-31,0.26,0.26,0.26,0.26,0.26,180000
2017-04-03,0.26,0.26,0.26,0.26,0.26,740000
2017-04-04,0.26,0.26,0.26,0.26,0.26,3172000
2017-04-05,0.27,0.28,0.27,0.28,0.28,360000
2017-04-17,0.25,0.25,0.25,0.25,0.25,100000
2017-04-18,0.27,0.27,0.26,0.26,0.26,1300000
2017-04-20,0.25,0.26,0.25,0.26,0.26,1200000
2017-04-24,0.27,0.27,0.25,0.25,0.25,2200000
2017-04-25,0.27,0.27,0.25,0.25,0.25,1453400
2017-04-26,0.26,0.27,0.26,0.26,0.26,3285400
2017-04-27,0.27,0.27,0.27,0.27,0.27,164000
2017-04-28,0.27,0.27,0.26,0.26,0.26,580000
2017-05-02,0.27,0.27,0.26,0.26,0.26,882000
2017-05-03,0.26,0.26,0.25,0.25,0.25,1480000
2017-05-04,0.25,0.26,0.25,0.25,0.25,1290000
2017-05-05,0.25,0.25,0.25,0.25,0.25,930000
2017-05-08,0.25,0.25,0.25,0.25,0.25,180000
2017-05-11,0.25,0.25,0.25,0.25,0.25,2480000
2017-05-12,0.23,0.23,0.21,0.21,0.21,5481000
2017-05-15,0.22,0.22,0.21,0.21,0.21,600000
2017-05-16,0.21,0.22,0.21,0.21,0.21,3020600
2017-05-17,0.21,0.22,0.18,0.18,0.18,4507600
2017-05-18,0.18,0.18,0.17,0.17,0.17,350000
2017-05-19,0.18,0.23,0.18,0.23,0.23,18273100
2017-05-22,0.24,0.25,0.22,0.22,0.22,7805000
2017-05-23,0.23,0.24,0.23,0.23,0.23,2719300
2017-05-24,0.24,0.25,0.24,0.24,0.24,1749200
2017-05-25,0.24,0.24,0.24,0.24,0.24,180000
2017-05-26,0.24,0.24,0.24,0.24,0.24,2386600
2017-05-31,0.24,0.24,0.23,0.23,0.23,509000
2017-06-01,0.25,0.25,0.23,0.23,0.23,492000
2017-06-02,0.22,0.23,0.22,0.22,0.22,4553500
2017-06-05,0.22,0.22,0.21,0.21,0.21,2693500
2017-06-06,0.22,0.24,0.22,0.24,0.24,2661000
2017-06-07,0.23,0.23,0.23,0.23,0.23,360000
2017-06-08,0.23,0.23,0.23,0.23,0.23,1802000
2017-06-09,0.23,0.23,0.23,0.23,0.23,180000
2017-06-12,0.22,0.23,0.22,0.22,0.22,3000000
2017-06-13,0.23,0.23,0.22,0.23,0.23,3029500
2017-06-14,0.23,0.23,0.23,0.23,0.23,1783000
2017-06-15,0.24,0.28,0.24,0.27,0.27,4687400
2017-06-16,0.27,0.29,0.27,0.28,0.28,9669500
2017-06-19,0.31,0.31,0.29,0.29,0.29,2620000
2017-06-20,0.3,0.31,0.28,0.28,0.28,5579200
2017-06-21,0.28,0.28,0.28,0.28,0.28,2948200
2017-06-22,0.28,0.33,0.28,0.32,0.32,9635400
2017-06-23,0.32,0.34,0.32,0.32,0.32,6621100
2017-06-26,0.32,0.33,0.31,0.31,0.31,2610000
2017-06-27,0.33,0.37,0.33,0.37,0.37,12449600
2017-06-28,0.35,0.35,0.34,0.34,0.34,3086200
2017-06-29,0.34,0.34,0.3,0.3,0.3,3391100
2017-06-30,0.31,0.31,0.29,0.29,0.29,4960000
2017-07-03,0.31,0.32,0.31,0.31,0.31,1700000
2017-07-04,0.32,0.34,0.31,0.31,0.31,5021000
2017-07-05,0.31,0.31,0.3,0.3,0.3,7475300
2017-07-06,0.27,0.29,0.26,0.28,0.28,2075400
2017-07-07,0.29,0.31,0.29,0.29,0.29,4689900
2017-07-11,0.29,0.31,0.29,0.31,0.31,2509500
2017-07-12,0.32,0.32,0.3,0.3,0.3,6344000
2017-07-13,0.31,0.32,0.31,0.31,0.31,7775000
2017-07-14,0.31,0.32,0.29,0.32,0.32,580200
2017-07-17,0.33,0.33,0.31,0.31,0.31,920000
2017-07-18,0.31,0.32,0.31,0.31,0.31,1190000
2017-07-19,0.31,0.31,0.3,0.3,0.3,2454600
2017-07-20,0.3,0.3,0.3,0.3,0.3,100000
2017-07-21,0.31,0.31,0.3,0.3,0.3,3248000
2017-07-24,0.31,0.31,0.31,0.31,0.31,4362600
2017-07-25,0.32,0.32,0.3,0.3,0.3,1303000
2017-07-26,0.31,0.31,0.3,0.3,0.3,2920800
2017-07-31,0.31,0.33,0.31,0.33,0.33,3180000
2017-08-01,0.33,0.33,0.32,0.32,0.32,133800
2017-08-02,0.31,0.32,0.31,0.31,0.31,4056800
2017-08-03,0.29,0.29,0.29,0.29,0.29,80000
2017-08-04,0.27,0.27,0.27,0.27,0.27,53800
2017-08-07,0.28,0.29,0.28,0.28,0.28,1982000
2017-08-08,0.28,0.28,0.27,0.27,0.27,440000
2017-08-09,0.27,0.28,0.24,0.24,0.24,2872600
2017-08-10,0.24,0.26,0.24,0.24,0.24,970000
2017-08-11,0.23,0.23,0.23,0.23,0.23,100000
2017-08-15,0.23,0.23,0.21,0.21,0.21,2738400
2017-08-16,0.21,0.23,0.21,0.23,0.23,796000
2017-08-17,0.21,0.21,0.21,0.21,0.21,2922600
2017-08-18,0.21,0.21,0.19,0.19,0.19,2817000
2017-08-21,0.19,0.21,0.19,0.2,0.2,2519600
2017-08-22,0.2,0.2,0.2,0.2,0.2,760000
2017-08-23,0.21,0.21,0.21,0.21,0.21,1710200
2017-08-24,0.2,0.2,0.19,0.2,0.2,2479500
2017-08-25,0.2,0.2,0.2,0.2,0.2,3189000
2017-08-28,0.2,0.21,0.2,0.21,0.21,3364000
2017-08-29,0.21,0.22,0.2,0.22,0.22,2410000
2017-08-30,0.23,0.23,0.22,0.22,0.22,700000
2017-08-31,0.22,0.22,0.21,0.21,0.21,2837400
2017-09-01,0.22,0.22,0.21,0.21,0.21,1100100
2017-09-04,0.21,0.21,0.2,0.2,0.2,1120000
2017-09-05,0.2,0.2,0.2,0.2,0.2,100000
2017-09-06,0.2,0.2,0.19,0.19,0.19,1360000
2017-09-07,0.2,0.2,0.2,0.2,0.2,100000
2017-09-08,0.21,0.21,0.2,0.2,0.2,960000
2017-09-11,0.2,0.2,0.18,0.18,0.18,500000
2017-09-12,0.18,0.18,0.18,0.18,0.18,131000
2017-09-13,0.18,0.18,0.17,0.17,0.17,1418000
2017-09-14,0.18,0.18,0.17,0.17,0.17,3050000
2017-09-15,0.17,0.17,0.17,0.17,0.17,1740000
2017-09-18,0.18,0.18,0.17,0.18,0.18,1433300
2017-09-19,0.19,0.2,0.18,0.19,0.19,9718300
2017-09-20,0.2,0.21,0.2,0.2,0.2,6489500
2017-09-22,0.19,0.19,0.18,0.18,0.18,209500
2017-09-25,0.17,0.18,0.17,0.17,0.17,1950000
2017-09-26,0.18,0.18,0.17,0.17,0.17,400000
2017-09-27,0.18,0.21,0.18,0.21,0.21,7971900
2017-09-28,0.21,0.21,0.2,0.2,0.2,2341400
2017-09-29,0.2,0.21,0.2,0.2,0.2,1666300
2017-10-02,0.21,0.23,0.21,0.22,0.22,2923900
2017-10-03,0.22,0.23,0.22,0.22,0.22,4565900
2017-10-04,0.23,0.23,0.21,0.21,0.21,280000
2017-10-05,0.22,0.23,0.22,0.22,0.22,480000
2017-10-06,0.23,0.23,0.23,0.23,0.23,310000
2017-10-09,0.22,0.22,0.19,0.19,0.19,2570000
2017-10-10,0.2,0.21,0.19,0.21,0.21,2325600
2017-10-11,0.21,0.22,0.21,0.21,0.21,3067800
2017-10-12,0.24,0.24,0.23,0.23,0.23,280000
2017-10-16,0.21,0.21,0.2,0.2,0.2,440000
2017-10-17,0.21,0.21,0.21,0.21,0.21,2160000
2017-10-19,0.2,0.2,0.17,0.17,0.17,979400
2017-10-20,0.17,0.18,0.17,0.18,0.18,814000
2017-10-24,0.19,0.19,0.19,0.19,0.19,1285600
2017-10-25,0.19,0.19,0.19,0.19,0.19,480000
2017-10-27,0.22,0.24,0.22,0.24,0.24,1425400
2017-10-30,0.24,0.26,0.23,0.25,0.25,5227000
2017-10-31,0.26,0.26,0.26,0.26,0.26,2073800
2017-11-01,0.26,0.26,0.23,0.23,0.23,2757000
2017-11-02,0.24,0.26,0.24,0.24,0.24,2460000
2017-11-03,0.25,0.28,0.25,0.27,0.27,3234700
2017-11-06,0.27,0.32,0.27,0.32,0.32,2250600
2017-11-07,0.29,0.31,0.29,0.3,0.3,4372600
2017-11-08,0.29,0.29,0.26,0.26,0.26,1506000
2017-11-09,0.24,0.24,0.23,0.23,0.23,426900
2017-11-10,0.22,0.22,0.2,0.21,0.21,1805000
2017-11-13,0.2,0.21,0.2,0.21,0.21,2526200
2017-11-14,0.21,0.24,0.21,0.24,0.24,2690000
2017-11-15,0.23,0.23,0.22,0.22,0.22,890000
