Date,Open,High,Low,Close,Adj Close,Volume
2015-02-18,34,34,34,34,34,100
2015-02-19,34.47,34.47,34.47,34.47,34.47,100
2015-02-24,36.5,36.5,36.5,36.5,36.5,201
2015-02-25,35.62,35.62,35.62,35.62,35.62,250
2015-02-26,34.72,34.72,34.72,34.72,34.72,100
2015-02-27,34.5,34.5,34.5,34.5,34.5,100
2015-03-02,34.25,34.25,34.25,34.25,34.25,100
2015-03-05,33.95,33.95,33.95,33.95,33.95,100
2015-03-06,34.5,34.5,34.5,34.5,34.5,151
2015-03-18,33.63,33.63,33.63,33.63,33.63,100
2015-03-20,35.5,35.5,35.5,35.5,35.5,4
2015-03-26,34,34,34,34,34,1
2015-03-27,34,34,34,34,34,2
2015-04-07,35,35,35,35,35,102
2015-04-08,38.54,38.54,38.54,38.54,38.54,100
