Date,Open,High,Low,Close,Adj Close,Volume
2014-06-04,26.75,26.75,26.75,26.75,26.75,600
2014-06-11,27.21,27.21,27.21,27.21,27.21,200
2014-06-12,27.45,27.45,27.45,27.45,27.45,400
2014-06-19,28.47,28.47,28.47,28.47,28.47,200
2014-06-20,28,28,28,28,28,100
2014-06-23,28,28,28,28,28,201
2014-06-24,28,28,27.5,27.5,27.5,2
2014-06-25,27,27,27,27,27,101
2014-06-26,29.34,29.34,29.34,29.34,29.34,200
2014-06-27,28,29,28,29,29,105
2014-06-30,29.72,29.72,29.72,29.72,29.72,100
2014-07-02,29,29.75,29,29.75,29.75,103
2014-07-03,30,30.5,30,30.5,30.5,9
2014-07-04,31.7,31.75,31.7,31.75,31.75,6
2014-07-08,31.5,31.5,31.5,31.5,31.5,5
2014-07-10,32.75,32.75,32.75,32.75,32.75,101
2014-07-14,33,34.85,33,33,33,9
2014-07-15,33.75,33.8,32.5,33.1,33.1,221
2014-07-16,32.25,32.25,32.25,32.25,32.25,101
2014-07-17,32.5,32.5,32.25,32.25,32.25,2
2014-07-18,32.75,32.75,32.5,32.5,32.5,302
2014-07-22,32.86,32.86,32.86,32.86,32.86,2200
2014-07-23,34.77,34.77,34.77,34.77,34.77,400
2014-07-24,33.22,33.22,33.22,33.22,33.22,2700
2014-07-25,34.52,34.52,34.52,34.52,34.52,401
2014-07-28,35,35.25,34.9,34.9,34.9,15
2014-07-29,33.75,33.75,33.75,33.75,33.75,200
2014-07-30,33.5,33.5,32,33.5,33.5,208
2014-07-31,34.29,34.29,32,32,32,102
2014-08-01,31,31.99,31,31.99,31.99,216
2014-08-04,32,32,32,32,32,403
2014-08-05,32.75,32.75,32.75,32.75,32.75,700
2014-08-06,32,32,31.75,31.75,31.75,803
2014-08-07,32,32.5,32,32.5,32.5,1102
2014-08-08,32.3,32.3,32.3,32.3,32.3,301
2014-08-13,33.3,33.44,33.3,33.44,33.44,2002
2014-08-14,32.75,32.75,32.75,32.75,32.75,600
2014-08-15,33.25,33.25,33.25,33.25,33.25,200
2014-08-18,32.5,32.5,32.5,32.5,32.5,200
2014-08-19,33.25,33.25,33.25,33.25,33.25,301
2014-08-20,33.75,33.75,33.75,33.75,33.75,201
2014-08-21,34,34,34,34,34,404
2014-08-25,34.3,34.3,34.3,34.3,34.3,301
2014-08-26,34.79,34.79,34.79,34.79,34.79,650
2014-08-27,35,35,35,35,35,754
2014-08-28,35,35,35,35,35,100
2014-08-29,35.47,35.47,35.47,35.47,35.47,100
2014-09-01,36,36,35.6,35.6,35.6,102
2014-09-04,36,36,36,36,36,100
2014-09-08,35.54,35.54,35.54,35.54,35.54,1
2014-09-10,35.1,35.1,35,35,35,206
2014-09-19,35.5,36,35.5,36,36,303
2014-09-25,35,35,34,34,34,4
2014-09-26,36,36,36,36,36,1
