Date,Open,High,Low,Close,Adj Close,Volume
2018-05-03,0.13,0.15,0.13,0.15,0.15,653200
2018-05-04,0.18,0.18,0.16,0.16,0.16,2824400
2018-05-07,0.17,0.19,0.17,0.19,0.19,395800
2018-05-08,0.17,0.17,0.15,0.15,0.15,2684100
2018-05-09,0.16,0.18,0.16,0.18,0.18,365400
2018-05-10,0.18,0.19,0.18,0.19,0.19,3649700
2018-05-11,0.2,0.23,0.2,0.22,0.22,1582200
2018-05-14,0.18,0.2,0.18,0.2,0.2,695000
2018-05-15,0.18,0.19,0.16,0.16,0.16,897600
2018-05-16,0.12,0.15,0.12,0.13,0.13,2642200
2018-05-17,0.13,0.13,0.1,0.1,0.1,3221200
2018-05-18,0.11,0.13,0.11,0.13,0.13,641200
2018-05-21,0.12,0.12,0.12,0.12,0.12,575900
2018-05-22,0.12,0.13,0.12,0.12,0.12,1157100
2018-05-23,0.12,0.12,0.12,0.12,0.12,834500
2018-05-24,0.11,0.11,0.11,0.11,0.11,319800
2018-05-25,0.1,0.1,0.1,0.1,0.1,272100
2018-06-01,0.05,0.05,0.05,0.05,0.05,100
2018-06-06,0.06,0.06,0.06,0.06,0.06,100
2018-06-08,0.06,0.06,0.06,0.06,0.06,200
2018-06-22,0.03,0.03,0.03,0.03,0.03,200
2018-07-04,0.01,0.01,0.01,0.01,0.01,500
2018-07-06,0.02,0.02,0.02,0.02,0.02,600000
