Date,Open,High,Low,Close,Adj Close,Volume
2017-06-28,0.54,0.54,0.54,0.54,0.54,300000
2017-06-29,0.54,0.54,0.48,0.48,0.48,907000
2017-06-30,0.49,0.49,0.45,0.46,0.46,695100
2017-07-03,0.49,0.49,0.49,0.49,0.49,10000
2017-07-11,0.54,0.54,0.52,0.52,0.52,702000
2017-07-14,0.56,0.56,0.56,0.56,0.56,6900
2017-07-19,0.53,0.53,0.53,0.53,0.53,36000
2017-07-21,0.54,0.54,0.54,0.54,0.54,1000
2017-07-24,0.55,0.55,0.55,0.55,0.55,37000
2017-07-25,0.57,0.57,0.54,0.54,0.54,10500
2017-07-26,0.55,0.55,0.55,0.55,0.55,300000
2017-07-27,0.55,0.55,0.55,0.55,0.55,400500
2017-08-02,0.53,0.53,0.53,0.53,0.53,2000
2017-08-03,0.53,0.53,0.53,0.53,0.53,130000
2017-08-04,0.53,0.53,0.53,0.53,0.53,3000
2017-08-07,0.53,0.53,0.5,0.5,0.5,12000
2017-08-08,0.5,0.5,0.5,0.5,0.5,2000
2017-08-09,0.5,0.5,0.5,0.5,0.5,145000
2017-08-10,0.48,0.48,0.47,0.48,0.48,17600
2017-08-11,0.47,0.47,0.47,0.47,0.47,15000
2017-08-15,0.48,0.48,0.48,0.48,0.48,20000
2017-08-17,0.43,0.46,0.4,0.42,0.42,458500
2017-08-18,0.45,0.45,0.39,0.39,0.39,1206900
2017-08-21,0.41,0.42,0.41,0.41,0.41,63500
2017-08-22,0.4,0.4,0.4,0.4,0.4,18800
2017-08-23,0.4,0.4,0.39,0.39,0.39,65000
2017-08-24,0.4,0.42,0.4,0.42,0.42,65800
2017-08-25,0.41,0.42,0.41,0.41,0.41,1100000
2017-08-28,0.42,0.44,0.42,0.44,0.44,671900
2017-08-29,0.43,0.46,0.43,0.45,0.45,370300
2017-08-30,0.47,0.47,0.45,0.45,0.45,11000
2017-08-31,0.45,0.45,0.45,0.45,0.45,1000
2017-09-01,0.46,0.46,0.46,0.46,0.46,10000
2017-09-04,0.49,0.49,0.48,0.48,0.48,740000
2017-09-05,0.49,0.49,0.47,0.47,0.47,40000
2017-09-06,0.47,0.47,0.45,0.45,0.45,41800
2017-09-07,0.46,0.46,0.45,0.45,0.45,20000
2017-09-08,0.46,0.46,0.44,0.44,0.44,40000
2017-09-11,0.45,0.45,0.43,0.45,0.45,659500
2017-09-12,0.46,0.46,0.45,0.45,0.45,30000
2017-09-14,0.44,0.47,0.44,0.46,0.46,180800
2017-09-18,0.47,0.48,0.47,0.47,0.47,1219700
2017-09-19,0.46,0.46,0.46,0.46,0.46,163800
2017-09-21,0.46,0.46,0.45,0.45,0.45,30000
