Date,Open,High,Low,Close,Adj Close,Volume
2005-12-13,0.185,0.189,0.184,0.184,0.184,1127000
2005-12-14,0.184,0.186,0.183,0.186,0.186,637000
2005-12-15,0.184,0.19,0.184,0.184,0.184,2920000
2005-12-16,0.184,0.185,0.181,0.181,0.181,1579000
2005-12-19,0.187,0.187,0.181,0.182,0.182,1106000
2005-12-20,0.179,0.183,0.179,0.18,0.18,2425000
2005-12-21,0.185,0.187,0.184,0.184,0.184,982000
2005-12-22,0.186,0.186,0.182,0.184,0.184,435000
2005-12-23,0.187,0.202,0.187,0.195,0.195,10421500
2005-12-26,0.199,0.199,0.195,0.195,0.195,2275000
2005-12-27,0.196,0.198,0.194,0.198,0.198,985000
2005-12-28,0.196,0.214,0.195,0.208,0.208,8794000
2005-12-29,0.208,0.214,0.202,0.206,0.206,8601000
2005-12-30,0.206,0.208,0.204,0.204,0.204,2480000
2006-01-03,0.204,0.204,0.204,0.204,0.204,739000
2006-01-04,0.204,0.214,0.202,0.214,0.214,934000
2006-01-05,0.21,0.216,0.21,0.21,0.21,3087000
2006-01-06,0.212,0.226,0.212,0.218,0.218,6400000
2006-01-09,0.216,0.224,0.216,0.22,0.22,1982000
2006-01-10,0.216,0.222,0.216,0.218,0.218,1851000
2006-01-11,0.22,0.232,0.216,0.226,0.226,9382000
2006-01-12,0.232,0.232,0.222,0.228,0.228,4601000
2006-01-13,0.228,0.23,0.226,0.23,0.23,2593000
2006-01-16,0.23,0.232,0.228,0.228,0.228,3250000
2006-01-17,0.23,0.232,0.224,0.228,0.228,1117000
2006-01-18,0.226,0.228,0.216,0.224,0.224,2361000
2006-01-19,0.222,0.228,0.222,0.226,0.226,804000
2006-01-20,0.224,0.232,0.224,0.226,0.226,862000
2006-01-23,0.232,0.232,0.226,0.226,0.226,510000
2006-01-24,0.23,0.248,0.226,0.244,0.244,12254000
2006-01-25,0.248,0.254,0.244,0.25,0.25,8168000
2006-01-26,0.25,0.278,0.25,0.262,0.262,17723000
2006-01-27,0.262,0.28,0.26,0.266,0.266,11317000
2006-01-30,0.27,0.27,0.25,0.25,0.25,2009000
2006-01-31,0.25,0.252,0.242,0.242,0.242,1468000
2006-02-01,0.248,0.25,0.238,0.244,0.244,6390000
2006-02-02,0.244,0.244,0.228,0.23,0.23,4775500
2006-02-03,0.236,0.238,0.234,0.234,0.234,1567000
2006-02-06,0.232,0.244,0.232,0.244,0.244,631000
2006-02-07,0.244,0.274,0.244,0.27,0.27,3732000
2006-02-08,0.254,0.266,0.25,0.252,0.252,4201000
2006-02-09,0.25,0.252,0.244,0.246,0.246,3200000
2006-02-10,0.246,0.256,0.246,0.246,0.246,848000
2006-02-14,0.244,0.278,0.214,0.258,0.258,12401000
2006-02-15,0.258,0.28,0.254,0.254,0.254,5802000
2006-02-16,0.26,0.31,0.254,0.282,0.282,42646500
2006-02-17,0.284,0.298,0.278,0.28,0.28,18125490
2006-02-20,0.278,0.278,0.272,0.272,0.272,3662000
2006-02-21,0.278,0.278,0.27,0.274,0.274,1037500
2006-02-22,0.274,0.282,0.264,0.272,0.272,1212000
2006-02-23,0.278,0.324,0.276,0.318,0.318,62769000
2006-02-24,0.314,0.32,0.306,0.308,0.308,25462000
2006-02-27,0.308,0.318,0.306,0.312,0.312,4892500
2006-02-28,0.306,0.312,0.304,0.304,0.304,3680000
2006-03-01,0.31,0.334,0.31,0.324,0.324,34097500
2006-03-02,0.326,0.394,0.326,0.38,0.38,188176992
2006-03-03,0.382,0.424,0.378,0.39,0.39,172368000
2006-03-06,0.4,0.41,0.392,0.406,0.406,41081000
2006-03-07,0.414,0.438,0.41,0.414,0.414,68134000
2006-03-08,0.416,0.422,0.378,0.384,0.384,33747000
2006-03-09,0.39,0.396,0.36,0.37,0.37,30657000
2006-03-10,0.372,0.372,0.352,0.36,0.36,11395000
2006-03-13,0.366,0.39,0.364,0.38,0.38,47518000
2006-03-14,0.382,0.394,0.368,0.38,0.38,33378000
2006-03-15,0.384,0.386,0.376,0.376,0.376,9587000
2006-03-16,0.378,0.38,0.362,0.362,0.362,8502000
2006-03-17,0.362,0.41,0.362,0.41,0.41,56966000
2006-03-20,0.43,0.448,0.418,0.43,0.43,89451000
2006-03-21,0.436,0.436,0.406,0.406,0.406,37275000
2006-03-22,0.408,0.418,0.4,0.404,0.404,24997000
2006-03-23,0.41,0.498,0.406,0.47,0.47,126278496
2006-03-24,0.48,0.51,0.468,0.482,0.482,186155008
2006-03-27,0.49,0.496,0.468,0.478,0.478,48161500
2006-03-28,0.478,0.505,0.478,0.49,0.49,107240000
2006-03-29,0.492,0.494,0.46,0.464,0.464,24870000
2006-03-30,0.474,0.488,0.466,0.476,0.476,51611000
2006-03-31,0.464,0.488,0.464,0.488,0.488,26455000
2006-04-03,0.488,0.545,0.486,0.545,0.545,85648000
2006-04-04,0.545,0.615,0.54,0.615,0.615,89289000
2006-04-05,0.63,0.67,0.595,0.62,0.62,99066496
2006-04-07,0.63,0.655,0.615,0.65,0.65,31294000
2006-04-10,0.66,0.685,0.65,0.68,0.68,58834000
2006-04-11,0.69,0.8,0.68,0.8,0.8,116944240
2006-04-12,0.79,0.87,0.78,0.84,0.84,103427240
2006-04-17,0.855,0.865,0.84,0.845,0.845,29398000
2006-04-18,0.85,0.85,0.73,0.755,0.755,36649000
2006-04-20,0.765,0.82,0.71,0.82,0.82,50110500
2006-04-21,0.83,0.845,0.8,0.82,0.82,47030000
2006-04-24,0.82,0.835,0.78,0.79,0.79,25486000
2006-04-25,0.8,0.87,0.8,0.86,0.86,69879000
2006-04-26,0.87,0.89,0.84,0.845,0.845,54650000
2006-04-27,0.85,0.87,0.8,0.8,0.8,45035000
2006-04-28,0.8,0.825,0.8,0.81,0.81,18948500
2006-05-02,0.82,0.82,0.775,0.775,0.775,10565000
2006-05-03,0.775,0.79,0.72,0.72,0.72,21973000
2006-05-04,0.725,0.73,0.7,0.72,0.72,19272000
2006-05-08,0.725,0.745,0.725,0.73,0.73,4838000
2006-05-09,0.75,0.785,0.75,0.785,0.785,27398000
2006-05-10,0.79,0.79,0.735,0.735,0.735,9999000
2006-05-11,0.735,0.765,0.72,0.75,0.75,29597500
2006-05-15,0.705,0.715,0.695,0.705,0.705,8522000
2006-05-16,0.71,0.715,0.68,0.68,0.68,4435500
2006-05-17,0.695,0.73,0.69,0.7,0.7,13973000
2006-05-18,0.69,0.69,0.665,0.68,0.68,3594000
2006-05-19,0.685,0.69,0.68,0.68,0.68,2377000
2006-05-22,0.69,0.69,0.61,0.64,0.64,3567000
2006-05-23,0.625,0.645,0.57,0.58,0.58,4143000
2006-05-24,0.58,0.62,0.56,0.565,0.565,3298000
2006-05-25,0.57,0.58,0.54,0.54,0.54,7584000
2006-05-26,0.55,0.575,0.55,0.55,0.55,16552000
2006-05-29,0.56,0.56,0.55,0.55,0.55,7319000
2006-05-30,0.555,0.555,0.54,0.54,0.54,4051000
2006-05-31,0.54,0.54,0.488,0.49,0.49,2846000
2006-06-01,0.5,0.52,0.494,0.496,0.496,4415000
2006-06-02,0.51,0.545,0.51,0.53,0.53,5337000
2006-06-05,0.53,0.54,0.5,0.5,0.5,1384000
2006-06-06,0.49,0.53,0.49,0.505,0.505,2361000
2006-06-07,0.52,0.525,0.498,0.505,0.505,2785000
2006-06-08,0.5,0.515,0.498,0.5,0.5,2937000
2006-06-09,0.515,0.515,0.5,0.505,0.505,2069000
2006-06-14,0.51,0.62,0.51,0.6,0.6,46126400
2006-06-15,0.62,0.62,0.54,0.55,0.55,38292100
2006-06-16,0.57,0.59,0.56,0.56,0.56,20410000
2006-06-19,0.56,0.56,0.51,0.51,0.51,9464300
2006-06-20,0.5,0.5,0.43,0.44,0.44,17438800
2006-06-21,0.45,0.47,0.44,0.44,0.44,7371300
2006-06-22,0.45,0.47,0.45,0.47,0.47,10485400
2006-06-23,0.47,0.48,0.46,0.47,0.47,8627900
2006-06-26,0.47,0.5,0.47,0.48,0.48,17796300
2006-06-27,0.49,0.5,0.45,0.45,0.45,9734900
2006-06-28,0.44,0.45,0.44,0.45,0.45,3790600
2006-06-29,0.46,0.47,0.44,0.44,0.44,5016600
2006-06-30,0.45,0.48,0.44,0.44,0.44,8516600
2006-07-03,0.44,0.47,0.44,0.46,0.46,5084500
2006-07-04,0.47,0.49,0.47,0.48,0.48,13631800
2006-07-05,0.48,0.49,0.46,0.47,0.47,4370500
2006-07-06,0.48,0.53,0.48,0.52,0.52,39106400
2006-07-07,0.55,0.55,0.52,0.52,0.52,21307200
2006-07-10,0.52,0.54,0.5,0.5,0.5,11327400
2006-07-12,0.51,0.69,0.5,0.68,0.68,145457408
2006-07-13,0.69,0.73,0.55,0.56,0.56,101374600
2006-07-14,0.55,0.61,0.55,0.57,0.57,74158000
2006-07-17,0.56,0.62,0.56,0.61,0.61,67350800
2006-07-18,0.61,0.65,0.61,0.61,0.61,75611904
2006-07-19,0.63,0.63,0.58,0.59,0.59,31679200
2006-07-20,0.61,0.66,0.59,0.63,0.63,79673296
2006-07-21,0.62,0.65,0.6,0.64,0.64,59573000
2006-07-24,0.64,0.72,0.64,0.67,0.67,191624896
2006-07-25,0.69,0.69,0.63,0.63,0.63,91938704
2006-07-26,0.64,0.64,0.63,0.64,0.64,22549500
2006-07-27,0.65,0.67,0.64,0.64,0.64,23190400
2006-07-28,0.64,0.66,0.62,0.63,0.63,12328100
2006-07-31,0.64,0.67,0.64,0.64,0.64,23813000
2006-08-01,0.64,0.64,0.62,0.62,0.62,7023700
2006-08-02,0.62,0.64,0.62,0.64,0.64,2647200
2006-08-03,0.65,0.67,0.64,0.65,0.65,32988800
2006-08-04,0.66,0.66,0.64,0.64,0.64,13874500
2006-08-07,0.64,0.64,0.63,0.63,0.63,4001500
2006-08-08,0.64,0.66,0.64,0.65,0.65,8911500
2006-08-09,0.66,0.72,0.66,0.71,0.71,81598600
2006-08-10,0.72,0.74,0.67,0.68,0.68,72592400
2006-08-11,0.7,0.71,0.66,0.67,0.67,39341900
2006-08-15,0.68,0.68,0.65,0.65,0.65,10177000
2006-08-16,0.66,0.66,0.61,0.61,0.61,51119500
2006-08-17,0.62,0.63,0.6,0.61,0.61,23602000
2006-08-18,0.62,0.64,0.61,0.63,0.63,11151510
2006-08-21,0.63,0.65,0.61,0.61,0.61,12091200
2006-08-22,0.61,0.62,0.61,0.61,0.61,3286000
2006-08-23,0.62,0.62,0.6,0.6,0.6,4121000
2006-08-24,0.6,0.61,0.59,0.6,0.6,3008000
