Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,0.44,0.45,0.43,0.43,0.43,702000
2018-09-18,0.42,0.47,0.42,0.47,0.47,7541500
2018-09-19,0.48,0.49,0.47,0.48,0.48,3742600
2018-09-20,0.49,0.49,0.46,0.46,0.46,954400
2018-09-21,0.44,0.48,0.44,0.48,0.48,1328600
2018-09-24,0.47,0.47,0.43,0.43,0.43,7701800
2018-09-25,0.43,0.43,0.37,0.37,0.37,7246800
2018-09-26,0.38,0.39,0.38,0.38,0.38,2861600
2018-09-27,0.38,0.38,0.37,0.37,0.37,3054900
2018-09-28,0.37,0.37,0.36,0.36,0.36,1283700
2018-10-01,0.36,0.38,0.36,0.38,0.38,4938900
2018-10-02,0.39,0.4,0.37,0.37,0.37,2744000
2018-10-03,0.37,0.39,0.37,0.37,0.37,11297600
2018-10-04,0.37,0.37,0.34,0.34,0.34,2292700
2018-10-05,0.33,0.34,0.32,0.32,0.32,7074400
2018-10-08,0.32,0.32,0.29,0.3,0.3,4135400
2018-10-09,0.31,0.32,0.3,0.31,0.31,5943700
2018-10-10,0.31,0.32,0.31,0.31,0.31,8222500
2018-10-11,0.3,0.3,0.28,0.29,0.29,2924600
2018-10-12,0.29,0.3,0.29,0.3,0.3,6133800
2018-10-16,0.3,0.32,0.28,0.28,0.28,29681800
2018-10-17,0.29,0.29,0.26,0.26,0.26,1585400
2018-10-18,0.25,0.25,0.22,0.23,0.23,3309100
2018-10-19,0.22,0.22,0.16,0.17,0.17,17983500
2018-10-22,0.18,0.18,0.14,0.15,0.15,5692200
2018-10-24,0.14,0.14,0.1,0.1,0.1,5498300
2018-10-25,0.09,0.11,0.09,0.1,0.1,5918500
2018-10-26,0.09,0.09,0.08,0.08,0.08,2397100
2018-10-29,0.08,0.08,0.07,0.07,0.07,524800
2018-10-30,0.07,0.08,0.07,0.08,0.08,1294200
2018-10-31,0.08,0.09,0.07,0.09,0.09,2700700
2018-11-01,0.09,0.09,0.08,0.08,0.08,3652600
2018-11-02,0.08,0.11,0.08,0.1,0.1,10635200
2018-11-05,0.1,0.1,0.09,0.09,0.09,7930100
2018-11-06,0.09,0.1,0.07,0.07,0.07,24938700
2018-11-07,0.07,0.08,0.05,0.05,0.05,21749900
2018-11-08,0.06,0.07,0.05,0.05,0.05,6942200
2018-11-09,0.06,0.07,0.05,0.06,0.06,9514500
2018-11-12,0.07,0.07,0.03,0.04,0.04,11503100
2018-11-13,0.04,0.05,0.04,0.05,0.05,1975300
2018-11-14,0.05,0.05,0.04,0.04,0.04,866800
2018-11-15,0.05,0.05,0.02,0.02,0.02,2640100
2018-11-16,0.02,0.03,0.02,0.02,0.02,2356400
2018-11-19,0.03,0.04,0.03,0.03,0.03,2191600
2018-11-20,0.04,0.04,0.03,0.03,0.03,474100
2018-11-21,0.04,0.04,0.04,0.04,0.04,74100
2018-11-22,0.03,0.04,0.03,0.04,0.04,484000
2018-11-23,0.04,0.04,0.04,0.04,0.04,100
2018-11-26,0.04,0.04,0.04,0.04,0.04,346000
2018-11-27,0.03,0.04,0.03,0.04,0.04,123500
2018-11-28,0.03,0.04,0.03,0.04,0.04,426300
2018-11-29,0.04,0.04,0.02,0.03,0.03,704000
2018-11-30,0.03,0.03,0.03,0.03,0.03,50500
2018-12-03,0.03,0.03,0.03,0.03,0.03,801000
2018-12-04,0.03,0.03,0.02,0.03,0.03,246700
2018-12-06,0.02,0.03,0.02,0.03,0.03,801900
2018-12-07,0.03,0.03,0.02,0.03,0.03,119600
2018-12-11,0.02,0.03,0.02,0.02,0.02,937700
2018-12-12,0.02,0.02,0.01,0.01,0.01,1728800
2018-12-13,0.02,0.02,0.01,0.01,0.01,233000
2018-12-14,0.02,0.02,0.01,0.01,0.01,74400
2018-12-17,0.01,0.02,0.01,0.01,0.01,217000
2018-12-18,0.01,0.01,0.01,0.01,0.01,220000
2018-12-19,0.01,0.01,0.01,0.01,0.01,227500
2018-12-20,0.01,0.01,0.01,0.01,0.01,693600
2018-12-24,0.01,0.01,0.01,0.01,0.01,100
2018-12-25,0.01,0.01,0.01,0.01,0.01,100
2018-12-26,0.01,0.01,0.01,0.01,0.01,100
2018-12-27,0.01,0.01,0.01,0.01,0.01,100100
2018-12-28,0.01,0.01,0.01,0.01,0.01,100
2019-01-08,0.01,0.01,0.01,0.01,0.01,100
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
