Date,Open,High,Low,Close,Adj Close,Volume
1989-09-29,24.6116,27.0424,24.3078,24.6116,24.6116,1435586
1989-10-02,24.6116,25.5232,22.1809,22.1809,22.1809,403491
1989-10-03,21.5732,21.5732,20.0539,20.0539,20.0539,841869
1989-10-04,20.0539,20.6616,18.5347,20.6616,20.6616,617412
1989-10-05,20.6616,20.9655,20.0539,20.5097,20.5097,292250
1989-10-06,20.5097,20.6616,19.902,20.0539,20.0539,232351
1989-10-09,20.0539,20.3578,19.4462,19.902,19.902,157313
1989-10-10,19.902,19.902,19.4462,19.5982,19.5982,140201
1989-10-11,19.5982,19.7501,18.8385,19.2943,19.2943,96098
1989-10-12,19.2943,19.7501,19.1424,19.2943,19.2943,164554
1989-10-13,19.2943,19.5982,19.2943,19.4462,19.4462,111895
1989-10-16,17.6232,17.6232,17.6232,17.6232,17.6232,175086
1989-10-17,18.2309,18.8385,18.2309,18.5347,18.5347,108605
1989-10-18,18.5347,18.5347,17.3193,17.6232,17.6232,136908
1989-10-19,17.4712,17.4712,16.1039,16.1039,16.1039,170477
1989-10-20,16.4078,17.1674,16.4078,16.8635,16.8635,100706
1989-10-24,16.8635,17.1674,16.7116,17.1674,17.1674,69768
1989-10-25,17.1674,17.3193,16.8635,17.0155,17.0155,70428
1989-10-26,17.0155,17.0155,16.7116,17.0155,17.0155,48048
1989-10-27,17.0155,17.0155,16.4078,16.8635,16.8635,70428
1989-10-30,16.8635,16.8635,16.5597,16.8635,16.8635,34883
1989-10-31,16.8635,18.5347,16.7116,18.5347,18.5347,194833
1989-11-01,18.5347,19.7501,18.2309,19.4462,19.4462,414681
1989-11-02,19.4462,19.7501,18.8385,19.7501,19.7501,225770
1989-11-03,19.7501,19.7501,19.1424,19.7501,19.7501,277110
1989-11-06,19.902,21.2693,19.902,20.5097,20.5097,797109
1989-11-07,20.5097,20.9655,20.0539,20.6616,20.6616,290275
1989-11-08,20.6616,20.9655,20.3578,20.3578,20.3578,227086
1989-11-09,20.3578,20.6616,20.0539,20.0539,20.0539,146123
1989-11-10,20.0539,20.6616,20.0539,20.6616,20.6616,306073
1989-11-13,20.8136,21.877,20.8136,21.5732,21.5732,446274
1989-11-14,21.5732,22.1809,21.4212,21.877,21.877,477210
1989-11-15,21.877,22.0289,21.5732,21.5732,21.5732,150731
1989-11-16,21.5732,22.1809,21.5732,21.5732,21.5732,313972
1989-11-17,21.5732,22.4847,21.5732,22.4847,22.4847,542375
1989-11-20,22.4847,22.9405,22.3328,22.7886,22.7886,558830
1989-11-21,22.7886,22.7886,21.877,22.0289,22.0289,333718
1989-11-22,22.0289,22.1809,21.2693,21.4212,21.4212,196807
1989-11-23,21.2693,21.2693,20.5097,20.9655,20.9655,137567
1989-11-24,20.3578,20.3578,18.9905,20.3578,20.3578,222477
1989-11-27,20.3578,20.5097,19.902,20.5097,20.5097,73061
1989-11-28,20.5097,20.6616,20.3578,20.6616,20.6616,88857
1989-11-29,20.6616,21.2693,20.6616,21.1174,21.1174,167844
1989-11-30,21.1174,21.877,21.1174,21.1174,21.1174,155997
1989-12-01,21.1174,21.1174,20.8136,20.9655,20.9655,70428
1989-12-04,21.2693,21.5732,21.2693,21.4212,21.4212,51998
1989-12-06,21.4212,21.5732,21.4212,21.4212,21.4212,84251
1989-12-07,21.4212,21.7251,21.2693,21.4212,21.4212,235643
1989-12-08,21.4212,21.877,21.4212,21.877,21.877,146782
1989-12-12,21.877,22.1809,21.877,21.877,21.877,187590
1989-12-13,21.877,22.1809,21.5732,21.7251,21.7251,147440
1989-12-14,21.7251,22.0289,21.2693,21.7251,21.7251,86226
1989-12-15,21.7251,21.877,21.5732,21.5732,21.5732,102680
1989-12-18,21.4212,21.4212,21.1174,21.1174,21.1174,36199
1989-12-19,21.1174,21.4212,20.6616,21.1174,21.1174,78985
1989-12-20,21.2693,21.877,21.2693,21.877,21.877,223136
1989-12-21,22.0289,23.2443,22.0289,23.2443,23.2443,940602
1989-12-22,23.7001,25.2193,23.7001,25.2193,25.2193,895184
1989-12-25,25.2193,25.979,24.3078,25.2193,25.2193,562122
1989-12-26,25.2193,25.2193,24.4597,24.7636,24.7636,183643
1989-12-27,24.7636,25.3713,24.4597,25.3713,25.3713,473920
1989-12-28,25.3713,27.1944,24.3078,25.827,25.827,509463
1989-12-29,26.1309,27.0424,26.1309,27.0424,27.0424,543693
1990-01-02,27.0424,29.6251,26.7386,29.6251,29.6251,381110
1990-01-03,29.6251,30.6886,29.6251,30.3848,30.3848,815539
1990-01-04,30.3848,31.7521,30.3848,31.7521,31.7521,433768
1990-01-05,31.7521,34.6386,31.6001,34.3348,34.3348,365971
1990-01-08,34.3348,35.5502,33.4232,34.9425,34.9425,631895
1990-01-09,34.9425,37.6771,34.3348,36.4617,36.4617,326479
1990-01-10,36.4617,37.6771,34.6386,34.6386,34.6386,111237
1990-01-11,34.0309,34.0309,31.2963,31.904,31.904,122427
1990-01-12,31.904,31.904,29.7771,31.6001,31.6001,102022
1990-01-15,31.6001,31.6001,30.6886,30.6886,30.6886,130327
1990-01-16,30.3848,30.3848,28.8655,29.7771,29.7771,158630
1990-01-17,29.7771,29.929,28.8655,28.8655,28.8655,61212
1990-01-18,28.8655,29.4732,28.2578,29.1694,29.1694,53972
1990-01-19,29.7771,30.9924,29.7771,30.6886,30.6886,80301
1990-01-22,30.9924,31.904,30.9924,30.9924,30.9924,39492
1990-01-23,30.9924,31.6001,30.3848,31.2963,31.2963,39492
1990-01-24,31.2963,31.2963,29.4732,30.0809,30.0809,71744
1990-01-25,30.0809,30.3848,28.5617,28.8655,28.8655,94782
1990-01-26,28.8655,29.4732,28.2578,29.1694,29.1694,89515
1990-01-29,29.1694,29.7771,28.8655,29.1694,29.1694,40808
1990-01-30,29.1694,29.1694,28.5617,28.8655,28.8655,29618
1990-01-31,28.8655,29.1694,28.2578,28.8655,28.8655,17112
1990-02-01,28.5617,28.5617,28.2578,28.2578,28.2578,10530
1990-02-02,28.1059,28.1059,26.7386,27.3463,27.3463,46732
1990-02-05,27.4982,27.954,27.4982,27.4982,27.4982,46073
1990-02-06,26.2828,26.2828,25.827,25.827,25.827,1972
1990-02-07,24.9155,24.9155,23.2443,23.2443,23.2443,17770
1990-02-08,23.2443,25.5232,22.6366,25.5232,25.5232,68452
