Date,Open,High,Low,Close,Adj Close,Volume
1993-06-01,78.0829,83.7617,76.6632,83.0518,83.0518,4721879
1993-06-02,83.0518,90.8601,82.342,90.8601,90.8601,3489919
1993-06-03,93.6995,99.3782,92.9896,99.3782,99.3782,2100319
1993-06-07,99.3782,107.187,99.3782,100.798,100.798,1979729
1993-06-08,100.798,105.057,98.6684,102.927,102.927,727764
1993-06-09,102.927,105.767,97.2487,99.3782,99.3782,762843
1993-06-10,99.3782,102.927,99.3782,100.088,100.088,274285
1993-06-11,102.218,104.347,100.798,100.798,100.798,793976
1993-06-14,103.637,106.477,102.218,105.057,105.057,1013461
1993-06-15,105.767,110.026,103.637,106.477,106.477,1596969
1993-06-16,106.477,111.446,106.477,110.736,110.736,1161662
1993-06-17,111.446,114.285,110.736,111.446,111.446,895970
1993-06-18,112.155,112.155,108.606,109.316,109.316,311476
1993-06-21,109.316,112.155,109.316,112.155,112.155,156090
1993-06-22,112.155,114.995,112.155,114.285,114.285,855398
1993-06-23,114.995,116.414,112.155,112.865,112.865,523354
1993-06-24,112.865,112.865,108.606,110.026,110.026,193845
1993-06-25,108.606,112.155,108.606,112.155,112.155,102135
1993-06-28,111.446,111.446,107.896,108.606,108.606,97908
1993-06-29,109.316,110.026,107.896,108.606,108.606,128478
1993-06-30,108.606,109.316,107.896,109.316,109.316,56772
1993-07-02,108.606,110.736,105.767,108.606,108.606,362614
1993-07-05,108.606,112.155,107.896,111.446,111.446,664652
1993-07-06,110.736,112.865,110.026,111.446,111.446,262733
1993-07-07,110.736,113.575,110.026,112.865,112.865,428544
1993-07-08,112.155,112.865,110.736,110.736,110.736,191309
1993-07-09,110.736,112.155,109.316,112.155,112.155,81708
1993-07-12,111.446,115.705,111.446,112.865,112.865,380928
1993-07-13,113.575,113.575,111.446,112.865,112.865,79594
1993-07-14,113.575,113.575,112.155,112.865,112.865,115800
1993-07-15,112.155,112.865,111.446,112.865,112.865,60154
1993-07-16,112.155,113.575,111.446,112.865,112.865,60294
1993-07-19,112.865,119.254,112.865,118.544,118.544,504054
1993-07-20,120.674,122.093,117.834,119.254,119.254,218216
1993-07-21,117.834,125.643,117.834,123.513,123.513,351908
1993-07-22,123.513,126.352,122.803,122.803,122.803,212863
1993-07-23,122.803,125.643,122.093,125.643,125.643,398397
1993-07-26,127.062,127.062,122.093,123.513,123.513,108615
1993-07-27,122.093,122.093,111.446,113.575,113.575,862301
1993-07-28,113.575,118.544,112.155,117.834,117.834,317675
1993-07-29,119.964,122.803,119.964,122.803,122.803,295698
1993-07-30,124.223,126.352,122.093,126.352,126.352,218780
1993-08-02,126.352,138.42,126.352,136.29,136.29,571392
1993-08-04,137.71,149.067,134.87,141.969,141.969,401778
1993-08-05,141.969,146.228,141.969,143.389,143.389,123125
1993-08-06,143.389,157.585,143.389,157.585,157.585,438124
1993-08-09,164.684,173.202,160.425,173.202,173.202,368108
1993-08-10,173.202,174.622,166.104,168.943,168.943,214413
1993-08-11,170.363,178.881,167.523,170.363,170.363,272031
1993-08-13,173.202,173.202,166.104,171.782,171.782,122280
1993-08-16,167.523,167.523,159.005,163.264,163.264,36909
1993-08-17,160.425,167.523,156.166,160.425,160.425,74100
1993-08-18,160.425,164.684,159.005,161.845,161.845,150878
1993-08-19,163.264,166.104,161.845,163.264,163.264,66352
1993-08-20,163.264,163.264,157.585,161.845,161.845,29020
1993-08-23,160.425,160.425,156.166,157.585,157.585,57336
1993-08-24,157.585,159.005,153.326,157.585,157.585,35641
1993-08-25,154.746,159.005,154.746,157.585,157.585,5494
1993-08-26,154.746,154.746,151.907,151.907,151.907,70437
1993-08-27,151.907,151.907,147.648,147.648,147.648,123689
1993-08-30,149.067,150.487,147.648,150.487,150.487,173418
1993-08-31,150.487,153.326,150.487,151.907,151.907,13946
1993-09-01,153.326,156.166,153.326,154.746,154.746,55223
1993-09-02,159.005,164.684,159.005,164.684,164.684,62267
1993-09-03,166.104,170.363,164.684,170.363,170.363,148764
1993-09-06,170.363,171.782,166.104,168.943,168.943,93541
1993-09-07,166.104,166.104,164.684,164.684,164.684,17609
1993-09-08,164.684,167.523,164.684,166.104,166.104,158062
1993-09-09,166.104,167.523,163.264,163.264,163.264,44798
1993-09-10,166.104,166.104,157.585,157.585,157.585,17609
1993-09-14,157.585,157.585,154.746,156.166,156.166,19722
1993-09-15,161.845,161.845,156.166,156.166,156.166,22681
1993-09-16,153.326,160.425,153.326,159.005,159.005,34232
1993-09-17,161.845,166.104,161.845,161.845,161.845,132141
1993-09-20,157.585,161.845,157.585,161.845,161.845,986
1993-09-21,157.585,161.845,157.585,161.845,161.845,16341
1993-09-22,160.425,160.425,159.005,159.005,159.005,11129
1993-09-23,159.005,160.425,159.005,160.425,160.425,5635
1993-09-24,160.425,160.425,159.005,159.005,159.005,15214
1993-09-27,160.425,160.425,156.166,156.166,156.166,8593
1993-09-28,159.005,160.425,159.005,160.425,160.425,11833
1993-09-29,160.425,160.425,160.425,160.425,160.425,23948
1993-09-30,160.425,163.264,160.425,163.264,163.264,112982
1993-10-01,163.264,168.943,163.264,168.943,168.943,73255
1993-10-04,168.943,168.943,167.523,168.943,168.943,56772
1993-10-05,170.363,176.042,170.363,174.622,174.622,139467
1993-10-06,177.461,191.658,177.461,191.658,191.658,516591
1993-10-07,191.658,198.757,190.238,195.917,195.917,214694
1993-10-08,193.078,207.275,193.078,205.855,205.855,173559
1993-10-11,212.953,212.953,203.016,205.855,205.855,3662
1993-10-12,198.757,198.757,191.658,198.757,198.757,5353
1993-10-13,198.757,200.176,198.757,198.757,198.757,2113
1993-10-14,200.176,200.176,198.757,198.757,198.757,3381
1993-10-15,191.658,204.435,191.658,195.917,195.917,173981
1993-10-18,197.337,200.176,197.337,200.176,200.176,29020
1993-10-19,198.757,200.176,198.757,200.176,200.176,79313
1993-10-20,198.757,211.534,198.757,211.534,211.534,75932
1993-10-21,211.534,211.534,205.855,207.275,207.275,17045
1993-10-22,210.114,227.15,210.114,214.373,214.373,160175
1993-10-26,217.212,232.829,214.373,232.829,232.829,495460
1993-10-27,235.668,255.544,235.668,255.544,255.544,511097
1993-10-28,269.741,278.259,269.741,276.839,276.839,108897
1993-10-29,278.259,278.259,261.223,268.321,268.321,223429
1993-11-01,268.321,288.197,261.223,271.161,271.161,173136
1993-11-02,272.58,276.839,272.58,275.42,275.42,39867
1993-11-03,275.42,278.259,262.642,265.482,265.482,25709
1993-11-04,265.482,291.036,259.803,291.036,291.036,29583
1993-11-05,286.777,289.617,276.839,281.098,281.098,27752
1993-11-08,281.098,285.358,281.098,281.098,281.098,29583
1993-11-09,283.938,283.938,281.098,283.938,283.938,18313
1993-11-10,283.938,289.617,283.938,289.617,289.617,26343
1993-11-11,291.036,295.295,291.036,295.295,295.295,110587
1993-11-12,295.295,295.295,292.456,292.456,292.456,18032
1993-11-15,292.456,292.456,288.197,288.197,288.197,20427
1993-11-16,286.777,291.036,286.777,291.036,291.036,9579
1993-11-19,291.036,291.036,282.518,282.518,282.518,1690
1993-11-23,256.964,275.42,256.964,275.42,275.42,704
1993-11-24,274,275.42,271.161,275.42,275.42,19722
1993-11-25,275.42,291.036,274,291.036,291.036,49306
1993-11-26,289.617,289.617,289.617,289.617,289.617,704
1993-11-29,264.062,271.161,264.062,269.741,269.741,2817
1993-11-30,272.58,272.58,272.58,272.58,272.58,140
1993-12-01,269.741,269.741,266.902,266.902,266.902,16130
1993-12-02,269.741,272.58,266.902,268.321,268.321,149469
1993-12-03,266.902,266.902,265.482,266.902,266.902,28034
