Date,Open,High,Low,Close,Adj Close,Volume
2005-12-13,2.32,2.38,2.32,2.36,2.36,42300
2005-12-14,2.4,2.44,2.4,2.4,2.4,20700
2005-12-15,2.4,2.4,2.36,2.38,2.38,80100
2005-12-16,2.4,2.42,2.38,2.42,2.42,15400
2005-12-19,2.38,2.38,2.38,2.38,2.38,25431
2005-12-20,2.42,2.42,2.42,2.42,2.42,4046
2005-12-21,2.44,2.5,2.44,2.5,2.5,91400
2005-12-22,2.5,2.5,2.44,2.44,2.44,20000
2005-12-23,2.48,2.48,2.46,2.48,2.48,30700
2005-12-26,2.42,2.42,2.42,2.42,2.42,5000
2005-12-27,2.42,2.46,2.4,2.46,2.46,120000
2005-12-28,2.42,2.42,2.42,2.42,2.42,35300
2005-12-29,2.42,2.42,2.42,2.42,2.42,22000
2005-12-30,2.48,2.48,2.48,2.48,2.48,100
2006-01-03,2.5,2.5,2.48,2.48,2.48,78000
2006-01-04,2.5,2.5,2.48,2.48,2.48,16000
2006-01-05,2.5,2.5,2.44,2.44,2.44,252400
2006-01-06,2.5,2.5,2.42,2.5,2.5,630069
2006-01-09,2.5,2.5,2.5,2.5,2.5,82900
2006-01-10,2.5,2.52,2.5,2.52,2.52,23000
2006-01-11,2.54,2.58,2.5,2.5,2.5,110106
2006-01-12,2.5,2.52,2.5,2.52,2.52,111100
2006-01-13,2.52,2.56,2.52,2.56,2.56,100000
2006-01-16,2.56,2.62,2.56,2.62,2.62,290700
2006-01-17,2.62,2.64,2.6,2.6,2.6,90199
2006-01-18,2.6,2.64,2.58,2.58,2.58,198802
2006-01-19,2.58,2.62,2.58,2.62,2.62,91376
2006-01-20,2.58,2.6,2.56,2.56,2.56,314200
2006-01-23,2.6,2.6,2.58,2.6,2.6,185377
2006-01-24,2.6,2.62,2.58,2.58,2.58,327400
2006-01-25,2.42,2.42,2.32,2.32,2.32,304700
2006-01-26,2.34,2.34,2.32,2.32,2.32,135601
2006-01-27,2.32,2.32,2.3,2.3,2.3,105600
2006-01-30,2.3,2.3,2.3,2.3,2.3,1001
2006-01-31,2.3,2.3,2.3,2.3,2.3,25601
2006-02-01,2.32,2.36,2.32,2.36,2.36,579300
2006-02-02,2.36,2.36,2.3,2.3,2.3,269465
2006-02-03,2.12,2.3,2.12,2.3,2.3,52000
2006-02-06,2.32,2.36,2.32,2.36,2.36,286400
2006-02-07,2.2,2.2,2.2,2.2,2.2,3000
2006-02-09,2.26,2.3,2.26,2.3,2.3,23500
2006-02-10,2.26,2.36,2.26,2.36,2.36,20100
2006-02-14,2.36,2.36,2.36,2.36,2.36,20000
2006-02-15,2.32,2.32,2.32,2.32,2.32,4000
2006-02-16,2.36,2.36,2.36,2.36,2.36,21000
2006-02-17,2.4,2.52,2.4,2.42,2.42,2053300
2006-02-20,2.4,2.4,2.36,2.38,2.38,112300
2006-02-21,2.36,2.38,2.36,2.36,2.36,150200
2006-02-22,2.36,2.36,2.34,2.34,2.34,121001
2006-02-23,2.34,2.34,2.3,2.3,2.3,194515
2006-02-24,2.3,2.3,2.3,2.3,2.3,243523
2006-02-27,2.32,2.32,2.32,2.32,2.32,22000
2006-02-28,2.32,2.32,2.28,2.32,2.32,40000
2006-03-01,2.28,2.32,2.28,2.32,2.32,6400
2006-03-02,2.3,2.3,2.26,2.28,2.28,46500
2006-03-03,2.28,2.32,2.28,2.32,2.32,8008
2006-03-06,2.3,2.3,2.3,2.3,2.3,5400
2006-03-07,2.3,2.3,2.3,2.3,2.3,25000
2006-03-08,2.3,2.3,2.28,2.28,2.28,5500
2006-03-09,2.32,2.32,2.32,2.32,2.32,118000
2006-03-10,2.32,2.32,2.32,2.32,2.32,45700
2006-03-13,2.36,2.4,2.36,2.4,2.4,114662
2006-03-14,2.4,2.46,2.38,2.46,2.46,101301
2006-03-15,2.46,2.46,2.4,2.44,2.44,263728
2006-03-16,2.42,2.52,2.42,2.52,2.52,204100
2006-03-17,2.52,2.54,2.5,2.5,2.5,314300
2006-03-20,2.56,2.58,2.54,2.54,2.54,801000
2006-03-21,2.54,2.54,2.5,2.5,2.5,21002
2006-03-22,2.6,2.6,2.6,2.6,2.6,10000
2006-03-23,2.5,2.5,2.44,2.5,2.5,39900
2006-03-24,2.46,2.46,2.46,2.46,2.46,55300
2006-03-27,2.46,2.5,2.46,2.48,2.48,71500
2006-03-28,2.48,2.48,2.48,2.48,2.48,1600
2006-03-29,2.48,2.48,2.46,2.46,2.46,30000
2006-03-30,2.5,2.54,2.5,2.52,2.52,208300
2006-03-31,2.5,2.6,2.5,2.6,2.6,75000
2006-04-04,2.58,2.6,2.58,2.58,2.58,35400
2006-04-05,2.58,2.58,2.58,2.58,2.58,2000
2006-04-07,2.56,2.56,2.56,2.56,2.56,2000
2006-04-10,2.56,2.62,2.56,2.62,2.62,166000
2006-04-11,2.58,2.58,2.5,2.52,2.52,361223
2006-04-12,2.52,2.6,2.52,2.6,2.6,104100
2006-04-17,2.52,2.52,2.52,2.52,2.52,9200
2006-04-18,2.52,2.54,2.52,2.54,2.54,21100
2006-04-20,2.6,2.62,2.6,2.62,2.62,170100
2006-04-21,2.6,2.6,2.56,2.6,2.6,366093
2006-04-24,2.6,2.66,2.6,2.62,2.62,679500
2006-04-25,2.62,2.68,2.62,2.62,2.62,127800
2006-04-26,2.62,2.64,2.62,2.64,2.64,11246
2006-04-27,2.62,2.64,2.62,2.64,2.64,145700
2006-05-02,2.66,2.8,2.64,2.8,2.8,124953
2006-05-03,2.74,2.84,2.74,2.84,2.84,52001
2006-05-04,2.8,2.86,2.8,2.86,2.86,217454
2006-05-08,2.88,2.98,2.88,2.94,2.94,154000
2006-05-09,2.98,3.06,2.9,3.02,3.02,1013600
2006-05-10,3.12,3.12,3,3.06,3.06,653000
2006-05-11,3.04,3.04,3,3,3,148808
2006-05-15,3,3.06,2.98,3,3,366520
2006-05-16,3,3.04,3,3,3,81200
2006-05-17,3,3.04,3,3,3,281600
2006-05-18,3,3.02,2.94,3,3,496400
2006-05-19,3,3,3,3,3,15100
2006-05-22,3,3,2.94,2.96,2.96,104700
2006-05-25,2.8,2.82,2.8,2.82,2.82,711115
2006-05-26,2.84,2.9,2.74,2.88,2.88,384892
2006-05-30,2.78,2.78,2.76,2.78,2.78,221000
2006-05-31,2.78,2.78,2.78,2.78,2.78,204900
2006-06-01,2.8,2.82,2.8,2.82,2.82,328000
2006-06-02,2.9,2.9,2.84,2.86,2.86,96800
2006-06-05,3,3.08,2.98,3.02,3.02,448000
2006-06-06,3,3,2.98,3,3,108600
2006-06-07,3,3.1,3,3.04,3.04,263898
2006-06-08,3,3.02,2.98,3.02,3.02,141300
2006-06-09,3.02,3.02,2.98,2.98,2.98,200931
2006-06-14,2.9,2.9,2.74,2.74,2.74,232800
2006-06-15,2.74,2.74,2.68,2.68,2.68,75400
2006-06-16,2.7,2.82,2.7,2.82,2.82,427100
2006-06-19,2.82,2.84,2.82,2.84,2.84,316400
2006-06-20,2.86,2.86,2.86,2.86,2.86,600
2006-06-21,2.8,2.8,2.8,2.8,2.8,270100
2006-06-22,2.8,2.82,2.8,2.82,2.82,399900
2006-06-23,2.82,2.82,2.82,2.82,2.82,357100
2006-06-26,2.86,2.86,2.82,2.82,2.82,220100
2006-06-27,2.9,2.96,2.8,2.8,2.8,115600
2006-06-28,2.8,2.84,2.8,2.82,2.82,126900
2006-06-29,2.82,2.96,2.8,2.84,2.84,447800
2006-06-30,2.86,2.9,2.84,2.86,2.86,297000
2006-07-03,2.86,2.86,2.84,2.84,2.84,106262
2006-07-04,2.86,2.86,2.84,2.86,2.86,223000
2006-07-05,2.86,2.86,2.84,2.84,2.84,206000
2006-07-06,2.86,2.88,2.86,2.88,2.88,106500
2006-07-07,2.9,2.92,2.9,2.92,2.92,41200
2006-07-10,2.9,2.9,2.9,2.9,2.9,50000
2006-07-12,2.9,2.92,2.9,2.92,2.92,21800
2006-07-13,2.92,2.92,2.92,2.92,2.92,259469
2006-07-14,2.92,2.92,2.9,2.9,2.9,11000
2006-07-17,2.9,2.92,2.86,2.88,2.88,28900
2006-07-18,2.86,2.9,2.78,2.9,2.9,47399
2006-07-19,2.9,2.9,2.9,2.9,2.9,97500
2006-07-20,2.9,2.96,2.9,2.94,2.94,270300
2006-07-21,2.94,2.96,2.94,2.96,2.96,112100
2006-07-24,2.96,3.02,2.96,3,3,72600
2006-07-25,3,3.04,3,3.04,3.04,192000
2006-07-26,3,3.02,3,3.02,3.02,180600
2006-07-27,3.02,3.08,3.02,3.04,3.04,118800
2006-07-28,3.06,3.08,3.06,3.06,3.06,4000
2006-08-01,3,3.06,3,3.06,3.06,52000
2006-08-02,3.02,3.04,3.02,3.04,3.04,3000
2006-08-03,3.04,3.06,3.04,3.06,3.06,44400
2006-08-04,3.06,3.08,3.02,3.08,3.08,64300
2006-08-07,3.06,3.06,3.06,3.06,3.06,200
2006-08-08,3.06,3.08,3.06,3.06,3.06,77000
2006-08-09,3.08,3.12,3.08,3.12,3.12,376984
2006-08-10,3.1,3.1,3.04,3.1,3.1,211785
2006-08-11,3.1,3.1,3.08,3.08,3.08,145100
2006-08-15,3.08,3.08,3.06,3.06,3.06,5885
2006-08-16,3.06,3.06,3.06,3.06,3.06,5000
2006-08-17,3.08,3.1,3.06,3.08,3.08,39762
2006-08-18,3.08,3.12,3.08,3.1,3.1,207107
2006-08-21,3.08,3.14,3.08,3.12,3.12,127377
2006-08-22,3.14,3.3,3.14,3.28,3.28,672439
2006-08-23,3.3,3.34,3.24,3.3,3.3,420946
2006-08-24,3.3,3.3,3.24,3.26,3.26,270600
2006-08-25,3.3,3.34,3.28,3.3,3.3,214600
2006-08-28,3.26,3.3,3.26,3.3,3.3,91300
2006-08-29,3.28,3.3,3.24,3.3,3.3,165500
2006-08-30,3.3,3.38,3.26,3.36,3.36,896062
2006-08-31,3.36,3.38,3.36,3.38,3.38,98210
2006-09-01,3.44,3.46,3.4,3.44,3.44,346623
2006-09-04,3.44,3.5,3.42,3.5,3.5,194485
2006-09-05,3.5,3.5,3.44,3.44,3.44,125744
2006-09-06,3.5,3.56,3.48,3.48,3.48,441625
2006-09-08,3.48,3.48,3.44,3.46,3.46,182500
2006-09-11,3.48,3.48,3.42,3.42,3.42,34401
2006-09-12,3.42,3.46,3.38,3.4,3.4,220900
2006-09-13,3.4,3.4,3.38,3.38,3.38,170400
2006-09-15,3.38,3.38,3.36,3.36,3.36,134400
2006-09-18,3.36,3.38,3.36,3.38,3.38,23700
2006-09-19,3.38,3.48,3.38,3.4,3.4,43500
2006-09-21,3,3.4,3,3.4,3.4,89300
2006-09-22,3.4,3.4,3.3,3.3,3.3,112200
2006-09-26,3.32,3.32,3.32,3.32,3.32,45600
2006-09-27,3.32,3.38,3.32,3.38,3.38,10500
2006-09-28,3.38,3.38,3.36,3.38,3.38,38500
2006-09-29,3.38,3.38,3.38,3.38,3.38,20400
2006-10-02,3.34,3.34,3.34,3.34,3.34,16800
2006-10-03,3.32,3.34,3.32,3.34,3.34,62446
2006-10-04,3.36,3.38,3.36,3.38,3.38,20000
2006-10-05,3.36,3.42,3.36,3.42,3.42,40800
2006-10-06,3.4,3.42,3.4,3.42,3.42,303100
2006-10-09,3.42,3.42,3.4,3.4,3.4,8700
2006-10-10,3.42,3.42,3.42,3.42,3.42,8600
2006-10-11,3.42,3.42,3.42,3.42,3.42,1000
2006-10-12,3.38,3.58,3.38,3.52,3.52,161246
2006-10-13,3.5,3.5,3.48,3.5,3.5,10100
2006-10-16,3.4,3.48,3.38,3.48,3.48,33004
2006-10-19,3.46,3.52,3.46,3.52,3.52,14600
2006-10-20,3.5,3.5,3.4,3.4,3.4,35400
2006-10-24,3.5,3.5,3.42,3.42,3.42,17000
2006-10-25,3.42,3.52,3.42,3.52,3.52,14501
2006-10-26,3.52,3.54,3.5,3.5,3.5,12339
2006-10-27,3.5,3.52,3.5,3.5,3.5,5452
2006-10-30,3.44,3.52,3.44,3.46,3.46,22100
2006-11-01,3.48,3.48,3.44,3.44,3.44,36009
2006-11-02,3.48,3.52,3.48,3.5,3.5,160000
2006-11-03,3.5,3.5,3.48,3.48,3.48,68600
2006-11-06,3.48,3.48,3.46,3.46,3.46,110000
2006-11-07,3.46,3.46,3.44,3.44,3.44,72862
2006-11-08,3.44,3.44,3.44,3.44,3.44,4000
2006-11-09,3.46,3.46,3.46,3.46,3.46,50000
2006-11-10,3.44,3.44,3.4,3.44,3.44,92500
2006-11-13,3.46,3.46,3.4,3.4,3.4,92100
2006-11-14,3.42,3.46,3.4,3.4,3.4,27900
2006-11-15,3.48,3.5,3.46,3.46,3.46,101700
2006-11-16,3.48,3.5,3.46,3.46,3.46,204800
2006-11-17,3.5,3.5,3.48,3.5,3.5,256731
2006-11-20,3.52,3.52,3.48,3.52,3.52,334315
2006-11-21,3.52,3.54,3.5,3.5,3.5,398408
2006-11-22,3.54,3.54,3.48,3.48,3.48,211300
2006-11-23,3.88,3.88,3.48,3.48,3.48,11838
2006-11-24,3.54,3.54,3.48,3.48,3.48,46455
2006-11-27,3.5,3.64,3.5,3.6,3.6,266746
2006-11-28,3.6,3.68,3.6,3.64,3.64,90500
2006-11-29,3.64,3.64,3.62,3.62,3.62,91138
2006-11-30,3.62,3.62,3.6,3.62,3.62,120308
2006-12-01,3.64,3.68,3.62,3.64,3.64,65400
2006-12-04,3.7,3.7,3.62,3.62,3.62,308538
2006-12-06,3.68,3.68,3.62,3.66,3.66,56500
2006-12-07,3.66,3.68,3.64,3.68,3.68,50763
2006-12-08,3.7,3.7,3.66,3.7,3.7,95161
2006-12-12,3.88,3.9,3.8,3.84,3.84,369774
2006-12-13,3.88,3.88,3.82,3.82,3.82,262106
2006-12-14,3.82,3.84,3.82,3.82,3.82,280000
2006-12-15,3.88,3.88,3.82,3.82,3.82,134800
2006-12-18,3.84,3.84,3.82,3.82,3.82,16000
2006-12-19,3.8,3.8,3.5,3.6,3.6,783730
2006-12-20,3.8,3.82,3.7,3.82,3.82,391700
2006-12-21,3.84,3.84,3.74,3.76,3.76,122400
2006-12-22,3.78,3.78,3.76,3.76,3.76,21100
2006-12-27,3.76,3.86,3.76,3.84,3.84,18200
2006-12-28,3.88,3.88,3.88,3.88,3.88,7200
2006-12-29,3.84,3.86,3.84,3.86,3.86,24608
2007-01-03,3.78,3.8,3.78,3.8,3.8,104400
2007-01-04,3.74,3.76,3.7,3.72,3.72,298300
2007-01-05,3.72,3.74,3.66,3.74,3.74,86000
2007-01-08,3.74,3.76,3.74,3.76,3.76,28700
2007-01-09,3.76,3.76,3.76,3.76,3.76,39000
2007-01-10,3.76,3.76,3.76,3.76,3.76,35200
2007-01-11,3.76,3.76,3.7,3.7,3.7,58592
2007-01-12,3.76,3.76,3.76,3.76,3.76,100
2007-01-15,3.76,3.76,3.68,3.72,3.72,566900
2007-01-16,3.76,3.76,3.7,3.74,3.74,212647
2007-01-17,3.72,3.74,3.72,3.74,3.74,52101
2007-01-18,3.74,3.76,3.74,3.76,3.76,13300
2007-01-19,3.76,3.78,3.76,3.78,3.78,68500
2007-01-22,3.76,3.78,3.74,3.74,3.74,167900
2007-01-23,3.76,3.78,3.74,3.78,3.78,296700
2007-01-24,3.48,3.56,3.44,3.56,3.56,107000
2007-01-25,3.52,3.54,3.5,3.5,3.5,7000
2007-01-26,3.5,3.5,3.46,3.5,3.5,33100
2007-01-29,3.5,3.5,3.5,3.5,3.5,3101
2007-01-30,3.46,3.48,3.4,3.44,3.44,49400
2007-01-31,3.48,3.5,3.42,3.5,3.5,24508
2007-02-01,3.5,3.5,3.5,3.5,3.5,19600
2007-02-02,3.5,3.6,3.5,3.6,3.6,156400
2007-02-05,3.7,3.7,3.64,3.64,3.64,200
2007-02-06,3.6,3.6,3.58,3.58,3.58,17100
2007-02-07,3.6,3.6,3.5,3.5,3.5,59800
