Date,Open,High,Low,Close,Adj Close,Volume
2017-11-10,0.21,0.24,0.21,0.23,0.23,609900
2017-11-13,0.22,0.22,0.21,0.22,0.22,2847300
2017-11-14,0.21,0.22,0.21,0.21,0.21,1583900
2017-11-15,0.22,0.26,0.22,0.24,0.24,3772600
2017-11-16,0.25,0.25,0.23,0.23,0.23,1370600
2017-11-17,0.24,0.27,0.24,0.25,0.25,5361500
2017-11-20,0.27,0.27,0.24,0.24,0.24,1557100
2017-11-21,0.24,0.24,0.24,0.24,0.24,202800
2017-11-22,0.24,0.25,0.23,0.24,0.24,1151000
2017-11-23,0.24,0.24,0.23,0.23,0.23,1522000
2017-11-24,0.2,0.2,0.19,0.19,0.19,2619400
2017-11-27,0.2,0.21,0.18,0.18,0.18,1077200
2017-11-28,0.17,0.18,0.17,0.18,0.18,1768000
2017-11-29,0.17,0.17,0.15,0.15,0.15,1637300
2017-11-30,0.15,0.15,0.13,0.14,0.14,882400
2017-12-01,0.15,0.15,0.14,0.14,0.14,942800
2017-12-04,0.13,0.14,0.13,0.14,0.14,323800
2017-12-06,0.13,0.13,0.12,0.12,0.12,704200
2017-12-07,0.14,0.14,0.13,0.13,0.13,1115400
2017-12-08,0.13,0.15,0.13,0.15,0.15,1178100
2017-12-12,0.14,0.14,0.12,0.12,0.12,1163200
2017-12-13,0.13,0.14,0.13,0.13,0.13,608400
2017-12-14,0.13,0.15,0.12,0.15,0.15,3164100
2017-12-15,0.14,0.14,0.12,0.12,0.12,2027100
2017-12-18,0.12,0.13,0.11,0.13,0.13,3770600
2017-12-19,0.12,0.12,0.12,0.12,0.12,2316900
2017-12-20,0.12,0.12,0.11,0.12,0.12,1517000
2017-12-21,0.12,0.13,0.11,0.13,0.13,1546200
2017-12-22,0.13,0.13,0.12,0.12,0.12,919800
2017-12-25,0.13,0.13,0.13,0.13,0.13,1694600
2017-12-26,0.12,0.12,0.12,0.12,0.12,685600
2017-12-27,0.12,0.12,0.11,0.11,0.11,608400
2017-12-28,0.11,0.11,0.1,0.1,0.1,2147700
2017-12-29,0.11,0.11,0.11,0.11,0.11,912600
2018-01-03,0.1,0.1,0.09,0.09,0.09,1658000
2018-01-04,0.08,0.08,0.08,0.08,0.08,695600
2018-01-05,0.07,0.07,0.07,0.07,0.07,30000
2018-01-08,0.09,0.09,0.09,0.09,0.09,100
2018-01-10,0.1,0.1,0.1,0.1,0.1,100
2018-01-11,0.09,0.09,0.09,0.09,0.09,35000
2018-01-12,0.08,0.09,0.08,0.09,0.09,5100
2018-01-16,0.08,0.09,0.08,0.09,0.09,50100
2018-01-18,0.08,0.09,0.08,0.09,0.09,111100
2018-01-22,0.07,0.08,0.07,0.08,0.08,10100
2018-01-23,0.08,0.08,0.08,0.08,0.08,4000
2018-01-24,0.07,0.07,0.07,0.07,0.07,20000
2018-01-25,0.08,0.08,0.08,0.08,0.08,1000
2018-01-26,0.09,0.1,0.09,0.1,0.1,200
2018-01-29,0.11,0.13,0.11,0.13,0.13,195000
2018-01-31,0.1,0.12,0.1,0.11,0.11,2864400
2018-02-01,0.11,0.11,0.1,0.1,0.1,3644800
2018-02-02,0.11,0.11,0.1,0.1,0.1,286000
2018-02-05,0.07,0.08,0.06,0.08,0.08,300100
2018-02-06,0.1,0.1,0.1,0.1,0.1,100
2018-02-09,0.11,0.11,0.11,0.11,0.11,100
2018-02-12,0.07,0.09,0.07,0.09,0.09,100200
2018-02-13,0.1,0.1,0.1,0.1,0.1,1000
2018-02-14,0.09,0.11,0.09,0.11,0.11,5800
2018-02-15,0.06,0.07,0.06,0.07,0.07,340000
2018-02-16,0.07,0.07,0.06,0.07,0.07,66000
2018-02-27,0.04,0.06,0.04,0.06,0.06,102000
2018-03-05,0.05,0.05,0.05,0.05,0.05,5400
2018-03-09,0.02,0.02,0.02,0.02,0.02,500000
2018-03-22,0.01,0.01,0.01,0.01,0.01,104100
2018-03-23,0.01,0.01,0.01,0.01,0.01,50000
2018-04-02,0.01,0.01,0.01,0.01,0.01,180000
2018-04-03,0.03,0.03,0.03,0.03,0.03,200
2018-04-04,0.03,0.03,0.03,0.03,0.03,1200
2018-04-09,0.03,0.03,0.03,0.03,0.03,100
2018-04-10,0.03,0.03,0.03,0.03,0.03,100
2018-04-11,0.03,0.03,0.01,0.01,0.01,1600
2018-04-18,0.01,0.01,0.01,0.01,0.01,30200
2018-04-19,0.01,0.01,0.01,0.01,0.01,200000
2018-05-03,0.01,0.01,0.01,0.01,0.01,20400
