Date,Open,High,Low,Close,Adj Close,Volume
1990-08-16,16.1601,16.8335,14.3645,16.1601,16.1601,2331510
1990-08-17,15.9357,15.9357,14.589,15.0379,15.0379,679450
1990-08-20,15.0379,15.4868,13.579,13.6912,13.6912,417020
1990-08-21,13.6912,13.6912,12.3445,12.3445,12.3445,298510
1990-08-22,11.1101,11.1101,11.1101,11.1101,11.1101,22720
1990-08-23,10.044,10.044,10.044,10.044,10.044,53900
1990-08-24,9.0901,9.0901,9.0901,9.0901,9.0901,34300
1990-08-27,9.0901,9.9879,8.9778,9.9879,9.9879,215630
1990-08-28,10.7734,10.9417,10.7734,10.9417,10.9417,184890
1990-08-29,11.1662,12.0079,11.1662,11.6712,11.6712,646480
1990-08-30,11.6712,11.6712,10.7734,11.2223,11.2223,175090
1990-08-31,11.2223,11.2223,10.7734,10.9979,10.9979,102020
1990-09-03,10.9979,12.064,10.9979,12.064,12.064,315440
1990-09-04,12.064,12.064,11.054,12.064,12.064,162170
1990-09-05,11.7273,11.7273,10.9417,11.7273,11.7273,87760
1990-09-06,11.2784,11.2784,10.6051,11.2784,11.2784,77520
1990-09-07,10.9417,10.9417,10.7173,10.9417,10.9417,127420
1990-09-10,10.9417,10.9417,10.8295,10.8295,10.8295,71280
1990-09-11,10.549,10.549,10.1001,10.2123,10.2123,74400
1990-09-12,9.4267,9.4267,9.2023,9.2023,9.2023,155930
1990-09-13,8.7534,8.7534,8.3045,8.7534,8.7534,113610
1990-09-14,8.5289,8.5289,8.0801,8.5289,8.5289,135880
1990-09-17,7.8556,7.8556,7.6873,7.6873,7.6873,130540
1990-09-18,7.4067,7.4067,6.9578,6.9578,6.9578,205830
1990-09-19,6.9578,6.9578,6.7334,6.7334,6.7334,102470
1990-09-20,6.5089,6.5089,6.2845,6.2845,6.2845,183110
1990-09-21,6.2845,6.2845,6.06,6.1723,6.1723,51230
1990-09-24,6.2284,6.5089,6.2284,6.3967,6.3967,138110
1990-09-25,6.3967,6.3967,6.06,6.3967,6.3967,161720
1990-09-26,6.3967,6.7334,6.06,6.7334,6.7334,192910
1990-09-27,6.7334,6.7334,6.5089,6.5089,6.5089,110930
1990-09-28,6.5089,6.7334,6.2845,6.3967,6.3967,156820
1990-10-01,6.3967,6.6212,6.2845,6.6212,6.6212,110930
1990-10-02,6.7334,7.2384,6.7334,7.2384,7.2384,160840
1990-10-03,7.2384,7.6312,6.7334,6.9578,6.9578,200490
1990-10-04,6.7334,6.7334,6.5089,6.6212,6.6212,110040
1990-10-05,6.6212,6.9578,6.5089,6.7334,6.7334,222320
1990-10-08,6.7334,6.7334,6.5089,6.6212,6.6212,36970
1990-10-09,6.7334,6.8456,6.7334,6.7334,6.7334,81530
1990-10-10,6.7334,6.7334,6.3967,6.5089,6.5089,30740
1990-10-11,6.5089,6.5089,6.2845,6.5089,6.5089,71280
1990-10-12,6.5089,6.5089,6.2845,6.5089,6.5089,32520
1990-10-16,6.5089,6.7334,6.3967,6.5089,6.5089,32070
1990-10-17,6.3967,6.3967,6.2845,6.2845,6.2845,126530
1990-10-18,6.3967,6.5089,6.3967,6.5089,6.5089,4450
1990-10-19,6.5089,6.5089,6.5089,6.5089,6.5089,43660
1990-10-22,6.6212,6.9578,6.6212,6.9578,6.9578,197370
1990-10-24,6.9578,7.1823,6.7334,6.7334,6.7334,159500
1990-10-25,6.7334,6.7334,6.6212,6.6773,6.6773,37420
1990-10-26,6.6212,6.6212,6.5089,6.6212,6.6212,46330
1990-10-29,6.6212,6.6212,6.565,6.565,6.565,13360
1990-10-30,6.4528,6.4528,6.3967,6.3967,6.3967,21820
1990-10-31,6.3406,6.3406,6.06,6.06,6.06,42320
1990-11-01,6.06,6.2845,5.8356,6.06,6.06,95340
1990-11-02,6.06,6.2845,5.9478,6.06,6.06,68610
1990-11-05,6.06,6.2845,6.06,6.2845,6.2845,84200
1990-11-06,6.2845,6.3967,6.2845,6.2845,6.2845,56130
1990-11-07,6.1723,6.1723,6.06,6.1723,6.1723,48110
1990-11-08,6.06,6.06,6.06,6.06,6.06,4450
1990-11-09,6.06,6.2845,6.06,6.2845,6.2845,30290
1990-11-12,6.2845,6.5089,6.2845,6.5089,6.5089,90440
1990-11-13,6.5089,6.5089,6.2845,6.5089,6.5089,40090
1990-11-14,6.2845,6.2845,6.2845,6.2845,6.2845,5340
1990-11-15,6.2845,6.2845,6.1723,6.2845,6.2845,39200
1990-11-16,6.2845,6.3967,6.2845,6.3967,6.3967,4450
1990-11-19,6.3967,6.9578,6.3967,6.9578,6.9578,275340
1990-11-20,6.9578,7.6312,6.8456,7.6312,7.6312,649150
1990-11-21,7.6312,7.8556,7.1823,7.6312,7.6312,606820
1990-11-22,7.6312,7.6312,7.0701,7.1823,7.1823,225440
1990-11-23,7.1823,7.1823,6.9578,6.9578,6.9578,194690
1990-11-26,6.9578,6.9578,6.2845,6.2845,6.2845,98010
1990-11-27,6.2845,6.2845,5.6673,5.7234,5.7234,344840
1990-11-28,5.7234,5.9478,5.7234,5.9478,5.9478,163510
1990-11-29,5.9478,6.06,5.6111,6.06,6.06,159500
1990-11-30,5.8356,5.8356,5.6111,5.8356,5.8356,133210
1990-12-03,6.2845,6.3967,6.2845,6.3967,6.3967,84200
1990-12-04,6.3967,6.6212,6.3967,6.3967,6.3967,65930
1990-12-06,6.5089,7.0139,6.5089,7.0139,7.0139,253510
1990-12-07,7.0139,7.2384,6.7334,7.1823,7.1823,286030
1990-12-11,7.1823,7.1823,6.9578,7.1823,7.1823,259300
1990-12-12,6.9578,6.9578,6.5089,6.8456,6.8456,371130
1990-12-13,6.8456,7.4067,6.7334,7.4067,7.4067,123410
1990-12-14,7.4067,7.5189,7.2945,7.5189,7.5189,354650
1990-12-17,7.4067,7.4067,6.8456,6.9578,6.9578,163060
1990-12-18,6.8456,6.8456,6.7334,6.8456,6.8456,236130
1990-12-20,6.8456,7.1823,6.7334,6.7334,6.7334,43210
1990-12-21,6.7334,6.7334,6.7334,6.7334,6.7334,440
1990-12-25,6.3967,6.3967,6.3967,6.3967,6.3967,25390
1990-12-26,6.5089,6.5089,6.5089,6.5089,6.5089,40090
1990-12-27,6.5089,6.7334,6.5089,6.5089,6.5089,12470
1990-12-28,6.5089,6.5089,6.1723,6.2284,6.2284,89990
1991-01-02,6.06,6.06,5.9478,5.9478,5.9478,17370
1991-01-03,6.06,6.06,6.06,6.06,6.06,4450
1991-01-04,6.2845,6.5089,6.2845,6.3406,6.3406,89550
1991-01-07,6.1723,6.1723,6.1723,6.1723,6.1723,18260
1991-01-08,6.1723,6.2845,6.1723,6.2845,6.2845,30740
1991-01-09,6.2845,6.3406,6.06,6.2284,6.2284,19600
1991-01-10,6.2284,6.2845,6.06,6.2845,6.2845,7120
1991-01-11,6.2845,6.2845,6.06,6.2845,6.2845,24500
1991-01-14,6.2845,6.3967,6.2284,6.3967,6.3967,4890
1991-01-15,6.06,6.06,6.06,6.06,6.06,2670
1991-01-16,6.06,6.2845,6.06,6.2845,6.2845,11130
1991-01-17,6.2845,6.9017,6.1723,6.9017,6.9017,70840
1991-01-18,6.9017,7.1823,6.9017,6.9017,6.9017,42320
1991-01-21,6.5089,6.5089,6.2845,6.2845,6.2845,10690
1991-01-22,6.2845,6.3967,6.2845,6.3967,6.3967,12020
1991-01-23,6.2845,6.2845,6.2845,6.2845,6.2845,22270
1991-01-24,6.2845,6.2845,6.2845,6.2845,6.2845,14700
1991-01-25,6.5089,6.5089,6.5089,6.5089,6.5089,22270
1991-01-28,6.5089,6.6212,6.5089,6.6212,6.6212,60590
1991-01-29,6.5089,6.5089,6.3967,6.5089,6.5089,6230
1991-01-30,6.5089,6.9578,6.3967,6.9578,6.9578,71280
1991-01-31,6.9578,6.9578,6.5089,6.7334,6.7334,64600
1991-02-01,6.6773,6.6773,6.5089,6.6773,6.6773,52570
1991-02-04,6.6773,7.0701,6.6212,6.8456,6.8456,219200
1991-02-05,6.8456,7.4067,6.8456,7.2945,7.2945,339940
1991-02-06,7.2945,7.6312,7.0701,7.0701,7.0701,454000
1991-02-07,7.0701,7.2945,6.7334,6.9578,6.9578,388060
1991-02-08,6.9578,7.6312,6.9578,7.6312,7.6312,884840
1991-02-11,8.0801,8.3606,8.0801,8.3606,8.3606,626870
1991-02-12,8.3606,9.0339,7.8556,8.5289,8.5289,493650
1991-02-13,8.5289,8.5289,7.7995,8.5289,8.5289,442860
1991-02-14,8.0801,8.0801,7.8556,7.8556,7.8556,126080
1991-02-15,7.8556,7.9678,7.6312,7.9678,7.9678,104700
1991-02-18,8.0801,8.5289,8.0801,8.5289,8.5289,256630
1991-02-19,8.5289,8.5289,8.0801,8.3045,8.3045,259300
1991-02-20,8.3045,8.7534,8.3045,8.5289,8.5289,326130
1991-02-21,8.5289,8.6412,7.8556,8.0801,8.0801,218310
1991-02-22,8.0801,8.3045,8.0801,8.0801,8.0801,151030
1991-02-25,7.5189,7.5189,7.2945,7.2945,7.2945,94000
1991-02-26,7.2945,7.8556,7.2945,7.8556,7.8556,107810
1991-02-27,7.8556,7.8556,7.6312,7.6312,7.6312,57910
1991-03-01,7.8556,8.3045,7.8556,7.8556,7.8556,163950
1991-03-04,7.8556,8.6412,7.8556,8.6412,8.6412,134550
1991-03-05,8.6412,9.4828,8.0801,9.4828,9.4828,463360
1991-03-06,9.4828,10.1001,8.7534,9.9879,9.9879,1183800
1991-03-07,10.3245,10.9417,10.3245,10.4367,10.4367,1634240
1991-03-08,10.4367,10.4367,9.7634,9.9317,9.9317,420580
1991-03-11,10.1001,10.549,10.1001,10.2123,10.2123,578310
1991-03-12,10.2123,10.2123,9.9879,10.1001,10.1001,348410
1991-03-13,10.1001,10.1001,9.8756,10.1001,10.1001,143900
1991-03-14,10.3245,10.7734,10.3245,10.6612,10.6612,638450
1991-03-15,10.6612,11.2223,10.3245,10.9979,10.9979,1040330
1991-03-18,10.9979,11.1101,10.8856,11.1101,11.1101,804640
1991-03-19,11.1101,12.1762,10.8856,12.1762,12.1762,724440
1991-03-20,12.1762,13.2984,11.9517,13.2984,13.2984,2437110
1991-03-21,13.7473,14.5329,13.7473,14.1962,14.1962,1435530
