Date,Open,High,Low,Close,Adj Close,Volume
2017-09-14,10.8,11.4,10.2,11.4,11.4,831241200
2017-09-15,11.5,11.7,10.8,10.9,10.9,332171000
2017-09-18,11,11.3,10.3,10.3,10.3,166326400
2017-09-19,10.4,11,10.3,10.6,10.6,139492600
2017-09-20,10.6,10.8,10.4,10.6,10.6,66340000
2017-09-21,10.7,10.9,10.6,10.6,10.6,61308200
2017-09-22,10.6,11.2,10.5,11.2,11.2,134735800
2017-09-25,11.3,11.7,11.2,11.3,11.3,187546100
2017-09-26,11.3,11.3,10.9,11,11,98134200
2017-09-27,11.1,11.2,10.9,11,11,55785800
2017-09-28,11,11.2,10.7,10.8,10.8,49896300
2017-09-29,10.8,11,10.7,10.8,10.8,31005000
2017-10-02,10.9,11.1,10.8,10.9,10.9,23879100
2017-10-03,10.9,11.1,10.8,10.9,10.9,37603400
2017-10-04,11,11,10.7,10.7,10.7,28523900
2017-10-05,10.8,11.5,10.8,11.3,11.3,150815600
2017-10-06,11.5,11.8,11.3,11.3,11.3,200664300
2017-10-09,11.4,11.5,11.1,11.2,11.2,38262700
2017-10-10,11.2,12,11.2,12,12,162842100
2017-10-11,12.2,12.2,11.8,12,12,94785400
2017-10-12,12.1,12.9,12.1,12.6,12.6,132810900
2017-10-16,12.7,13.2,12.5,13.2,13.2,94302100
2017-10-17,13.3,13.5,12.9,13.1,13.1,113494100
2017-10-18,13.2,13.5,13,13.2,13.2,64996900
2017-10-19,13.1,13.3,12.7,12.7,12.7,89887900
2017-10-20,12.7,13.3,12.7,13.3,13.3,62894900
2017-10-24,13.5,13.7,13.3,13.7,13.7,76747700
2017-10-25,13.9,13.9,13.6,13.8,13.8,60596700
2017-10-27,13.9,14.1,13.7,13.7,13.7,65316700
2017-10-30,13.8,13.8,13.3,13.5,13.5,66072100
2017-10-31,13.4,13.8,13.4,13.4,13.4,45446100
2017-11-01,13.5,13.8,13.4,13.5,13.5,52777900
2017-11-02,13.6,13.8,13.3,13.3,13.3,40457000
2017-11-03,13.4,13.4,12.6,12.6,12.6,96154100
2017-11-06,12.6,13,12.4,12.9,12.9,47453100
2017-11-07,13,13.1,12.4,12.5,12.5,54538700
2017-11-08,12.6,13,12.5,12.8,12.8,36771500
2017-11-09,12.9,13.1,12.7,13,13,36783400
2017-11-10,13,13,12.5,12.5,12.5,31994500
2017-11-13,12.3,12.5,12,12,12,36575000
2017-11-14,11.7,12.2,11.6,12.1,12.1,47069000
2017-11-15,12,12.6,11.9,12.4,12.4,63792800
2017-11-16,12.5,12.7,12.3,12.3,12.3,30208100
2017-11-17,12.4,12.6,12.4,12.5,12.5,20804800
2017-11-20,12.6,12.6,12.3,12.4,12.4,11089300
2017-11-21,12.4,12.5,12,12.2,12.2,25057100
2017-11-22,12.2,12.6,12.1,12.3,12.3,35236100
2017-11-23,12.3,12.3,11.6,11.6,11.6,47420200
2017-11-24,11.7,11.9,11.5,11.5,11.5,25743400
2017-11-27,11.6,11.6,10.9,11,11,30355200
2017-11-28,11.1,11.3,11,11.1,11.1,28310300
2017-11-29,11.2,11.7,11.1,11.5,11.5,43994500
2017-11-30,11.4,11.5,11.1,11.2,11.2,21019800
2017-12-01,11.2,11.4,11.2,11.2,11.2,14076600
2017-12-04,11.3,11.3,9.8,9.95,9.95,90511000
2017-12-06,9.95,10.2,9.85,10.1,10.1,46330600
2017-12-07,10.1,10.2,10,10,10,10648900
2017-12-08,10.1,10.6,10,10.2,10.2,46169100
2017-12-12,10.2,10.3,9.6,9.6,9.6,43986800
2017-12-13,9.7,10.2,9.65,10.1,10.1,29148300
2017-12-14,10.1,10.2,10,10,10,4537900
2017-12-15,9.95,10.2,9.95,10,10,6423100
2017-12-18,10.1,10.4,10,10.3,10.3,9259800
2017-12-19,10.3,10.4,10,10.1,10.1,9457900
2017-12-20,10.1,10.4,9.9,9.95,9.95,20958300
2017-12-21,10,10.1,10,10,10,4535700
2017-12-22,10,10,9.9,9.95,9.95,3582700
2017-12-25,10.1,10.1,9.95,10,10,6319600
2017-12-26,10.1,10.3,10,10.1,10.1,13287000
2017-12-27,10.1,10.2,10,10,10,5386900
2017-12-28,10,10.1,9.9,10,10,8422600
2017-12-29,10,10.2,9.95,10.2,10.2,5510800
2018-01-03,10.2,10.2,9.95,10,10,15326300
2018-01-04,10.1,10.8,10,10.7,10.7,96748800
2018-01-05,10.9,11,10.7,10.9,10.9,20839900
2018-01-08,11,11.6,11,11.2,11.2,49792400
2018-01-09,11.3,11.4,11,11.1,11.1,31632900
2018-01-10,11.2,11.4,11.1,11.2,11.2,22627900
2018-01-11,11.1,11.3,10.9,11.1,11.1,12782900
2018-01-12,11.2,11.4,11.1,11.2,11.2,10779000
2018-01-15,11.2,11.2,10.5,10.6,10.6,38677000
2018-01-16,10.5,10.8,10.4,10.4,10.4,13728800
2018-01-17,10.3,10.7,10.3,10.4,10.4,9411700
2018-01-18,10.5,10.7,10.4,10.5,10.5,10895800
2018-01-19,10.5,10.6,10.3,10.4,10.4,7433500
2018-01-22,10.4,10.6,10.4,10.4,10.4,4635300
2018-01-23,10.5,10.6,10.3,10.3,10.3,6754200
2018-01-24,10.3,11.1,10.3,11,11,31248100
2018-01-25,11.1,11.1,10.8,10.8,10.8,13351900
2018-01-26,10.8,10.9,10.6,10.7,10.7,7673800
2018-01-29,11.3,11.4,11,11.1,11.1,39150600
2018-01-30,11.1,11.4,11.1,11.2,11.2,19587400
2018-01-31,11.1,11.8,11.1,11.8,11.8,73298800
2018-02-01,11.9,11.9,11.6,11.7,11.7,28096500
2018-02-02,11.7,12.1,11.5,11.5,11.5,46453600
2018-02-05,11.1,11.3,11,11.2,11.2,29868000
2018-02-06,10.6,11.2,10.6,10.9,10.9,39802000
2018-02-07,11.2,11.2,10.7,10.7,10.7,20148200
2018-02-08,10.8,10.9,10.7,10.8,10.8,5858700
2018-02-09,10.6,10.9,10.6,10.9,10.9,8725600
2018-02-12,11,11.1,10.9,11,11,12999700
2018-02-13,11.1,11.3,11,11,11,20049000
2018-02-14,11,11.2,10.9,10.9,10.9,6818700
2018-02-15,10.9,11,10.8,10.9,10.9,4003000
2018-02-16,10.9,11,10.8,10.8,10.8,5083500
2018-02-19,10.9,10.9,10.6,10.7,10.7,5353700
2018-02-20,10.8,11.1,10.7,10.7,10.7,13255000
2018-02-21,10.8,10.8,10.4,10.4,10.4,11918200
2018-02-22,10.4,10.4,9.8,9.9,9.9,23751800
2018-02-23,10,10.2,10,10.1,10.1,7439600
2018-02-26,10.2,10.4,10,10.3,10.3,7089700
2018-02-27,10.3,10.4,9.9,9.95,9.95,14043600
2018-02-28,9.95,10.1,9.95,10,10,2376300
2018-03-02,9.95,10.1,9.9,9.9,9.9,3603500
2018-03-05,9.9,9.95,6.95,9.3,9.3,33708800
2018-03-06,9.45,9.55,9.3,9.3,9.3,7400000
2018-03-07,9.35,9.4,9.05,9.05,9.05,6016000
2018-03-08,9.05,9.05,8.05,8.3,8.3,34020000
2018-03-09,8.4,8.5,8.2,8.3,8.3,5541400
2018-03-12,8.4,8.9,8.3,8.85,8.85,10355100
2018-03-13,8.75,9,8.7,8.85,8.85,4945100
2018-03-14,8.8,9.2,8.8,8.9,8.9,14269000
2018-03-15,8.9,9.2,8.9,9.15,9.15,3867500
2018-03-16,9.2,9.25,9,9,9,3672700
2018-03-19,9.05,9.1,8.85,8.95,8.95,1729600
2018-03-20,8.9,9,8.8,9,9,1027600
2018-03-21,9.05,9.55,9,9.35,9.35,9857700
2018-03-22,9.35,9.5,9.35,9.4,9.4,6514000
2018-03-23,9.45,9.7,9.3,9.4,9.4,15585400
2018-03-26,9.5,9.55,9.1,9.1,9.1,8321900
2018-03-27,9.15,9.4,9.15,9.25,9.25,5215700
2018-03-28,9.2,9.2,9,9,9,4128000
2018-03-29,9.05,9.05,8.8,8.85,8.85,3170700
2018-03-30,9,9,8.85,8.95,8.95,1817200
2018-04-02,8.9,9,8.75,8.75,8.75,1724000
2018-04-03,8.75,8.8,8.55,8.55,8.55,2281000
2018-04-04,8.65,8.65,8.35,8.35,8.35,3282400
2018-04-05,8.45,8.6,8.4,8.6,8.6,2962300
2018-04-09,8.65,8.65,8.5,8.5,8.5,2153900
2018-04-10,8.65,8.7,8.55,8.7,8.7,1035000
2018-04-11,8.75,8.85,8.6,8.6,8.6,2803600
2018-04-12,8.6,8.65,8.5,8.6,8.6,565200
2018-04-17,8.6,8.75,8.5,8.55,8.55,1645100
2018-04-18,8.6,8.75,8.55,8.55,8.55,1945400
2018-04-19,8.6,8.85,8.6,8.85,8.85,5334300
2018-04-20,8.9,9.2,8.85,9.15,9.15,10256400
2018-04-23,9.15,9.3,9.1,9.15,9.15,4580000
2018-04-24,9.2,9.25,9.05,9.1,9.1,971900
2018-04-25,9.05,9.05,8.9,8.95,8.95,792200
2018-04-26,9,9,8.85,8.85,8.85,1092700
2018-04-27,8.9,9,8.9,8.9,8.9,809400
2018-04-30,8.9,8.95,8.75,8.75,8.75,885100
2018-05-02,8.85,8.85,8.75,8.85,8.85,478300
2018-05-03,8.8,8.8,8.6,8.65,8.65,2100000
2018-05-04,8.7,8.8,8.65,8.7,8.7,1231900
2018-05-07,8.65,8.75,8.6,8.6,8.6,1275900
2018-05-08,8.6,9.05,8.6,8.95,8.95,8951100
2018-05-09,9.05,9.1,8.9,8.95,8.95,4831300
2018-05-10,9,9,8.65,8.7,8.7,2422600
2018-05-11,8.7,8.95,8.65,8.95,8.95,3123900
2018-05-14,8.95,8.95,8.75,8.95,8.95,1387000
2018-05-15,9.05,9.25,9.05,9.1,9.1,7622700
2018-05-16,9,9.1,8.95,9,9,2976300
2018-05-17,9.05,9.1,8.95,9.05,9.05,2452100
2018-05-18,9.05,9.1,8.85,9,9,1803200
2018-05-21,9,9.1,8.95,8.95,8.95,2446500
2018-05-22,8.95,9.05,8.9,8.9,8.9,1686000
2018-05-23,8.95,8.95,8.7,8.7,8.7,4420300
2018-05-24,8.7,8.8,8.5,8.55,8.55,4166900
