Date,Open,High,Low,Close,Adj Close,Volume
2014-08-04,1.09,1.09,1.04,1.04,1.04,50000
2014-08-05,1.02,1.04,0.99,0.99,0.99,99500
2014-08-07,1.03,1.03,1.02,1.02,1.02,17000
2014-08-08,1.01,1.01,1.01,1.01,1.01,2000
2014-08-13,0.96,0.97,0.94,0.94,0.94,124000
2014-08-14,0.92,0.99,0.92,0.99,0.99,63500
2014-08-15,0.99,1,0.98,0.98,0.98,30000
2014-08-18,0.98,0.98,0.98,0.98,0.98,500
2014-08-19,0.93,0.94,0.93,0.93,0.93,148300
2014-08-20,0.92,0.92,0.92,0.92,0.92,3200
2014-08-21,0.92,0.95,0.91,0.95,0.95,33300
2014-08-25,0.93,0.93,0.91,0.91,0.91,15000
2014-08-26,0.93,0.96,0.93,0.96,0.96,21500
2014-08-27,0.95,0.96,0.95,0.96,0.96,200000
2014-08-28,0.98,0.98,0.95,0.96,0.96,260800
2014-08-29,0.97,0.97,0.97,0.97,0.97,140000
2014-09-02,0.95,0.95,0.95,0.95,0.95,67300
2014-09-04,0.93,0.97,0.93,0.97,0.97,61000
2014-09-09,1.04,1.04,1.04,1.04,1.04,2000
2014-09-10,1.1,1.13,1.05,1.06,1.06,588100
2014-09-11,1.05,1.06,1.05,1.05,1.05,170400
2014-09-12,1.06,1.09,1.06,1.09,1.09,175000
2014-09-15,1.07,1.07,1.01,1.02,1.02,416600
2014-09-16,1.01,1.02,0.98,0.99,0.99,160600
2014-09-17,0.99,1.05,0.99,1.04,1.04,651200
2014-09-18,0.97,0.98,0.96,0.97,0.97,531000
2014-09-19,0.98,1.01,0.98,0.99,0.99,22000
2014-09-22,1,1.01,0.98,0.99,0.99,60000
2014-09-23,1.01,1.01,0.98,0.99,0.99,685000
2014-09-24,0.99,1.01,0.99,1.01,1.01,607000
2014-09-25,1,1,0.99,1,1,50000
2014-09-26,0.99,0.99,0.97,0.98,0.98,82000
2014-09-29,0.97,0.97,0.93,0.94,0.94,2056200
2014-09-30,0.93,0.96,0.93,0.94,0.94,309900
2014-10-01,0.93,0.93,0.88,0.9,0.9,128300
2014-10-02,0.89,0.97,0.88,0.96,0.96,1023600
2014-10-03,0.95,0.99,0.94,0.94,0.94,5022900
2014-10-06,0.92,1.07,0.91,1,1,4762900
2014-10-07,1.03,1.03,0.96,0.97,0.97,887000
2014-10-08,1.01,1.01,0.91,0.94,0.94,1319800
2014-10-09,0.93,0.95,0.89,0.89,0.89,1920200
2014-10-10,0.94,0.96,0.93,0.96,0.96,1005000
2014-10-13,0.96,0.99,0.96,0.98,0.98,931000
2014-10-14,0.98,0.99,0.98,0.98,0.98,813000
2014-10-15,0.97,0.98,0.97,0.98,0.98,154200
2014-10-16,1,1,1,1,1,5000
2014-10-17,0.98,0.98,0.98,0.98,0.98,73600
2014-10-20,1,1.04,1,1.04,1.04,1063600
2014-10-21,1.02,1.04,1.02,1.02,1.02,257400
2014-10-22,0.98,0.99,0.96,0.99,0.99,828000
2014-10-24,0.99,0.99,0.96,0.98,0.98,828400
2014-10-27,0.96,0.97,0.89,0.92,0.92,807000
2014-10-28,0.9,0.91,0.88,0.9,0.9,754600
2014-10-29,0.91,0.93,0.91,0.93,0.93,525400
2014-10-30,0.94,0.95,0.94,0.95,0.95,1063200
2014-10-31,0.95,0.96,0.94,0.94,0.94,717200
2014-11-03,0.91,0.96,0.91,0.95,0.95,918600
2014-11-04,0.95,0.95,0.93,0.93,0.93,21000
2014-11-05,0.92,0.92,0.92,0.92,0.92,620000
2014-11-06,0.93,0.93,0.9,0.9,0.9,556000
2014-11-07,0.89,0.93,0.89,0.9,0.9,287600
2014-11-10,0.91,0.92,0.91,0.92,0.92,849400
2014-11-11,0.92,1.02,0.92,1,1,1802200
2014-11-12,0.99,1.03,0.98,1.03,1.03,928500
2014-11-13,1.07,1.08,1.05,1.06,1.06,384000
2014-11-14,1.01,1.03,1.01,1.03,1.03,319600
2014-11-17,1.02,1.07,1.02,1.07,1.07,320600
2014-11-18,1.03,1.05,1,1.01,1.01,97100
2014-11-19,0.98,1.05,0.97,1.05,1.05,205600
2014-11-20,1.03,1.06,1.03,1.06,1.06,756000
2014-11-21,1.03,1.04,1.01,1.02,1.02,608000
2014-11-25,0.97,1.04,0.97,1.01,1.01,298700
2014-11-26,1.03,1.04,1.02,1.02,1.02,163100
2014-11-27,1,1.04,1,1.04,1.04,284600
2014-11-28,1.02,1.04,1.02,1.04,1.04,21000
2014-12-01,1.02,1.02,1,1,1,39000
2014-12-02,1,1.02,1,1.01,1.01,597600
2014-12-03,0.98,1,0.98,1,1,880000
2014-12-04,1,1,1,1,1,20000
2014-12-08,1.01,1.06,1.01,1.06,1.06,80000
2014-12-09,1.09,1.15,1.09,1.1,1.1,143000
2014-12-11,1.12,1.17,1.12,1.17,1.17,30000
2014-12-12,1.14,1.15,1.13,1.15,1.15,317100
2014-12-15,1.16,1.28,1.16,1.28,1.28,233400
2014-12-16,1.19,1.25,1.17,1.17,1.17,330200
2014-12-17,1.2,1.26,1.2,1.26,1.26,50000
2014-12-18,1.2,1.2,1.2,1.2,1.2,5000
2014-12-19,1.12,1.16,1.12,1.16,1.16,563400
2014-12-23,1.14,1.15,1.14,1.15,1.15,20000
2014-12-24,1.18,1.26,1.18,1.26,1.26,20000
2014-12-25,1.27,1.3,1.27,1.28,1.28,22700
2014-12-26,1.29,1.3,1.29,1.29,1.29,20500
2014-12-29,1.27,1.27,1.26,1.26,1.26,700
2014-12-30,1.19,1.19,1.19,1.19,1.19,2900
2015-01-06,1.28,1.28,1.28,1.28,1.28,1000
2015-01-08,1.18,1.18,1.15,1.15,1.15,236500
2015-01-09,1.12,1.12,1.1,1.1,1.1,30500
2015-01-12,1.12,1.13,1.02,1.03,1.03,139000
2015-01-13,1.07,1.07,1.04,1.04,1.04,98300
2015-01-14,0.97,1.13,0.97,1.07,1.07,258500
2015-01-15,1.06,1.07,1.04,1.05,1.05,283400
2015-01-16,1.06,1.06,1.01,1.01,1.01,423300
2015-01-19,1.01,1.01,1.01,1.01,1.01,234900
2015-01-20,0.99,1.03,0.99,1.03,1.03,222600
2015-01-21,1.04,1.06,1.04,1.06,1.06,107600
2015-01-22,1.04,1.04,1.03,1.03,1.03,214600
2015-01-23,0.99,1,0.92,0.92,0.92,50600
2015-01-26,0.89,0.91,0.85,0.87,0.87,471200
2015-01-27,0.85,0.85,0.84,0.84,0.84,162200
2015-01-28,0.89,0.95,0.89,0.93,0.93,280000
2015-01-29,0.95,0.96,0.93,0.94,0.94,180000
2015-01-30,0.89,0.9,0.88,0.89,0.89,274400
