Date,Open,High,Low,Close,Adj Close,Volume
2012-05-28,1.31,1.31,1.22,1.22,1.22,45100
2012-05-29,1.19,1.19,1.17,1.17,1.17,21000
2012-05-30,1.19,1.2,1.19,1.2,1.2,117600
2012-05-31,1.23,1.23,1.23,1.23,1.23,47000
2012-06-01,1.24,1.26,1.24,1.26,1.26,60200
2012-06-05,1.3,1.35,1.28,1.35,1.35,495100
2012-06-06,1.34,1.34,1.23,1.24,1.24,425400
2012-06-07,1.2,1.3,1.2,1.28,1.28,1402000
2012-06-08,1.27,1.27,1.22,1.22,1.22,406000
2012-06-11,1.14,1.15,1.1,1.11,1.11,1381400
2012-06-12,1.13,1.14,1.07,1.07,1.07,956000
2012-06-13,1.04,1.06,1.02,1.06,1.06,720000
2012-06-14,1.05,1.06,1.05,1.06,1.06,146000
2012-06-15,1.04,1.04,1.02,1.03,1.03,540000
2012-06-18,0.99,1.03,0.99,1.03,1.03,1243000
2012-06-19,1.02,1.03,1.01,1.01,1.01,870000
2012-06-20,1,1.01,0.99,0.99,0.99,625000
2012-06-21,0.98,0.99,0.97,0.98,0.98,1263600
2012-06-22,1.01,1.01,1.01,1.01,1.01,18000
2012-06-26,0.99,0.99,0.98,0.98,0.98,160000
2012-06-28,0.95,0.95,0.9,0.92,0.92,1125700
2012-06-29,0.88,0.9,0.88,0.89,0.89,441000
2012-07-02,0.9,0.91,0.9,0.91,0.91,305000
2012-07-03,0.89,0.89,0.86,0.88,0.88,340000
2012-07-04,0.83,0.85,0.83,0.85,0.85,60000
2012-07-05,0.84,0.84,0.79,0.79,0.79,379800
2012-07-06,0.79,0.79,0.71,0.71,0.71,2277900
2012-07-09,0.7,0.72,0.7,0.71,0.71,1038400
2012-07-10,0.7,0.7,0.68,0.68,0.68,1572000
2012-07-11,0.67,0.67,0.63,0.64,0.64,2119100
2012-07-12,0.64,0.66,0.64,0.66,0.66,685000
2012-07-13,0.64,0.64,0.57,0.57,0.57,2923200
2012-07-16,0.6,0.62,0.6,0.61,0.61,381500
2012-07-17,0.61,0.68,0.61,0.64,0.64,909900
2012-07-18,0.65,0.65,0.6,0.6,0.6,888400
2012-07-19,0.58,0.61,0.58,0.61,0.61,79500
2012-07-20,0.58,0.59,0.57,0.59,0.59,560500
2012-07-23,0.66,0.67,0.64,0.66,0.66,84100
2012-07-24,0.65,0.65,0.65,0.65,0.65,500
2012-07-25,0.65,0.65,0.6,0.61,0.61,312000
2012-07-26,0.58,0.58,0.58,0.58,0.58,25000
2012-07-27,0.56,0.56,0.55,0.55,0.55,100000
2012-07-30,0.55,0.55,0.55,0.55,0.55,10000
2012-07-31,0.54,0.6,0.54,0.6,0.6,239100
2012-08-01,0.57,0.57,0.55,0.55,0.55,415000
2012-08-03,0.56,0.58,0.56,0.56,0.56,482000
2012-08-06,0.56,0.56,0.56,0.56,0.56,3200
2012-08-07,0.56,0.56,0.55,0.56,0.56,167000
2012-08-08,0.59,0.61,0.59,0.61,0.61,328200
2012-08-09,0.6,0.6,0.57,0.58,0.58,68000
2012-08-10,0.58,0.58,0.55,0.56,0.56,170000
2012-08-14,0.52,0.53,0.52,0.53,0.53,270000
2012-08-15,0.5,0.5,0.5,0.5,0.5,347100
2012-08-16,0.48,0.49,0.47,0.47,0.47,922000
2012-08-17,0.49,0.49,0.48,0.48,0.48,81400
2012-08-20,0.48,0.48,0.48,0.48,0.48,117700
2012-08-22,0.45,0.48,0.45,0.48,0.48,475900
2012-08-23,0.47,0.47,0.45,0.46,0.46,740000
2012-08-27,0.47,0.47,0.45,0.45,0.45,110000
2012-08-28,0.49,0.5,0.49,0.5,0.5,353600
2012-08-29,0.5,0.56,0.5,0.53,0.53,442000
2012-08-30,0.55,0.57,0.55,0.56,0.56,200100
2012-08-31,0.56,0.56,0.51,0.52,0.52,164000
2012-09-03,0.5,0.5,0.45,0.45,0.45,698000
2012-09-04,0.46,0.47,0.46,0.47,0.47,200
2012-09-05,0.44,0.44,0.44,0.44,0.44,248000
2012-09-06,0.41,0.41,0.41,0.41,0.41,80300
2012-09-07,0.39,0.39,0.39,0.39,0.39,10000
2012-09-10,0.37,0.37,0.37,0.37,0.37,68000
2012-09-11,0.36,0.36,0.36,0.36,0.36,100000
2012-09-13,0.38,0.38,0.38,0.38,0.38,28000
2012-09-17,0.4,0.4,0.4,0.4,0.4,28000
2012-09-21,0.29,0.29,0.29,0.29,0.29,30000
2012-09-24,0.29,0.29,0.29,0.29,0.29,30000
2012-09-25,0.27,0.27,0.26,0.26,0.26,244700
2012-09-26,0.28,0.28,0.28,0.28,0.28,60000
2012-09-27,0.25,0.26,0.25,0.26,0.26,50700
2012-09-28,0.25,0.25,0.24,0.24,0.24,50000
2012-10-01,0.21,0.21,0.19,0.19,0.19,48300
2012-10-02,0.16,0.17,0.15,0.15,0.15,159600
2012-10-03,0.15,0.15,0.15,0.15,0.15,10000
2012-10-04,0.15,0.15,0.15,0.15,0.15,15000
2012-10-08,0.11,0.11,0.11,0.11,0.11,31500
2012-10-09,0.09,0.09,0.09,0.09,0.09,76800
2012-10-11,0.09,0.09,0.09,0.09,0.09,10000
2012-10-12,0.08,0.08,0.08,0.08,0.08,1100
2012-10-15,0.07,0.07,0.04,0.04,0.04,51200
2012-10-16,0.03,0.03,0.02,0.02,0.02,20100
2012-10-17,0.02,0.02,0.02,0.02,0.02,53600
2012-10-22,0.01,0.01,0.01,0.01,0.01,6000
