Date,Open,High,Low,Close,Adj Close,Volume
2011-06-01,0.75,0.78,0.69,0.69,0.69,103700
2011-06-02,0.63,0.63,0.63,0.63,0.63,100
2011-06-08,0.55,0.55,0.55,0.55,0.55,100000
2011-06-09,0.48,0.48,0.48,0.48,0.48,44000
2011-06-10,0.4,0.48,0.4,0.48,0.48,44000
2011-06-14,0.52,0.52,0.52,0.52,0.52,100
2011-06-16,0.6,0.6,0.6,0.6,0.6,15000
2011-06-24,0.47,0.47,0.47,0.47,0.47,55000
2011-06-29,0.53,0.54,0.53,0.54,0.54,100100
2011-06-30,0.55,0.55,0.55,0.55,0.55,55000
2011-07-04,0.74,0.77,0.74,0.77,0.77,220000
2011-07-05,0.85,0.89,0.82,0.89,0.89,173800
2011-07-06,0.89,0.89,0.85,0.85,0.85,250000
2011-07-07,0.84,0.86,0.84,0.86,0.86,75000
2011-07-08,0.9,0.9,0.9,0.9,0.9,50000
2011-07-11,0.89,0.89,0.89,0.89,0.89,140000
2011-07-19,0.77,0.77,0.77,0.77,0.77,500
2011-07-21,0.84,0.84,0.84,0.84,0.84,100
2011-07-22,0.85,0.85,0.85,0.85,0.85,100
2011-08-02,0.77,0.77,0.76,0.76,0.76,281400
2011-08-04,0.75,0.75,0.75,0.75,0.75,100000
2011-08-05,0.59,0.61,0.59,0.61,0.61,183600
2011-08-08,0.57,0.57,0.57,0.57,0.57,50100
2011-08-09,0.46,0.52,0.45,0.52,0.52,444500
2011-08-10,0.54,0.54,0.54,0.54,0.54,500
2011-08-11,0.48,0.48,0.46,0.46,0.46,40000
2011-08-15,0.52,0.55,0.52,0.55,0.55,100300
2011-08-16,0.48,0.48,0.45,0.45,0.45,150000
2011-08-17,0.48,0.51,0.48,0.51,0.51,79500
2011-08-18,0.55,0.65,0.55,0.59,0.59,1159400
2011-08-19,0.56,0.67,0.53,0.67,0.67,1368800
2011-08-22,0.72,0.77,0.66,0.75,0.75,1529100
2011-08-23,0.75,0.9,0.01,0.63,0.63,2176100
2011-08-24,0.69,0.74,0.52,0.56,0.56,2078800
2011-08-25,0.58,0.61,0.53,0.53,0.53,1555300
2011-08-26,0.53,0.6,0.46,0.47,0.47,1502700
2011-08-29,0.52,0.6,0.51,0.53,0.53,1163700
2011-08-30,0.56,0.57,0.48,0.48,0.48,720600
2011-08-31,0.5,0.54,0.49,0.49,0.49,962000
2011-09-01,0.53,0.54,0.5,0.51,0.51,3224100
2011-09-02,0.54,0.54,0.49,0.49,0.49,242400
2011-09-05,0.48,0.49,0.47,0.48,0.48,636000
2011-09-06,0.43,0.5,0.43,0.49,0.49,165500
2011-09-07,0.47,0.58,0.47,0.55,0.55,288900
2011-09-08,0.55,0.59,0.55,0.59,0.59,1261300
2011-09-09,0.58,0.58,0.56,0.56,0.56,140000
2011-09-12,0.52,0.52,0.48,0.49,0.49,484300
2011-09-13,0.51,0.51,0.43,0.43,0.43,334500
2011-09-14,0.43,0.43,0.35,0.38,0.38,872500
2011-09-15,0.38,0.41,0.36,0.38,0.38,476800
2011-09-16,0.38,0.42,0.38,0.4,0.4,3572200
2011-09-19,0.39,0.43,0.37,0.42,0.42,288600
2011-09-20,0.42,0.6,0.4,0.4,0.4,987700
2011-09-21,0.43,0.45,0.4,0.4,0.4,401000
2011-09-22,0.38,0.38,0.29,0.29,0.29,1686200
2011-09-23,0.23,0.23,0.16,0.2,0.2,3898200
2011-09-26,0.16,0.16,0.05,0.09,0.09,1686700
2011-09-27,0.11,0.19,0.1,0.14,0.14,2044000
2011-09-28,0.14,0.16,0.12,0.12,0.12,820800
2011-09-29,0.11,0.11,0.09,0.09,0.09,658800
2011-09-30,0.08,0.08,0.07,0.07,0.07,655000
2011-10-03,0.06,0.06,0.03,0.05,0.05,4365500
2011-10-04,0.02,0.04,0.02,0.04,0.04,10200
2011-10-05,0.06,0.06,0.03,0.03,0.03,1700
2011-10-06,0.03,0.06,0.03,0.03,0.03,235100
2011-10-07,0.04,0.05,0.04,0.05,0.05,2520500
2011-10-10,0.04,0.05,0.04,0.05,0.05,20100
2011-10-11,0.05,0.06,0.05,0.06,0.06,120800
2011-10-12,0.05,0.05,0.04,0.04,0.04,110000
2011-10-13,0.04,0.06,0.04,0.05,0.05,307200
2011-10-14,0.04,0.06,0.04,0.06,0.06,162500
2011-10-17,0.05,0.05,0.03,0.05,0.05,910200
2011-10-18,0.04,0.04,0.02,0.03,0.03,436800
2011-10-19,0.03,0.03,0.02,0.03,0.03,957100
2011-10-20,0.02,0.03,0.01,0.02,0.02,453100
2011-10-21,0.02,0.02,0.01,0.02,0.02,684200
2011-10-25,0.02,0.02,0.01,0.01,0.01,2000200
2011-10-26,0.01,0.02,0.01,0.02,0.02,191700
2011-10-27,0.02,0.02,0.01,0.02,0.02,232300
2011-10-28,0.02,0.03,0.01,0.01,0.01,2534500
2011-10-31,0.01,0.02,0.01,0.02,0.02,40600
2011-11-01,0.01,0.02,0.01,0.02,0.02,14000
2011-11-02,0.02,0.02,0.01,0.02,0.02,1870600
2011-11-03,0.02,0.02,0.02,0.02,0.02,500
2011-11-04,0.02,0.02,0.01,0.01,0.01,105500
2011-11-07,0.02,0.02,0.01,0.01,0.01,301000
2011-11-08,0.01,0.01,0.01,0.01,0.01,658100
2011-11-09,0.01,0.02,0.01,0.01,0.01,321600
2011-11-10,0.02,0.02,0.01,0.01,0.01,793700
2011-11-11,0.01,0.02,0.01,0.01,0.01,797400
2011-11-14,0.01,0.01,0.01,0.01,0.01,1041700
2011-11-15,0.01,0.01,0.01,0.01,0.01,165300
2011-11-16,0.01,0.01,0.01,0.01,0.01,25000
2011-11-17,0.01,0.01,0.01,0.01,0.01,118100
2011-11-18,0.01,0.01,0.01,0.01,0.01,10766200
2011-11-21,0.01,0.01,0.01,0.01,0.01,593800
2011-11-22,0.01,0.01,0.01,0.01,0.01,830400
2011-11-23,0.01,0.01,0.01,0.01,0.01,10000
2011-11-25,0.01,0.01,0.01,0.01,0.01,5364000
