Date,Open,High,Low,Close,Adj Close,Volume
2013-12-17,0.55,0.55,0.54,0.54,0.54,130000
2013-12-18,0.58,0.58,0.55,0.55,0.55,54000
2013-12-20,0.57,0.57,0.55,0.56,0.56,13100
2013-12-23,0.52,0.52,0.52,0.52,0.52,7100
2013-12-24,0.52,0.52,0.51,0.51,0.51,210000
2013-12-25,0.52,0.52,0.5,0.5,0.5,400000
2013-12-26,0.47,0.47,0.47,0.47,0.47,400000
2014-01-02,0.34,0.34,0.31,0.31,0.31,40000
2014-01-03,0.26,0.3,0.26,0.29,0.29,580300
2014-01-06,0.28,0.32,0.28,0.32,0.32,100100
2014-01-07,0.33,0.33,0.33,0.33,0.33,200400
2014-01-08,0.29,0.3,0.29,0.3,0.3,100100
2014-01-09,0.29,0.31,0.29,0.3,0.3,510500
2014-01-10,0.28,0.29,0.28,0.29,0.29,200200
2014-01-13,0.3,0.33,0.3,0.33,0.33,189400
2014-01-14,0.36,0.36,0.35,0.36,0.36,229800
2014-01-15,0.38,0.38,0.35,0.35,0.35,444200
2014-01-16,0.36,0.38,0.36,0.38,0.38,656600
2014-01-17,0.37,0.38,0.35,0.35,0.35,1495000
2014-01-20,0.34,0.34,0.34,0.34,0.34,605400
2014-01-21,0.35,0.35,0.35,0.35,0.35,863000
2014-01-22,0.32,0.33,0.32,0.33,0.33,691200
2014-01-23,0.31,0.31,0.31,0.31,0.31,493600
2014-01-24,0.33,0.33,0.33,0.33,0.33,50000
2014-01-27,0.29,0.29,0.27,0.27,0.27,282000
2014-01-28,0.27,0.28,0.26,0.26,0.26,290100
2014-01-29,0.24,0.25,0.24,0.25,0.25,100100
2014-01-30,0.24,0.26,0.24,0.26,0.26,322300
2014-01-31,0.28,0.29,0.28,0.29,0.29,247300
2014-02-03,0.3,0.31,0.3,0.31,0.31,798100
2014-02-04,0.3,0.31,0.29,0.31,0.31,355200
2014-02-05,0.31,0.31,0.29,0.3,0.3,148000
2014-02-06,0.29,0.3,0.29,0.3,0.3,86400
2014-02-07,0.31,0.31,0.29,0.29,0.29,49700
2014-02-10,0.29,0.3,0.29,0.3,0.3,68600
2014-02-11,0.33,0.33,0.32,0.32,0.32,100000
2014-02-12,0.35,0.35,0.35,0.35,0.35,500000
2014-02-13,0.35,0.41,0.34,0.41,0.41,995900
2014-02-17,0.42,0.42,0.42,0.42,0.42,106000
2014-02-18,0.44,0.44,0.39,0.4,0.4,506400
2014-02-19,0.37,0.38,0.36,0.36,0.36,1999800
2014-02-21,0.31,0.33,0.31,0.33,0.33,1009000
2014-02-24,0.31,0.32,0.3,0.32,0.32,1167800
2014-02-25,0.33,0.34,0.31,0.33,0.33,34300
2014-02-26,0.33,0.33,0.32,0.33,0.33,1500
2014-02-27,0.35,0.35,0.35,0.35,0.35,19300
2014-02-28,0.37,0.37,0.37,0.37,0.37,207300
2014-03-03,0.39,0.41,0.39,0.41,0.41,1600000
2014-03-04,0.41,0.41,0.38,0.4,0.4,580000
2014-03-05,0.46,0.46,0.46,0.46,0.46,2079800
2014-03-06,0.45,0.46,0.45,0.46,0.46,1184200
2014-03-07,0.43,0.44,0.43,0.44,0.44,60000
2014-03-10,0.42,0.42,0.41,0.41,0.41,290000
2014-03-11,0.42,0.42,0.41,0.41,0.41,200000
2014-03-12,0.41,0.41,0.41,0.41,0.41,180000
2014-03-13,0.38,0.43,0.38,0.41,0.41,2100300
2014-03-14,0.42,0.44,0.41,0.43,0.43,300000
2014-03-17,0.43,0.47,0.43,0.47,0.47,2060000
2014-03-18,0.52,0.54,0.5,0.53,0.53,2179800
2014-03-19,0.56,0.56,0.48,0.49,0.49,1946000
2014-03-20,0.43,0.43,0.41,0.41,0.41,900800
2014-03-21,0.42,0.44,0.42,0.43,0.43,792500
2014-03-24,0.38,0.4,0.38,0.4,0.4,464600
2014-03-25,0.38,0.41,0.38,0.41,0.41,1782800
2014-03-26,0.38,0.4,0.38,0.4,0.4,100000
2014-03-27,0.38,0.39,0.36,0.37,0.37,1172000
2014-03-28,0.36,0.41,0.36,0.4,0.4,1760800
2014-03-31,0.4,0.4,0.4,0.4,0.4,1619800
2014-04-01,0.41,0.41,0.38,0.39,0.39,911200
2014-04-02,0.4,0.4,0.37,0.37,0.37,1726000
2014-04-03,0.41,0.56,0.41,0.53,0.53,4776300
2014-04-04,0.6,0.6,0.46,0.46,0.46,180000
2014-04-08,0.46,0.46,0.46,0.46,0.46,10000
2014-04-09,0.43,0.43,0.42,0.42,0.42,10000
2014-04-10,0.44,0.44,0.39,0.39,0.39,12000
2014-04-11,0.4,0.45,0.4,0.44,0.44,16000
2014-04-17,0.45,0.48,0.45,0.45,0.45,6100
2014-04-24,0.39,0.39,0.39,0.39,0.39,300
2014-05-02,0.41,0.48,0.41,0.48,0.48,7100
2014-05-06,0.43,0.43,0.43,0.43,0.43,4000
