Date,Open,High,Low,Close,Adj Close,Volume
2017-07-13,0.45,0.46,0.45,0.46,0.46,1278000
2017-07-14,0.47,0.47,0.45,0.45,0.45,550000
2017-07-17,0.48,0.5,0.48,0.48,0.48,1219300
2017-07-18,0.46,0.48,0.46,0.48,0.48,709800
2017-07-19,0.48,0.48,0.47,0.47,0.47,742200
2017-07-20,0.46,0.49,0.46,0.49,0.49,709800
2017-07-21,0.48,0.49,0.48,0.49,0.49,286400
2017-07-24,0.5,0.52,0.49,0.5,0.5,1558200
2017-07-25,0.51,0.51,0.5,0.5,0.5,352100
2017-07-26,0.52,0.52,0.48,0.48,0.48,524300
2017-07-27,0.49,0.49,0.49,0.49,0.49,251500
2017-07-31,0.47,0.47,0.47,0.47,0.47,101400
2017-08-02,0.47,0.48,0.47,0.48,0.48,1047000
2017-08-03,0.46,0.48,0.46,0.47,0.47,943500
2017-08-04,0.47,0.47,0.47,0.47,0.47,804200
2017-08-07,0.46,0.46,0.46,0.46,0.46,80000
2017-08-08,0.46,0.46,0.46,0.46,0.46,202800
2017-08-09,0.46,0.46,0.46,0.46,0.46,101400
2017-08-10,0.45,0.49,0.45,0.48,0.48,1216800
2017-08-11,0.46,0.46,0.43,0.43,0.43,831200
2017-08-15,0.46,0.47,0.46,0.46,0.46,648400
2017-08-16,0.46,0.46,0.46,0.46,0.46,101400
2017-08-17,0.45,0.45,0.45,0.45,0.45,517000
2017-08-18,0.46,0.46,0.44,0.44,0.44,598800
2017-08-21,0.45,0.45,0.44,0.44,0.44,405600
2017-08-23,0.45,0.45,0.44,0.44,0.44,304200
2017-08-24,0.44,0.46,0.44,0.46,0.46,709800
2017-08-28,0.46,0.46,0.46,0.46,0.46,615600
2017-08-29,0.47,0.5,0.47,0.49,0.49,507000
2017-08-31,0.47,0.49,0.47,0.47,0.47,405600
2017-09-01,0.47,0.47,0.47,0.47,0.47,101400
2017-09-04,0.47,0.47,0.45,0.45,0.45,322800
2017-09-05,0.45,0.48,0.45,0.47,0.47,1032600
2017-09-06,0.5,0.5,0.46,0.47,0.47,125000
2017-09-07,0.47,0.48,0.47,0.48,0.48,1622400
2017-09-08,0.49,0.49,0.48,0.49,0.49,461400
2017-09-11,0.47,0.47,0.47,0.47,0.47,405600
2017-09-12,0.47,0.47,0.47,0.47,0.47,202800
2017-09-13,0.49,0.54,0.49,0.51,0.51,2302400
2017-09-14,0.54,0.58,0.52,0.58,0.58,1498400
2017-09-15,0.57,0.62,0.57,0.6,0.6,2794400
2017-09-18,0.61,0.62,0.58,0.61,0.61,1014000
2017-09-19,0.59,0.62,0.58,0.62,0.62,454900
2017-09-20,0.6,0.6,0.58,0.59,0.59,860500
2017-09-21,0.59,0.62,0.59,0.62,0.62,1083300
2017-09-22,0.6,0.6,0.59,0.59,0.59,405600
2017-09-25,0.57,0.57,0.56,0.56,0.56,1184300
2017-09-26,0.57,0.57,0.54,0.54,0.54,1163000
2017-09-27,0.54,0.55,0.52,0.52,0.52,255800
2017-09-28,0.54,0.54,0.5,0.5,0.5,592600
2017-09-29,0.51,0.51,0.51,0.51,0.51,1232300
2017-10-02,0.52,0.55,0.52,0.55,0.55,2586800
2017-10-03,0.54,0.54,0.54,0.54,0.54,241400
2017-10-04,0.56,0.56,0.52,0.52,0.52,587000
2017-10-05,0.52,0.53,0.52,0.53,0.53,1105200
2017-10-06,0.52,0.58,0.52,0.56,0.56,5284000
2017-10-09,0.56,0.58,0.56,0.57,0.57,647500
2017-10-10,0.58,0.59,0.55,0.59,0.59,1196700
2017-10-11,0.61,0.61,0.59,0.59,0.59,3630300
2017-10-12,0.6,0.61,0.6,0.6,0.6,863800
2017-10-16,0.62,0.62,0.6,0.6,0.6,487100
2017-10-17,0.59,0.59,0.59,0.59,0.59,268800
2017-10-18,0.57,0.58,0.54,0.55,0.55,605700
2017-10-19,0.53,0.59,0.52,0.55,0.55,2115300
2017-10-20,0.57,0.59,0.57,0.59,0.59,406600
2017-10-24,0.58,0.67,0.58,0.66,0.66,4217200
2017-10-25,0.71,0.71,0.7,0.7,0.7,1266300
2017-10-27,0.7,0.7,0.66,0.66,0.66,805800
2017-10-30,0.66,0.66,0.64,0.64,0.64,1446800
2017-10-31,0.66,0.69,0.66,0.69,0.69,504200
2017-11-01,0.69,0.79,0.69,0.79,0.79,1191900
2017-11-02,0.82,0.89,0.82,0.82,0.82,1023000
