Date,Open,High,Low,Close,Adj Close,Volume
2018-07-18,19.33,19.33,19.33,19.33,19.33,100
2018-07-24,19.83,19.83,19.83,19.83,19.83,100
2018-07-25,19.52,19.52,19.52,19.52,19.52,600
2018-07-26,19.72,19.72,19.72,19.72,19.72,200
2018-08-01,19.72,19.72,19.72,19.72,19.72,100
2018-08-14,20.36,20.36,20.36,20.36,20.36,200
2018-08-15,20.37,20.37,20.37,20.37,20.37,100
2018-08-16,21.25,21.25,21.25,21.25,21.25,200
2018-08-17,21.19,21.19,21.19,21.19,21.19,100
2018-08-21,21.13,21.13,21.13,21.13,21.13,200
2018-08-22,21.18,21.18,21.18,21.18,21.18,100
2018-08-24,21.11,21.11,21.11,21.11,21.11,100
2018-08-27,21.1,21.1,21.1,21.1,21.1,100
2018-08-28,20.93,20.93,20.93,20.93,20.93,600
2018-08-30,20.89,20.89,20.89,20.89,20.89,500
2018-08-31,20.78,20.78,20.78,20.78,20.78,200
2018-09-03,20.88,20.88,20.88,20.88,20.88,100
2018-09-04,20.78,20.78,20.78,20.78,20.78,400
2018-09-05,20.67,20.67,20.67,20.67,20.67,500
2018-09-06,20.74,20.74,20.74,20.74,20.74,100
2018-09-11,20.56,20.56,20.56,20.56,20.56,400
2018-09-13,20.89,20.89,20.89,20.89,20.89,150
2018-09-25,20.99,20.99,20.99,20.99,20.99,200
2018-09-26,20.69,20.69,20.69,20.69,20.69,400
2018-11-21,18.27,18.27,18.27,18.27,18.27,1
2018-12-18,17.43,17.43,17.43,17.43,17.43,400
2018-12-28,16.32,16.32,16.32,16.32,16.32,100
