Date,Open,High,Low,Close,Adj Close,Volume
2018-07-20,0.42,0.45,0.42,0.44,0.44,2525400
2018-07-23,0.45,0.48,0.45,0.47,0.47,6099300
2018-07-24,0.47,0.5,0.47,0.47,0.47,4970500
2018-07-25,0.48,0.51,0.48,0.49,0.49,3779000
2018-07-26,0.49,0.49,0.44,0.45,0.45,5950000
2018-07-31,0.44,0.44,0.38,0.39,0.39,8047500
2018-08-01,0.41,0.42,0.4,0.41,0.41,9085200
2018-08-02,0.41,0.41,0.38,0.4,0.4,4673500
2018-08-03,0.39,0.4,0.39,0.4,0.4,1396700
2018-08-06,0.39,0.4,0.36,0.36,0.36,4853300
2018-08-07,0.35,0.38,0.35,0.38,0.38,3412600
2018-08-08,0.37,0.37,0.34,0.37,0.37,2838900
2018-08-09,0.36,0.36,0.36,0.36,0.36,634000
2018-08-10,0.35,0.36,0.35,0.35,0.35,691600
2018-08-14,0.34,0.35,0.34,0.35,0.35,1640900
2018-08-15,0.36,0.38,0.36,0.37,0.37,3650800
2018-08-16,0.36,0.37,0.36,0.36,0.36,1597200
2018-08-17,0.36,0.38,0.36,0.38,0.38,1589800
2018-08-20,0.38,0.39,0.37,0.37,0.37,1243500
2018-08-21,0.37,0.37,0.34,0.34,0.34,581400
2018-08-22,0.35,0.36,0.34,0.34,0.34,1221100
2018-08-23,0.35,0.36,0.35,0.35,0.35,2432500
2018-08-24,0.34,0.35,0.33,0.35,0.35,1266000
2018-08-27,0.34,0.36,0.34,0.35,0.35,442900
2018-08-28,0.35,0.36,0.35,0.36,0.36,4973100
2018-08-29,0.35,0.38,0.35,0.38,0.38,2723000
2018-08-30,0.37,0.38,0.36,0.36,0.36,1536000
2018-08-31,0.35,0.35,0.34,0.34,0.34,62200
2018-09-03,0.34,0.35,0.34,0.34,0.34,812100
2018-09-04,0.36,0.4,0.36,0.4,0.4,6036700
2018-09-05,0.39,0.39,0.36,0.38,0.38,2562800
2018-09-06,0.38,0.4,0.36,0.4,0.4,2644100
2018-09-07,0.39,0.4,0.39,0.4,0.4,2361200
2018-09-10,0.4,0.4,0.38,0.38,0.38,860700
2018-09-11,0.36,0.37,0.34,0.34,0.34,1950700
2018-09-12,0.34,0.34,0.32,0.34,0.34,2274900
2018-09-13,0.35,0.36,0.34,0.35,0.35,1182800
2018-09-14,0.35,0.36,0.33,0.33,0.33,2714200
2018-09-17,0.34,0.34,0.34,0.34,0.34,299900
2018-09-18,0.33,0.36,0.33,0.36,0.36,713000
2018-09-19,0.37,0.38,0.36,0.38,0.38,3135600
2018-09-20,0.4,0.4,0.37,0.38,0.38,1911500
2018-09-21,0.39,0.4,0.39,0.39,0.39,9462000
2018-09-24,0.4,0.4,0.37,0.37,0.37,3068500
2018-09-25,0.38,0.42,0.38,0.39,0.39,3448700
2018-09-26,0.4,0.4,0.38,0.38,0.38,1667400
2018-09-27,0.39,0.42,0.38,0.42,0.42,7505600
2018-09-28,0.42,0.49,0.42,0.48,0.48,7842700
2018-10-01,0.47,0.52,0.47,0.52,0.52,3405300
2018-10-02,0.51,0.51,0.48,0.48,0.48,1325700
2018-10-03,0.49,0.51,0.47,0.48,0.48,2343500
2018-10-04,0.45,0.45,0.41,0.41,0.41,3221500
2018-10-05,0.4,0.4,0.37,0.37,0.37,3207400
2018-10-08,0.37,0.39,0.35,0.36,0.36,1276600
2018-10-09,0.37,0.39,0.36,0.36,0.36,1438600
2018-10-10,0.35,0.37,0.34,0.35,0.35,5865000
