Date,Open,High,Low,Close,Adj Close,Volume
2013-10-30,22.3,22.3,22.3,22.3,22.3,3
2013-11-04,22.1,22.1,22.1,22.1,22.1,5
2013-11-05,22.7,22.7,22.7,22.7,22.7,2
2013-11-06,23.1,23.7,23.1,23.7,23.7,6
2013-11-08,23.3,23.3,23.2,23.2,23.2,4
2013-11-21,21.5,21.5,21,21,21,45
2013-11-22,20.3,20.3,20,20,20,40
2013-11-27,20.9,20.9,20.9,20.9,20.9,155
2013-11-28,20.7,20.7,20.7,20.7,20.7,155
2013-11-29,20.3,20.3,20.3,20.3,20.3,1
2013-12-02,20.9,20.9,20.6,20.6,20.6,307
2013-12-03,20.9,21.3,20.9,21.3,21.3,30
2013-12-06,20.6,20.6,20.6,20.6,20.6,1
