Date,Open,High,Low,Close,Adj Close,Volume
2018-11-22,0.62,0.62,0.59,0.59,0.59,2022000
2018-11-23,0.6,0.61,0.57,0.61,0.61,8433800
2018-11-26,0.62,0.72,0.62,0.7,0.7,17756200
2018-11-27,0.72,0.72,0.71,0.72,0.72,4201200
2018-11-28,0.73,0.76,0.72,0.73,0.73,10328300
2018-11-29,0.76,0.78,0.76,0.77,0.77,6717600
2018-11-30,0.78,0.81,0.77,0.81,0.81,8002900
2018-12-03,0.88,0.9,0.87,0.87,0.87,11121200
2018-12-04,0.87,0.89,0.87,0.89,0.89,6038800
2018-12-06,0.85,0.98,0.85,0.98,0.98,17430500
2018-12-07,1,1,0.91,0.91,0.91,8681100
2018-12-11,0.89,0.91,0.84,0.84,0.84,4058800
2018-12-12,0.84,0.84,0.81,0.82,0.82,1440700
2018-12-13,0.84,0.86,0.81,0.83,0.83,3170000
2018-12-14,0.81,0.81,0.64,0.65,0.65,7371500
2018-12-17,0.65,0.67,0.6,0.65,0.65,9632600
2018-12-18,0.63,0.65,0.62,0.65,0.65,4000800
2018-12-19,0.64,0.79,0.64,0.78,0.78,27271300
2018-12-20,0.76,0.76,0.71,0.71,0.71,2048400
2018-12-21,0.74,0.79,0.72,0.73,0.73,7887100
2018-12-24,0.72,0.73,0.7,0.7,0.7,2195900
2018-12-25,0.66,0.67,0.63,0.63,0.63,2501200
2018-12-26,0.63,0.64,0.6,0.62,0.62,3632900
2018-12-27,0.67,0.67,0.61,0.61,0.61,1973500
2018-12-28,0.6,0.63,0.51,0.6,0.6,3406600
2019-01-02,0.59,0.63,0.59,0.61,0.61,4980000
2019-01-03,0.64,0.72,0.64,0.71,0.71,7354000
2019-01-04,0.7,0.77,0.7,0.76,0.76,10327800
2019-01-07,0.82,0.83,0.79,0.82,0.82,4499100
2019-01-08,0.78,0.79,0.77,0.78,0.78,1744800
2019-01-09,0.78,0.78,0.78,0.78,0.78,996300
2019-01-10,0.76,0.76,0.76,0.76,0.76,8974200
