Date,Open,High,Low,Close,Adj Close,Volume
2018-09-10,0.24,0.24,0.24,0.24,0.24,3600
2018-09-11,0.23,0.27,0.23,0.24,0.24,6561000
2018-09-12,0.24,0.24,0.2,0.2,0.2,4726600
2018-09-13,0.23,0.25,0.22,0.25,0.25,3884400
2018-09-14,0.25,0.25,0.24,0.24,0.24,1657300
2018-09-17,0.23,0.25,0.23,0.23,0.23,5027000
2018-09-18,0.24,0.26,0.24,0.25,0.25,2306900
2018-09-19,0.27,0.37,0.27,0.37,0.37,10087500
2018-09-20,0.4,0.4,0.35,0.37,0.37,8731300
2018-09-21,0.37,0.38,0.35,0.36,0.36,4461000
2018-09-24,0.35,0.35,0.34,0.34,0.34,2801600
2018-09-25,0.34,0.35,0.32,0.33,0.33,6034600
2018-09-26,0.32,0.36,0.32,0.34,0.34,4146300
2018-09-27,0.35,0.35,0.31,0.32,0.32,3666700
2018-09-28,0.34,0.4,0.34,0.4,0.4,8570400
2018-10-01,0.42,0.43,0.4,0.42,0.42,14655100
2018-10-02,0.41,0.41,0.38,0.38,0.38,3311400
2018-10-03,0.38,0.38,0.27,0.27,0.27,7163600
2018-10-04,0.26,0.26,0.22,0.22,0.22,1737100
2018-10-05,0.22,0.24,0.22,0.22,0.22,2639700
2018-10-08,0.21,0.22,0.18,0.18,0.18,2349600
2018-10-09,0.18,0.19,0.17,0.17,0.17,2921600
2018-10-10,0.19,0.21,0.19,0.2,0.2,3132900
2018-10-11,0.15,0.17,0.15,0.17,0.17,2276400
2018-10-12,0.17,0.18,0.17,0.17,0.17,2543500
2018-10-16,0.17,0.17,0.17,0.17,0.17,561400
2018-10-17,0.19,0.19,0.18,0.18,0.18,987400
2018-10-18,0.17,0.17,0.17,0.17,0.17,899200
2018-10-19,0.15,0.15,0.14,0.14,0.14,1671600
2018-10-22,0.13,0.13,0.11,0.11,0.11,860400
2018-10-24,0.1,0.1,0.09,0.09,0.09,660500
2018-10-26,0.09,0.09,0.09,0.09,0.09,505000
2018-10-30,0.1,0.1,0.09,0.09,0.09,1016800
2018-10-31,0.1,0.1,0.1,0.1,0.1,389600
2018-11-01,0.1,0.1,0.1,0.1,0.1,119200
2018-11-02,0.12,0.12,0.12,0.12,0.12,220600
2018-11-06,0.11,0.11,0.08,0.08,0.08,858000
2018-11-07,0.08,0.08,0.07,0.07,0.07,73200
2018-11-08,0.05,0.05,0.04,0.04,0.04,204000
2018-11-12,0.04,0.04,0.03,0.03,0.03,158000
2018-11-14,0.03,0.03,0.03,0.03,0.03,40000
2018-11-20,0.03,0.03,0.03,0.03,0.03,100000
2018-11-21,0.03,0.03,0.03,0.03,0.03,1000
2018-11-23,0.02,0.02,0.02,0.02,0.02,100
2018-11-26,0.03,0.04,0.03,0.04,0.04,130000
2018-12-03,0.04,0.04,0.04,0.04,0.04,80000
2018-12-11,0.04,0.04,0.04,0.04,0.04,250000
2018-12-14,0.03,0.03,0.03,0.03,0.03,250000
2018-12-19,0.03,0.03,0.03,0.03,0.03,500000
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
