Date,Open,High,Low,Close,Adj Close,Volume
2018-03-29,17.05,17.05,17.05,17.05,17.05,2
2018-04-25,18.5,18.5,17.61,17.61,17.61,6
2018-04-26,18.24,18.24,18.24,18.24,18.24,3
2018-05-10,18.43,18.43,18.43,18.43,18.43,1
2018-05-21,19.9,19.9,19.9,19.9,19.9,200
2018-05-22,19.59,19.59,19.59,19.59,19.59,100
2018-05-23,19.09,19.09,19.09,19.09,19.09,100
2018-06-01,18.24,18.24,18.24,18.24,18.24,200
2018-06-05,17.95,17.95,17.95,17.95,17.95,100
2018-06-07,17.9,17.9,17.9,17.9,17.9,1
2018-06-11,17.17,17.17,15.86,15.86,15.86,3
2018-06-13,17.73,17.73,17.73,17.73,17.73,200
2018-06-18,17.29,17.29,17.29,17.29,17.29,100
2018-06-21,16.67,16.67,16.67,16.67,16.67,200
2018-06-26,15.78,15.78,15.78,15.78,15.78,200
2018-06-27,16,16,16,16,16,150
2018-07-02,14.1,14.1,14.1,14.1,14.1,100
2018-07-03,15.12,15.12,15.12,15.12,15.12,650
2018-07-05,14.2,14.2,14.2,14.2,14.2,200
2018-07-06,14.05,14.05,14.05,14.05,14.05,100
2018-07-10,14.81,14.81,14.81,14.81,14.81,200
2018-07-12,15.7,15.7,15.7,15.7,15.7,100
2018-07-18,14.6,14.6,14.6,14.6,14.6,101
2018-07-19,15.23,15.23,15.23,15.23,15.23,400
2018-07-23,15.5,15.5,15.5,15.5,15.5,152
2018-07-31,15.1,15.1,15.1,15.1,15.1,200
2018-08-01,15.54,15.54,15.54,15.54,15.54,350
2018-08-02,15.3,15.3,15.3,15.3,15.3,100
2018-08-03,15.4,15.4,15.4,15.4,15.4,100
2018-08-06,14.59,14.59,14.59,14.59,14.59,900
2018-08-08,14.38,14.38,14.38,14.38,14.38,100
2018-08-10,14.2,14.2,14.2,14.2,14.2,300
2018-08-16,12.8,12.8,12.8,12.8,12.8,100
2018-08-17,13.09,13.09,13.09,13.09,13.09,510
2018-08-20,12.8,12.8,12.8,12.8,12.8,115
2018-08-21,12.18,12.18,12.18,12.18,12.18,1809
2018-08-22,11.77,11.77,11.77,11.77,11.77,3745
2018-08-23,11.38,11.4,10.85,10.85,10.85,2942
2018-08-24,10.94,11.42,10.07,11.42,11.42,1484
