Date,Open,High,Low,Close,Adj Close,Volume
2001-12-06,38,38.25,35.5,35.75,35.75,174919392
2001-12-07,36,36.25,35.5,35.5,35.5,41253300
2001-12-11,35.5,35.5,34,34,34,40915800
2001-12-12,34.25,35.25,34,35,35,30729100
2001-12-13,35,35.25,35,35,35,37596100
2001-12-14,35,35.25,34.5,34.5,34.5,27218000
2001-12-17,34.5,34.75,34.5,34.5,34.5,7189000
2001-12-18,34.5,34.75,34.5,34.5,34.5,6238300
2001-12-19,34.5,34.75,34.25,34.25,34.25,7877400
2001-12-20,34.25,34.75,34.25,34.5,34.5,15451200
2001-12-21,34.5,34.75,34.25,34.25,34.25,8558600
2001-12-24,34.25,34.5,34.25,34.25,34.25,5293000
2001-12-25,34.25,34.5,34.25,34.25,34.25,4459800
2001-12-26,34.25,34.75,34.25,34.25,34.25,8217400
2001-12-27,34.5,34.75,34.25,34.25,34.25,6248164
2001-12-28,34.5,34.75,34.25,34.5,34.5,4918601
2002-01-02,34.5,34.5,34.25,34.25,34.25,2889500
2002-01-03,34.5,35.25,34.25,35,35,18505800
2002-01-04,35.25,35.25,35,35,35,21149200
2002-01-07,35,35.25,34.75,34.75,34.75,9619800
2002-01-08,34.75,35.25,34.75,35,35,14786600
2002-01-09,35,35.5,34.75,34.75,34.75,8968900
2002-01-10,34.75,35,34.75,35,35,4502400
2002-01-11,34.75,35,34.75,35,35,1615500
2002-01-14,34.75,35,34.75,34.75,34.75,2125300
2002-01-15,34.75,34.75,34.5,34.5,34.5,3013600
2002-01-16,34.5,35,34.5,35,35,5377100
2002-01-17,35,35,34.5,34.75,34.75,1984800
2002-01-18,34.75,34.75,34.5,34.5,34.5,1960400
2002-01-21,34.5,34.75,34.5,34.5,34.5,2063101
2002-01-22,34.5,34.75,34.5,34.5,34.5,3686300
2002-01-23,34.75,34.75,34.5,34.5,34.5,3263700
2002-01-24,34.5,34.75,34.5,34.5,34.5,2721300
2002-01-25,34.75,34.75,34.25,34.25,34.25,10357800
2002-01-28,34.5,34.75,34.25,34.25,34.25,6371100
