Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,0.42,0.42,0.39,0.4,0.4,3075500
2017-11-16,0.4,0.41,0.39,0.39,0.39,5395100
2017-11-17,0.4,0.43,0.39,0.42,0.42,6657900
2017-11-20,0.42,0.42,0.41,0.41,0.41,918100
2017-11-21,0.41,0.42,0.39,0.4,0.4,4257800
2017-11-22,0.42,0.42,0.41,0.41,0.41,4102000
2017-11-23,0.41,0.42,0.4,0.4,0.4,8783300
2017-11-24,0.39,0.4,0.39,0.39,0.39,7284100
2017-11-27,0.38,0.4,0.38,0.4,0.4,3858300
2017-11-28,0.4,0.4,0.39,0.4,0.4,10229200
2017-11-29,0.4,0.4,0.39,0.39,0.39,2312200
2017-11-30,0.38,0.39,0.38,0.38,0.38,4624200
2017-12-01,0.39,0.43,0.38,0.41,0.41,36795100
2017-12-04,0.43,0.43,0.41,0.42,0.42,14831200
2017-12-06,0.42,0.43,0.41,0.42,0.42,13948000
2017-12-07,0.41,0.41,0.4,0.41,0.41,4291800
2017-12-08,0.41,0.42,0.4,0.42,0.42,6498300
2017-12-12,0.44,0.45,0.43,0.45,0.45,8643000
2017-12-13,0.44,0.46,0.44,0.44,0.44,14471300
2017-12-14,0.44,0.45,0.44,0.44,0.44,2980700
2017-12-15,0.45,0.46,0.43,0.45,0.45,5348100
2017-12-18,0.45,0.48,0.45,0.48,0.48,4389000
2017-12-19,0.48,0.49,0.48,0.48,0.48,1456100
2017-12-20,0.49,0.5,0.49,0.49,0.49,9253800
2017-12-21,0.5,0.5,0.49,0.49,0.49,3638900
2017-12-22,0.48,0.52,0.48,0.52,0.52,11018500
2017-12-25,0.52,0.55,0.52,0.53,0.53,13147100
2017-12-26,0.53,0.53,0.48,0.49,0.49,9709700
2017-12-27,0.51,0.52,0.49,0.49,0.49,25417200
2017-12-28,0.49,0.5,0.48,0.49,0.49,16293300
2017-12-29,0.49,0.49,0.47,0.48,0.48,10124200
2018-01-03,0.49,0.53,0.49,0.52,0.52,43252200
2018-01-04,0.55,0.63,0.53,0.63,0.63,38956400
2018-01-05,0.65,0.66,0.61,0.63,0.63,25765600
2018-01-08,0.64,0.64,0.62,0.62,0.62,18797000
2018-01-09,0.61,0.63,0.59,0.61,0.61,17246700
2018-01-10,0.63,0.68,0.63,0.64,0.64,43938600
2018-01-11,0.62,0.63,0.6,0.63,0.63,19971900
2018-01-12,0.65,0.67,0.62,0.64,0.64,26096700
2018-01-15,0.67,0.72,0.67,0.71,0.71,38171800
2018-01-16,0.73,0.76,0.7,0.7,0.7,23112000
2018-01-17,0.68,0.72,0.67,0.72,0.72,23796100
2018-01-18,0.75,0.75,0.7,0.7,0.7,34277500
2018-01-19,0.68,0.69,0.66,0.67,0.67,15115100
2018-01-22,0.68,0.7,0.67,0.69,0.69,15903400
2018-01-23,0.72,0.75,0.71,0.72,0.72,29497100
2018-01-24,0.72,0.74,0.72,0.74,0.74,15108300
2018-01-25,0.78,0.78,0.7,0.7,0.7,23749100
2018-01-26,0.7,0.73,0.7,0.72,0.72,16769900
2018-01-29,0.76,0.79,0.76,0.77,0.77,16457000
2018-01-30,0.77,0.77,0.73,0.74,0.74,30452300
2018-01-31,0.7,0.78,0.7,0.74,0.74,36954000
2018-02-01,0.76,0.78,0.75,0.78,0.78,22340700
2018-02-02,0.81,0.85,0.79,0.79,0.79,36042300
2018-02-05,0.75,0.8,0.75,0.77,0.77,25125400
2018-02-06,0.71,0.72,0.67,0.69,0.69,60452100
2018-02-07,0.72,0.72,0.69,0.69,0.69,16919500
2018-02-08,0.68,0.71,0.67,0.67,0.67,22641400
2018-02-09,0.64,0.67,0.63,0.67,0.67,29342000
2018-02-12,0.66,0.7,0.66,0.7,0.7,26132800
2018-02-13,0.72,0.73,0.69,0.69,0.69,10193200
2018-02-14,0.71,0.71,0.66,0.66,0.66,17077100
2018-02-15,0.68,0.69,0.66,0.69,0.69,22516200
2018-02-16,0.7,0.71,0.69,0.69,0.69,6324400
2018-02-19,0.71,0.72,0.7,0.7,0.7,24430500
2018-02-20,0.7,0.71,0.69,0.71,0.71,21345600
2018-02-21,0.82,0.92,0.82,0.9,0.9,72119500
2018-02-22,0.92,1.08,0.92,1.03,1.03,80056600
2018-02-23,1.07,1.08,0.98,1.01,1.01,47820200
2018-02-26,1.03,1.2,1.01,1.19,1.19,76661800
2018-02-27,1.22,1.34,1.21,1.24,1.24,92285800
2018-02-28,1.22,1.27,1.18,1.24,1.24,77695300
2018-03-02,1.15,1.18,1.11,1.11,1.11,39577900
2018-03-05,1.16,1.18,1.09,1.16,1.16,47380900
2018-03-06,1.21,1.23,1.18,1.18,1.18,36706300
2018-03-07,1.17,1.17,1.1,1.1,1.1,33672300
2018-03-08,1.13,1.13,1.05,1.05,1.05,48002200
2018-03-09,1.04,1.06,0.99,1.06,1.06,34887100
2018-03-12,1.12,1.22,1.11,1.22,1.22,42726800
2018-03-13,1.19,1.27,1.18,1.27,1.27,37101200
2018-03-14,1.25,1.27,1.2,1.24,1.24,37639400
2018-03-15,1.23,1.25,1.21,1.21,1.21,29458500
2018-03-16,1.19,1.21,1.15,1.18,1.18,37611500
2018-03-19,1.15,1.15,1.07,1.07,1.07,19073800
2018-03-20,1.07,1.15,1.07,1.11,1.11,30753700
2018-03-21,1.13,1.15,1.1,1.11,1.11,21257800
2018-03-22,1.15,1.19,1.11,1.11,1.11,42056700
2018-03-23,1.06,1.15,1.06,1.15,1.15,50388000
2018-03-26,1.18,1.23,1.17,1.23,1.23,42432500
2018-03-27,1.25,1.25,1.22,1.22,1.22,36767600
2018-03-28,1.21,1.3,1.21,1.22,1.22,28084600
2018-03-29,1.23,1.23,1.12,1.12,1.12,36169600
2018-03-30,1.16,1.2,1.13,1.18,1.18,40045700
2018-04-02,1.17,1.18,1.16,1.18,1.18,22863000
2018-04-03,1.13,1.15,1.12,1.12,1.12,21118200
2018-04-04,1.13,1.13,1.07,1.08,1.08,46832900
2018-04-05,1.08,1.1,1.07,1.08,1.08,30240300
2018-04-09,1.08,1.17,1.08,1.17,1.17,34200200
2018-04-10,1.2,1.2,1.15,1.16,1.16,17294400
2018-04-11,1.2,1.2,1.12,1.12,1.12,35337400
2018-04-12,1.16,1.17,1.13,1.15,1.15,15413300
2018-04-17,1.16,1.17,1.13,1.13,1.13,14220200
2018-04-18,1.15,1.15,1.13,1.15,1.15,3769900
2018-04-19,1.19,1.35,1.19,1.35,1.35,36066500
2018-04-20,1.4,1.43,1.35,1.43,1.43,24066800
2018-04-23,1.4,1.4,1.31,1.32,1.32,29644600
2018-04-24,1.34,1.46,1.33,1.35,1.35,17583600
2018-04-25,1.31,1.34,1.29,1.31,1.31,20744300
2018-04-26,1.32,1.33,1.28,1.28,1.28,8203200
