Date,Open,High,Low,Close,Adj Close,Volume
2018-06-21,0.63,0.68,0.63,0.68,0.68,201600
2018-06-22,0.63,0.66,0.63,0.63,0.63,193300
2018-06-25,0.59,0.64,0.59,0.63,0.63,23100
2018-06-26,0.66,0.66,0.64,0.64,0.64,130000
2018-06-27,0.6,0.65,0.6,0.65,0.65,12000
2018-06-28,0.63,0.63,0.62,0.62,0.62,2177300
2018-06-29,0.64,0.65,0.64,0.64,0.64,538400
2018-07-02,0.64,0.68,0.64,0.68,0.68,591200
2018-07-03,0.64,0.66,0.64,0.65,0.65,1166800
2018-07-04,0.66,0.68,0.65,0.65,0.65,847400
2018-07-05,0.65,0.71,0.65,0.7,0.7,1787000
2018-07-06,0.74,0.81,0.7,0.7,0.7,3729400
2018-07-09,0.67,0.68,0.67,0.68,0.68,2026200
2018-07-10,0.68,0.68,0.58,0.58,0.58,1599800
2018-07-11,0.6,0.6,0.58,0.59,0.59,2760200
2018-07-12,0.61,0.61,0.59,0.61,0.61,2909600
2018-07-13,0.61,0.62,0.61,0.62,0.62,1158400
2018-07-16,0.62,0.63,0.62,0.63,0.63,765600
2018-07-17,0.62,0.63,0.61,0.61,0.61,369000
2018-07-18,0.55,0.55,0.53,0.53,0.53,2035800
2018-07-19,0.53,0.54,0.53,0.53,0.53,2862400
2018-07-20,0.53,0.53,0.44,0.44,0.44,3262300
2018-07-23,0.45,0.47,0.45,0.46,0.46,534600
2018-07-24,0.44,0.48,0.44,0.48,0.48,528600
2018-07-25,0.49,0.49,0.45,0.45,0.45,1502700
2018-07-26,0.44,0.45,0.44,0.44,0.44,1959000
2018-07-31,0.43,0.46,0.43,0.43,0.43,2067700
2018-08-01,0.45,0.45,0.37,0.37,0.37,1463400
2018-08-02,0.4,0.42,0.39,0.42,0.42,1775400
2018-08-06,0.4,0.43,0.4,0.42,0.42,2392600
2018-08-07,0.41,0.42,0.38,0.38,0.38,4596500
2018-08-08,0.38,0.38,0.36,0.36,0.36,1886400
2018-08-09,0.37,0.38,0.37,0.38,0.38,1672500
2018-08-10,0.38,0.39,0.38,0.38,0.38,1132800
2018-08-14,0.42,0.42,0.39,0.39,0.39,1795700
2018-08-15,0.42,0.44,0.42,0.44,0.44,3535000
2018-08-16,0.45,0.48,0.44,0.44,0.44,4081700
2018-08-17,0.41,0.41,0.39,0.4,0.4,3741200
2018-08-20,0.38,0.38,0.37,0.37,0.37,2297800
2018-08-21,0.36,0.4,0.36,0.39,0.39,1721400
2018-08-22,0.39,0.4,0.37,0.38,0.38,3573900
2018-08-23,0.36,0.37,0.36,0.37,0.37,544800
2018-08-24,0.38,0.38,0.37,0.38,0.38,3026400
2018-08-27,0.37,0.37,0.37,0.37,0.37,2864300
2018-08-28,0.34,0.35,0.34,0.35,0.35,1118400
2018-08-29,0.36,0.36,0.36,0.36,0.36,1830400
2018-08-30,0.33,0.35,0.33,0.35,0.35,700500
2018-08-31,0.36,0.36,0.34,0.34,0.34,1032000
2018-09-03,0.34,0.34,0.33,0.34,0.34,952000
2018-09-04,0.34,0.35,0.32,0.33,0.33,1871100
2018-09-05,0.35,0.4,0.35,0.4,0.4,843100
2018-09-06,0.42,0.43,0.41,0.41,0.41,2240100
2018-09-07,0.42,0.44,0.42,0.43,0.43,1902000
2018-09-10,0.43,0.44,0.42,0.42,0.42,2045000
2018-09-11,0.42,0.47,0.42,0.46,0.46,2812800
2018-09-12,0.47,0.47,0.44,0.44,0.44,2976000
2018-09-13,0.42,0.42,0.35,0.35,0.35,2278100
2018-09-14,0.34,0.34,0.33,0.33,0.33,210000
2018-09-17,0.35,0.37,0.35,0.37,0.37,1636000
2018-09-18,0.36,0.36,0.33,0.33,0.33,1480000
2018-09-19,0.32,0.32,0.29,0.3,0.3,850000
2018-09-20,0.27,0.29,0.27,0.27,0.27,1597000
2018-09-21,0.25,0.28,0.25,0.26,0.26,3184000
2018-09-24,0.27,0.27,0.25,0.25,0.25,479000
2018-09-25,0.25,0.25,0.25,0.25,0.25,371400
2018-09-26,0.24,0.24,0.23,0.23,0.23,60000
2018-09-27,0.24,0.27,0.24,0.24,0.24,3141100
2018-09-28,0.24,0.24,0.24,0.24,0.24,5000
2018-10-02,0.22,0.22,0.21,0.22,0.22,1483100
2018-10-03,0.22,0.25,0.22,0.24,0.24,1759800
2018-10-04,0.25,0.27,0.25,0.27,0.27,2431800
2018-10-05,0.27,0.28,0.26,0.27,0.27,1350600
2018-10-08,0.27,0.29,0.27,0.27,0.27,2695400
2018-10-09,0.29,0.29,0.28,0.28,0.28,3776000
2018-10-10,0.24,0.24,0.22,0.22,0.22,735000
2018-10-11,0.28,0.29,0.27,0.28,0.28,2287600
2018-10-12,0.28,0.28,0.26,0.27,0.27,3220200
2018-10-16,0.27,0.28,0.27,0.28,0.28,954000
2018-10-17,0.27,0.27,0.27,0.27,0.27,491000
2018-10-18,0.29,0.29,0.27,0.28,0.28,1626600
2018-10-22,0.29,0.29,0.29,0.29,0.29,180000
2018-10-24,0.36,0.37,0.36,0.37,0.37,1329000
2018-10-25,0.4,0.4,0.32,0.32,0.32,3828400
2018-10-26,0.34,0.38,0.34,0.38,0.38,4391100
2018-10-29,0.36,0.36,0.35,0.36,0.36,767000
2018-10-30,0.35,0.35,0.32,0.32,0.32,1613800
2018-10-31,0.3,0.31,0.27,0.27,0.27,1583200
2018-11-01,0.27,0.31,0.26,0.3,0.3,6176700
2018-11-02,0.31,0.31,0.29,0.3,0.3,3043400
2018-11-05,0.32,0.32,0.31,0.31,0.31,1118300
2018-11-06,0.29,0.29,0.28,0.28,0.28,796300
2018-11-07,0.27,0.3,0.27,0.27,0.27,1160000
2018-11-08,0.24,0.24,0.23,0.23,0.23,871600
2018-11-09,0.26,0.27,0.26,0.26,0.26,1646600
2018-11-12,0.27,0.27,0.27,0.27,0.27,665100
2018-11-13,0.28,0.28,0.26,0.26,0.26,1579100
2018-11-14,0.3,0.32,0.29,0.32,0.32,2247900
2018-11-15,0.3,0.32,0.3,0.3,0.3,1369000
2018-11-16,0.3,0.31,0.3,0.3,0.3,1256600
2018-11-19,0.31,0.31,0.31,0.31,0.31,1586000
2018-11-20,0.31,0.32,0.31,0.31,0.31,512600
2018-11-21,0.33,0.34,0.31,0.31,0.31,1027800
2018-11-22,0.31,0.32,0.31,0.32,0.32,932800
2018-11-23,0.32,0.32,0.29,0.29,0.29,972100
2018-11-26,0.3,0.3,0.3,0.3,0.3,1061200
2018-11-27,0.3,0.3,0.29,0.29,0.29,380000
2018-11-28,0.27,0.27,0.26,0.26,0.26,710000
2018-11-29,0.24,0.25,0.24,0.25,0.25,528000
2018-11-30,0.24,0.25,0.22,0.22,0.22,1294000
2018-12-03,0.17,0.17,0.15,0.16,0.16,1111200
2018-12-04,0.16,0.17,0.16,0.16,0.16,2911500
2018-12-06,0.18,0.2,0.18,0.19,0.19,2117100
2018-12-07,0.19,0.23,0.19,0.22,0.22,2437200
2018-12-11,0.22,0.25,0.22,0.22,0.22,3991000
2018-12-12,0.22,0.24,0.22,0.24,0.24,2594800
2018-12-13,0.24,0.32,0.24,0.31,0.31,5900800
