Date,Open,High,Low,Close,Adj Close,Volume
2011-04-25,1.13,1.13,1.08,1.08,1.08,380200
2011-04-26,1.07,1.07,1.05,1.06,1.06,55100
2011-04-27,1.1,1.1,1.06,1.06,1.06,80400
2011-04-28,1.08,1.08,1.06,1.06,1.06,5500
2011-05-03,1.01,1.01,1.01,1.01,1.01,27000
2011-05-04,0.96,0.96,0.92,0.93,0.93,140400
2011-05-06,0.87,0.87,0.82,0.84,0.84,140000
2011-05-09,0.89,0.92,0.89,0.92,0.92,107600
2011-05-10,0.92,0.93,0.9,0.9,0.9,190000
2011-05-11,0.93,0.95,0.93,0.95,0.95,115100
2011-05-12,0.96,0.96,0.91,0.91,0.91,131000
2011-05-13,0.91,0.91,0.88,0.91,0.91,240000
2011-05-18,0.91,0.91,0.87,0.87,0.87,365100
2011-05-19,0.91,0.92,0.9,0.92,0.92,139900
2011-05-20,0.91,0.91,0.91,0.91,0.91,30000
2011-05-23,0.85,0.85,0.81,0.81,0.81,467800
2011-05-24,0.8,0.81,0.8,0.8,0.8,197000
2011-05-25,0.82,0.82,0.8,0.81,0.81,210100
2011-05-26,0.82,0.83,0.8,0.8,0.8,152500
2011-05-27,0.81,0.84,0.81,0.82,0.82,234000
2011-05-30,0.84,0.86,0.83,0.86,0.86,194000
2011-05-31,0.85,0.85,0.82,0.84,0.84,315000
2011-06-01,0.81,0.82,0.78,0.78,0.78,149000
2011-06-02,0.77,0.77,0.77,0.77,0.77,305000
2011-06-03,0.78,0.78,0.77,0.77,0.77,45200
2011-06-06,0.76,0.76,0.73,0.73,0.73,343700
2011-06-07,0.73,0.73,0.73,0.73,0.73,101100
2011-06-08,0.8,0.8,0.64,0.64,0.64,464200
2011-06-09,0.64,0.67,0.64,0.67,0.67,145000
2011-06-10,0.68,0.7,0.68,0.68,0.68,191800
2011-06-13,0.65,0.65,0.63,0.63,0.63,40100
2011-06-14,0.67,0.7,0.67,0.7,0.7,468000
2011-06-15,0.7,0.7,0.65,0.65,0.65,505100
2011-06-16,0.64,0.64,0.64,0.64,0.64,40000
2011-06-17,0.62,0.62,0.61,0.62,0.62,43000
2011-06-20,0.63,0.63,0.62,0.62,0.62,6500
2011-06-21,0.63,0.63,0.62,0.62,0.62,68500
2011-06-22,0.64,0.64,0.6,0.62,0.62,95400
2011-06-23,0.62,0.62,0.6,0.61,0.61,12000
2011-06-24,0.62,0.62,0.62,0.62,0.62,195000
2011-06-27,0.6,0.61,0.57,0.57,0.57,232300
2011-06-28,0.59,0.59,0.57,0.57,0.57,581800
2011-06-29,0.59,0.63,0.59,0.63,0.63,295500
2011-06-30,0.64,0.65,0.64,0.65,0.65,41000
2011-07-04,0.8,0.8,0.7,0.75,0.75,960000
2011-07-05,0.74,0.75,0.7,0.71,0.71,541900
2011-07-06,0.75,0.75,0.63,0.64,0.64,1747100
2011-07-07,0.66,0.66,0.62,0.64,0.64,369300
2011-07-08,0.64,0.64,0.59,0.61,0.61,1527500
2011-07-11,0.6,0.6,0.56,0.57,0.57,1759100
2011-07-12,0.53,0.59,0.53,0.57,0.57,1077100
2011-07-13,0.57,0.59,0.57,0.58,0.58,908000
2011-07-14,0.59,0.59,0.57,0.59,0.59,1364600
2011-07-18,0.6,0.62,0.6,0.61,0.61,735300
2011-07-19,0.61,0.63,0.61,0.62,0.62,1373400
2011-07-20,0.64,0.67,0.64,0.65,0.65,2029600
2011-07-21,0.66,0.68,0.66,0.68,0.68,623500
2011-07-22,0.69,0.71,0.69,0.69,0.69,282800
2011-07-25,0.67,0.67,0.65,0.66,0.66,138000
2011-07-26,0.67,0.68,0.66,0.66,0.66,419200
2011-07-27,0.66,0.69,0.66,0.67,0.67,345600
2011-07-28,0.66,0.68,0.66,0.68,0.68,554600
2011-07-29,0.68,0.68,0.63,0.63,0.63,1128600
2011-08-01,0.66,0.68,0.65,0.66,0.66,976200
2011-08-02,0.66,0.66,0.64,0.64,0.64,46800
2011-08-03,0.61,0.61,0.6,0.6,0.6,301600
2011-08-04,0.61,0.61,0.59,0.59,0.59,493000
2011-08-05,0.55,0.55,0.5,0.52,0.52,1169800
2011-08-08,0.47,0.48,0.45,0.48,0.48,1263900
2011-08-09,0.41,0.44,0.41,0.41,0.41,632500
2011-08-10,0.42,0.42,0.41,0.42,0.42,640500
2011-08-11,0.41,0.42,0.41,0.42,0.42,451000
2011-08-15,0.42,0.47,0.42,0.47,0.47,306000
2011-08-16,0.5,0.5,0.44,0.44,0.44,231200
2011-08-17,0.46,0.5,0.46,0.5,0.5,550800
2011-08-18,0.51,0.51,0.5,0.51,0.51,229500
2011-08-19,0.45,0.45,0.42,0.42,0.42,952500
2011-08-22,0.4,0.4,0.36,0.39,0.39,1679900
2011-08-23,0.38,0.4,0.38,0.38,0.38,663600
2011-08-24,0.38,0.39,0.36,0.37,0.37,519800
2011-08-25,0.38,0.38,0.34,0.34,0.34,923500
2011-08-26,0.3,0.35,0.3,0.35,0.35,1284400
2011-08-29,0.34,0.41,0.34,0.41,0.41,852200
2011-08-30,0.43,0.43,0.38,0.38,0.38,1122900
2011-08-31,0.39,0.42,0.39,0.42,0.42,433000
2011-09-01,0.44,0.44,0.41,0.41,0.41,838000
2011-09-02,0.45,0.45,0.39,0.39,0.39,22600
2011-09-05,0.37,0.37,0.36,0.36,0.36,461000
2011-09-06,0.35,0.35,0.35,0.35,0.35,200
2011-09-07,0.29,0.41,0.29,0.41,0.41,215300
2011-09-08,0.38,0.39,0.38,0.39,0.39,150000
2011-09-09,0.39,0.39,0.38,0.38,0.38,30100
2011-09-12,0.35,0.35,0.3,0.3,0.3,1025300
2011-09-13,0.32,0.32,0.29,0.3,0.3,780400
2011-09-14,0.3,0.3,0.28,0.3,0.3,360300
2011-09-15,0.3,0.31,0.28,0.31,0.31,245200
2011-09-16,0.28,0.29,0.28,0.29,0.29,86000
2011-09-19,0.27,0.27,0.26,0.26,0.26,450000
2011-09-20,0.25,0.27,0.24,0.26,0.26,344600
2011-09-21,0.28,0.28,0.26,0.27,0.27,196000
2011-09-22,0.24,0.24,0.22,0.22,0.22,360000
2011-09-23,0.2,0.2,0.16,0.16,0.16,464800
2011-09-26,0.15,0.15,0.05,0.08,0.08,211700
2011-09-27,0.1,0.12,0.08,0.11,0.11,1523100
2011-09-28,0.11,0.11,0.08,0.09,0.09,690800
2011-09-29,0.06,0.07,0.05,0.05,0.05,770100
2011-09-30,0.06,0.06,0.05,0.05,0.05,933100
2011-10-03,0.02,0.02,0.02,0.02,0.02,1333900
2011-10-04,0.02,0.02,0.02,0.02,0.02,112200
2011-10-05,0.02,0.02,0.01,0.02,0.02,961300
2011-10-06,0.04,0.06,0.03,0.06,0.06,1337500
2011-10-07,0.09,0.09,0.06,0.06,0.06,1328700
2011-10-10,0.05,0.08,0.05,0.08,0.08,296400
2011-10-11,0.09,0.09,0.07,0.09,0.09,670700
2011-10-12,0.09,0.09,0.08,0.08,0.08,125000
2011-10-13,0.08,0.08,0.06,0.06,0.06,88100
2011-10-14,0.06,0.07,0.06,0.07,0.07,470200
2011-10-17,0.09,0.09,0.07,0.08,0.08,1252000
2011-10-18,0.09,0.09,0.06,0.06,0.06,177100
2011-10-19,0.06,0.06,0.06,0.06,0.06,50000
2011-10-20,0.03,0.05,0.02,0.05,0.05,401000
2011-10-21,0.02,0.02,0.02,0.02,0.02,1647900
2011-10-25,0.02,0.03,0.01,0.02,0.02,1711100
2011-10-26,0.01,0.01,0.01,0.01,0.01,1060000
2011-10-27,0.01,0.02,0.01,0.01,0.01,895500
