Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,0.75,0.75,0.64,0.66,0.66,1718300
2018-06-11,0.63,0.67,0.61,0.63,0.63,7226500
2018-06-12,0.64,0.67,0.64,0.64,0.64,8940900
2018-06-13,0.65,0.65,0.61,0.62,0.62,4989600
2018-06-14,0.6,0.62,0.57,0.62,0.62,12414200
2018-06-15,0.59,0.61,0.56,0.58,0.58,8939000
2018-06-18,0.52,0.53,0.48,0.51,0.51,6419900
2018-06-19,0.46,0.51,0.43,0.43,0.43,19873000
2018-06-20,0.45,0.51,0.44,0.5,0.5,20347900
2018-06-21,0.5,0.5,0.45,0.45,0.45,10401200
2018-06-22,0.47,0.54,0.47,0.5,0.5,18501600
2018-06-25,0.56,0.57,0.5,0.51,0.51,8603000
2018-06-26,0.49,0.53,0.49,0.5,0.5,17635600
2018-06-27,0.75,0.75,0.56,0.58,0.58,17000800
2018-06-28,0.65,0.65,0.6,0.62,0.62,17215400
2018-06-29,0.63,0.68,0.61,0.66,0.66,16128300
2018-07-02,0.64,0.64,0.48,0.5,0.5,11626300
2018-07-03,0.51,0.57,0.51,0.53,0.53,13868000
2018-07-04,0.53,0.57,0.51,0.53,0.53,14537500
2018-07-05,0.54,0.54,0.46,0.48,0.48,9768200
2018-07-06,0.46,0.49,0.44,0.46,0.46,21755500
2018-07-09,0.49,0.52,0.49,0.51,0.51,14766700
2018-07-10,0.53,0.63,0.53,0.61,0.61,19252400
2018-07-11,0.56,0.58,0.54,0.54,0.54,12616500
2018-07-12,0.52,0.53,0.49,0.5,0.5,9466900
2018-07-13,0.51,0.52,0.5,0.51,0.51,8023300
2018-07-16,0.51,0.53,0.51,0.51,0.51,2522400
2018-07-17,0.5,0.5,0.41,0.42,0.42,16079600
2018-07-18,0.43,0.44,0.41,0.42,0.42,10399300
2018-07-19,0.44,0.45,0.42,0.43,0.43,10873700
2018-07-20,0.44,0.47,0.43,0.47,0.47,8425700
2018-07-23,0.46,0.47,0.43,0.45,0.45,12605700
2018-07-24,0.46,0.48,0.43,0.45,0.45,2314000
2018-07-25,0.44,0.47,0.44,0.47,0.47,9668400
2018-07-26,0.5,0.54,0.48,0.52,0.52,20006300
2018-07-31,0.56,0.57,0.52,0.52,0.52,9148100
2018-08-01,0.55,0.61,0.53,0.6,0.6,18134000
2018-08-02,0.58,0.58,0.54,0.55,0.55,8369900
2018-08-03,0.56,0.58,0.55,0.57,0.57,4924600
2018-08-06,0.59,0.59,0.54,0.54,0.54,1393300
2018-08-07,0.56,0.62,0.56,0.61,0.61,12995200
2018-08-08,0.6,0.63,0.6,0.62,0.62,8005800
2018-08-09,0.6,0.63,0.6,0.6,0.6,6807700
2018-08-10,0.59,0.59,0.54,0.55,0.55,6029800
2018-08-14,0.51,0.53,0.49,0.53,0.53,9491300
2018-08-15,0.51,0.52,0.48,0.48,0.48,8168000
2018-08-16,0.46,0.47,0.42,0.47,0.47,15111300
2018-08-17,0.46,0.48,0.44,0.45,0.45,13538000
2018-08-20,0.46,0.46,0.44,0.46,0.46,8342000
2018-08-21,0.46,0.48,0.44,0.44,0.44,12045000
2018-08-22,0.45,0.52,0.45,0.5,0.5,13834500
2018-08-23,0.55,0.56,0.51,0.53,0.53,10900700
2018-08-24,0.52,0.52,0.49,0.5,0.5,9467300
2018-08-27,0.53,0.55,0.53,0.54,0.54,8364100
2018-08-28,0.54,0.57,0.54,0.55,0.55,15344000
2018-08-29,0.54,0.57,0.53,0.55,0.55,12389800
2018-08-30,0.58,0.59,0.55,0.55,0.55,8035000
2018-08-31,0.52,0.56,0.52,0.54,0.54,24204500
2018-09-03,0.54,0.54,0.5,0.52,0.52,8396000
2018-09-04,0.52,0.54,0.51,0.53,0.53,4298700
2018-09-05,0.51,0.51,0.46,0.46,0.46,10848500
2018-09-06,0.46,0.49,0.46,0.48,0.48,7490100
2018-09-07,0.44,0.46,0.43,0.45,0.45,11547700
2018-09-10,0.44,0.44,0.4,0.42,0.42,14476200
2018-09-11,0.41,0.46,0.41,0.43,0.43,14441000
