Date,Open,High,Low,Close,Adj Close,Volume
2013-01-07,1.03,1.03,1.03,1.03,1.03,30000
2013-01-08,1.09,1.09,1.09,1.09,1.09,30000
2013-01-10,1.03,1.03,1.03,1.03,1.03,35000
2013-01-11,1.05,1.05,1.02,1.03,1.03,399000
2013-01-14,1.04,1.04,1.04,1.04,1.04,91500
2013-01-15,1.04,1.08,1.04,1.08,1.08,121400
2013-01-16,1.08,1.1,1.08,1.1,1.1,40500
2013-01-17,1.1,1.12,1.08,1.1,1.1,2785900
2013-01-18,1.1,1.1,1.1,1.1,1.1,20000
2013-01-21,1.1,1.1,1.1,1.1,1.1,10000
2013-01-22,1.1,1.12,1.1,1.12,1.12,584600
2013-01-23,1.11,1.12,1.1,1.1,1.1,150000
2013-01-24,1.09,1.12,1.09,1.12,1.12,78100
2013-01-25,1.11,1.11,1.08,1.09,1.09,68800
2013-01-30,1.01,1.01,1.01,1.01,1.01,50000
2013-01-31,1.01,1.01,0.99,1,1,212000
2013-02-01,0.98,0.99,0.97,0.97,0.97,773000
2013-02-04,0.94,0.96,0.91,0.92,0.92,2166500
2013-02-05,0.95,0.95,0.93,0.95,0.95,424000
2013-02-06,0.96,0.99,0.96,0.99,0.99,456000
2013-02-07,0.99,1.02,0.99,1,1,108000
2013-02-08,0.99,1,0.99,0.99,0.99,55000
2013-02-11,0.96,1.01,0.96,1.01,1.01,947500
2013-02-12,0.99,1.03,0.99,1.03,1.03,32400
2013-02-13,0.99,0.99,0.99,0.99,0.99,1015400
2013-02-15,0.98,0.99,0.98,0.99,0.99,100000
2013-02-20,0.99,1.02,0.99,1,1,112000
2013-02-21,1.03,1.05,1.03,1.04,1.04,42000
2013-02-22,1.04,1.04,1.02,1.04,1.04,74200
2013-02-26,1.06,1.08,1.06,1.07,1.07,139500
2013-02-27,1.06,1.08,1.06,1.08,1.08,22500
2013-02-28,1.06,1.06,1.06,1.06,1.06,4500
2013-03-01,1.02,1.06,1.02,1.06,1.06,55500
2013-03-04,1.09,1.09,1.09,1.09,1.09,38000
2013-03-05,1.08,1.08,1.08,1.08,1.08,50000
2013-03-06,1.06,1.06,1.06,1.06,1.06,5000
2013-03-08,1.01,1.04,1,1.03,1.03,408000
2013-03-11,1.01,1.03,1.01,1.03,1.03,101000
2013-03-12,1.04,1.04,1.04,1.04,1.04,5000
2013-03-13,1.09,1.09,1.09,1.09,1.09,500
2013-03-18,1.08,1.08,1.05,1.05,1.05,20000
2013-03-19,1.08,1.08,1.07,1.07,1.07,400000
2013-03-20,1.11,1.13,1.11,1.13,1.13,3620900
2013-03-21,1.13,1.2,1.13,1.2,1.2,4471300
2013-03-22,1.22,1.3,1.2,1.28,1.28,2857100
2013-03-25,1.25,1.28,1.21,1.23,1.23,891800
2013-03-26,1.21,1.23,1.16,1.16,1.16,3445000
2013-03-27,1.15,1.15,1.11,1.12,1.12,4131000
2013-03-28,1.1,1.16,1.1,1.11,1.11,7809900
2013-03-29,1.11,1.12,1.11,1.12,1.12,6010000
2013-04-01,1.15,1.16,1.14,1.16,1.16,1326300
2013-04-02,1.17,1.17,1.14,1.15,1.15,2102000
2013-04-03,1.12,1.17,1.12,1.17,1.17,4307000
2013-04-04,1.24,1.25,1.12,1.14,1.14,1141000
2013-04-05,1.18,1.24,1.18,1.24,1.24,2290300
2013-04-09,1.15,1.21,1.12,1.16,1.16,16736600
2013-04-10,1.18,1.22,1.14,1.14,1.14,4951500
2013-04-11,1.09,1.12,1.09,1.1,1.1,3299000
2013-04-12,1.1,1.1,1.08,1.1,1.1,837000
2013-04-17,1.15,1.2,1.15,1.2,1.2,3676000
2013-04-18,1.17,1.21,1.17,1.19,1.19,7266000
2013-04-19,1.15,1.19,1.15,1.16,1.16,224300
2013-04-22,1.18,1.18,1.16,1.18,1.18,92400
2013-04-23,1.17,1.17,1.15,1.17,1.17,900000
2013-04-24,1.14,1.18,1.14,1.16,1.16,10300
2013-04-25,1.15,1.15,1.1,1.1,1.1,305200
2013-04-26,1.08,1.08,1.05,1.05,1.05,105000
2013-04-29,1.06,1.06,1.06,1.06,1.06,500100
2013-04-30,0.98,0.98,0.94,0.94,0.94,1489500
2013-05-02,0.91,0.95,0.91,0.92,0.92,1165300
2013-05-03,0.88,0.95,0.88,0.94,0.94,3296800
2013-05-07,0.89,0.96,0.86,0.87,0.87,6297100
2013-05-08,0.85,0.87,0.84,0.84,0.84,1370800
2013-05-09,0.84,0.84,0.79,0.8,0.8,1119800
2013-05-10,0.78,0.78,0.69,0.7,0.7,3143800
2013-05-13,0.7,0.77,0.7,0.77,0.77,5268100
2013-05-14,0.73,0.76,0.73,0.74,0.74,3242700
2013-05-15,0.71,0.72,0.7,0.71,0.71,6700000
2013-05-16,0.72,0.77,0.72,0.74,0.74,4466200
2013-05-17,0.77,0.79,0.76,0.78,0.78,2607500
2013-05-20,0.71,0.73,0.67,0.67,0.67,2745200
2013-05-21,0.68,0.69,0.67,0.68,0.68,1502000
2013-05-22,0.67,0.7,0.64,0.69,0.69,5600000
2013-05-23,0.74,0.85,0.71,0.8,0.8,11736700
2013-05-27,0.8,0.83,0.79,0.81,0.81,12236100
2013-05-28,0.79,0.82,0.75,0.75,0.75,5229000
2013-05-29,0.76,0.79,0.76,0.78,0.78,18804200
2013-05-30,0.8,0.81,0.77,0.8,0.8,14434200
2013-05-31,0.81,0.84,0.79,0.84,0.84,15848500
2013-06-03,0.88,0.94,0.82,0.93,0.93,19454000
2013-06-04,0.87,0.9,0.78,0.79,0.79,36681200
2013-06-05,0.8,0.83,0.77,0.82,0.82,20429600
2013-06-06,0.84,0.88,0.8,0.83,0.83,23105100
2013-06-07,0.81,0.83,0.75,0.77,0.77,12952700
2013-06-10,0.72,0.73,0.7,0.71,0.71,17686200
2013-06-11,0.71,0.91,0.71,0.88,0.88,61995300
2013-06-12,0.91,0.93,0.81,0.87,0.87,76215900
2013-06-13,0.97,1.04,0.94,0.98,0.98,54624200
2013-06-14,0.9,0.92,0.81,0.81,0.81,28804100
2013-06-17,0.75,0.81,0.75,0.78,0.78,28860400
2013-06-18,0.78,0.88,0.72,0.88,0.88,25938200
2013-06-19,0.86,0.9,0.75,0.76,0.76,51737000
2013-06-20,0.86,0.87,0.66,0.72,0.72,37763900
2013-06-21,0.77,0.77,0.55,0.57,0.57,33874100
2013-06-24,0.6,0.74,0.6,0.74,0.74,15467100
2013-06-25,0.68,0.82,0.59,0.61,0.61,50649100
2013-06-26,0.64,0.69,0.63,0.67,0.67,16989100
2013-06-27,0.64,0.72,0.55,0.56,0.56,7661600
2013-06-28,0.53,0.58,0.52,0.57,0.57,7050000
2013-07-02,0.53,0.6,0.53,0.57,0.57,8687800
2013-07-03,0.57,0.6,0.48,0.59,0.59,8823100
2013-07-04,0.53,0.57,0.5,0.5,0.5,6726000
2013-07-05,0.48,0.48,0.44,0.45,0.45,13600400
2013-07-08,0.43,0.44,0.39,0.41,0.41,4712100
2013-07-09,0.42,0.43,0.36,0.38,0.38,7686000
2013-07-10,0.36,0.42,0.36,0.38,0.38,13046600
2013-07-11,0.32,0.33,0.24,0.24,0.24,14642500
2013-07-12,0.26,0.35,0.26,0.3,0.3,3970700
2013-07-15,0.31,0.35,0.3,0.31,0.31,7180200
