Date,Open,High,Low,Close,Adj Close,Volume
2014-11-07,0.87,0.89,0.87,0.89,0.89,100000
2014-11-11,0.86,0.86,0.86,0.86,0.86,600000
2014-11-13,0.86,0.86,0.83,0.83,0.83,105000
2014-11-14,0.82,0.82,0.82,0.82,0.82,200000
2014-11-17,0.82,0.82,0.82,0.82,0.82,500000
2014-11-18,0.84,0.85,0.84,0.85,0.85,200000
2014-11-28,0.74,0.75,0.7,0.7,0.7,649000
2014-12-01,0.64,0.65,0.61,0.62,0.62,1907200
2014-12-02,0.65,0.66,0.64,0.66,0.66,1212000
2014-12-03,0.64,0.64,0.63,0.63,0.63,230000
2014-12-04,0.63,0.64,0.63,0.64,0.64,2500
2014-12-08,0.63,0.63,0.58,0.58,0.58,562000
2014-12-09,0.57,0.57,0.52,0.52,0.52,2777300
2014-12-11,0.46,0.46,0.4,0.43,0.43,7573500
2014-12-12,0.42,0.43,0.4,0.4,0.4,6084100
2014-12-15,0.37,0.38,0.27,0.33,0.33,15500400
2014-12-16,0.3,0.3,0.27,0.28,0.28,4763000
2014-12-17,0.29,0.36,0.29,0.36,0.36,4117000
2014-12-18,0.45,0.45,0.42,0.43,0.43,8178700
2014-12-19,0.46,0.46,0.4,0.44,0.44,1666300
2014-12-22,0.46,0.5,0.46,0.5,0.5,2199300
2014-12-23,0.47,0.47,0.45,0.46,0.46,574500
2014-12-24,0.47,0.47,0.46,0.46,0.46,59000
2014-12-25,0.44,0.44,0.41,0.42,0.42,720000
2014-12-26,0.42,0.43,0.41,0.41,0.41,39000
2014-12-29,0.43,0.43,0.42,0.42,0.42,1087000
2014-12-30,0.4,0.4,0.38,0.38,0.38,89000
2015-01-05,0.38,0.39,0.33,0.33,0.33,646000
2015-01-06,0.31,0.33,0.29,0.32,0.32,226000
2015-01-07,0.3,0.32,0.3,0.32,0.32,172000
2015-01-08,0.34,0.35,0.34,0.35,0.35,1254100
2015-01-09,0.37,0.38,0.36,0.38,0.38,1261600
2015-01-12,0.35,0.35,0.34,0.35,0.35,227000
2015-01-13,0.33,0.33,0.33,0.33,0.33,661000
2015-01-14,0.32,0.32,0.3,0.3,0.3,362000
2015-01-15,0.33,0.33,0.32,0.32,0.32,660000
2015-01-16,0.3,0.31,0.29,0.29,0.29,1563500
2015-01-19,0.29,0.3,0.29,0.29,0.29,5779000
2015-01-20,0.31,0.31,0.29,0.29,0.29,364000
2015-01-21,0.29,0.29,0.28,0.29,0.29,3546500
2015-01-22,0.3,0.34,0.3,0.34,0.34,3010900
2015-01-23,0.34,0.38,0.34,0.38,0.38,9408600
2015-01-26,0.35,0.36,0.34,0.36,0.36,2011100
2015-01-27,0.36,0.36,0.35,0.36,0.36,3075000
2015-01-28,0.37,0.37,0.35,0.35,0.35,2340000
2015-01-29,0.33,0.35,0.33,0.35,0.35,70000
2015-01-30,0.37,0.37,0.33,0.33,0.33,1996700
2015-02-02,0.35,0.39,0.35,0.36,0.36,27474000
2015-02-03,0.42,0.46,0.41,0.46,0.46,2051400
2015-02-04,0.52,0.52,0.46,0.46,0.46,9155400
2015-02-05,0.43,0.43,0.41,0.42,0.42,2276100
2015-02-06,0.45,0.45,0.44,0.44,0.44,2123600
2015-02-09,0.45,0.45,0.43,0.43,0.43,350200
2015-02-10,0.43,0.43,0.41,0.41,0.41,304100
2015-02-11,0.41,0.42,0.37,0.42,0.42,6017200
2015-02-12,0.4,0.4,0.39,0.4,0.4,3773700
2015-02-13,0.42,0.45,0.42,0.44,0.44,3405600
2015-02-16,0.45,0.45,0.41,0.41,0.41,241200
2015-02-17,0.41,0.41,0.4,0.4,0.4,938100
2015-02-18,0.4,0.41,0.4,0.4,0.4,1241100
2015-02-19,0.39,0.39,0.38,0.38,0.38,1215700
2015-02-20,0.38,0.39,0.37,0.38,0.38,903200
2015-02-23,0.38,0.38,0.36,0.36,0.36,1426200
2015-02-24,0.36,0.37,0.36,0.36,0.36,130000
2015-02-25,0.36,0.36,0.34,0.36,0.36,2784900
2015-02-26,0.36,0.39,0.35,0.39,0.39,3625000
2015-02-27,0.37,0.37,0.37,0.37,0.37,2757000
2015-03-02,0.38,0.39,0.37,0.37,0.37,8455300
2015-03-03,0.37,0.37,0.34,0.34,0.34,2375500
2015-03-05,0.34,0.35,0.33,0.35,0.35,459100
2015-03-06,0.34,0.36,0.34,0.36,0.36,234400
2015-03-09,0.35,0.35,0.34,0.34,0.34,747000
2015-03-10,0.32,0.33,0.29,0.29,0.29,1480000
2015-03-11,0.27,0.31,0.27,0.3,0.3,1546400
2015-03-12,0.3,0.31,0.29,0.31,0.31,1426200
2015-03-13,0.3,0.3,0.28,0.28,0.28,1309200
2015-03-16,0.27,0.27,0.25,0.25,0.25,2652300
2015-03-17,0.26,0.26,0.24,0.24,0.24,1505900
2015-03-18,0.25,0.28,0.25,0.27,0.27,329000
2015-03-19,0.29,0.29,0.27,0.28,0.28,3129100
2015-03-20,0.27,0.28,0.27,0.28,0.28,511000
2015-03-23,0.27,0.28,0.27,0.28,0.28,1675000
2015-03-24,0.28,0.28,0.26,0.28,0.28,951800
