Date,Open,High,Low,Close,Adj Close,Volume
2011-05-30,1.27,1.31,1.26,1.31,1.31,70000
2011-06-09,1.04,1.04,1.04,1.04,1.04,20000
2011-06-10,1.05,1.05,1.05,1.05,1.05,20000
2011-06-24,0.88,0.88,0.88,0.88,0.88,100000
2011-06-29,0.93,0.93,0.93,0.93,0.93,100000
2011-07-08,1.27,1.27,1.26,1.26,1.26,100000
2011-07-13,1.21,1.21,1.21,1.21,1.21,28000
2011-07-14,1.3,1.3,1.3,1.3,1.3,93000
2011-07-18,1.33,1.36,1.33,1.36,1.36,45000
2011-07-19,1.44,1.44,1.44,1.44,1.44,50000
2011-07-20,1.47,1.47,1.36,1.36,1.36,80000
2011-07-21,1.38,1.38,1.38,1.38,1.38,1000
2011-07-26,1.36,1.38,1.36,1.38,1.38,65000
2011-07-27,1.41,1.41,1.41,1.41,1.41,5000
2011-07-28,1.38,1.38,1.38,1.38,1.38,1000
2011-08-03,1.28,1.28,1.28,1.28,1.28,55000
2011-08-05,0.88,0.88,0.83,0.83,0.83,623500
2011-08-08,0.73,0.8,0.64,0.8,0.8,399400
2011-08-09,0.61,0.79,0.61,0.68,0.68,247500
2011-08-10,0.74,0.74,0.68,0.73,0.73,124000
2011-08-11,0.7,0.7,0.68,0.68,0.68,90000
2011-08-15,0.73,0.77,0.73,0.75,0.75,74000
2011-08-16,0.8,0.8,0.75,0.75,0.75,222000
2011-08-17,0.78,0.8,0.76,0.76,0.76,158000
2011-08-18,0.85,0.86,0.82,0.82,0.82,304000
2011-08-19,0.74,0.75,0.69,0.69,0.69,451800
2011-08-22,0.68,0.74,0.62,0.74,0.74,375000
2011-08-23,0.75,0.83,0.75,0.76,0.76,254000
2011-08-24,0.76,0.76,0.67,0.74,0.74,242000
2011-08-25,0.64,0.76,0.64,0.75,0.75,269000
2011-08-26,0.68,0.71,0.65,0.71,0.71,434000
2011-08-29,0.8,0.88,0.8,0.88,0.88,95100
2011-08-30,1,1.01,0.95,0.95,0.95,247000
2011-08-31,1.03,1.06,1.03,1.04,1.04,25000
2011-09-01,1.1,1.1,0.98,0.98,0.98,107000
2011-09-02,0.85,0.85,0.74,0.77,0.77,597000
2011-09-05,0.77,0.77,0.61,0.61,0.61,598000
2011-09-06,0.67,0.67,0.62,0.66,0.66,481000
2011-09-07,0.67,0.79,0.67,0.75,0.75,472000
2011-09-08,0.72,0.74,0.66,0.73,0.73,419600
2011-09-09,0.7,0.7,0.62,0.62,0.62,958000
2011-09-12,0.54,0.57,0.54,0.54,0.54,789000
2011-09-13,0.55,0.56,0.54,0.56,0.56,209000
2011-09-14,0.56,0.6,0.5,0.56,0.56,513000
2011-09-15,0.56,0.61,0.55,0.61,0.61,412500
2011-09-16,0.63,0.63,0.54,0.54,0.54,55000
2011-09-19,0.5,0.52,0.5,0.51,0.51,350100
2011-09-20,0.53,0.55,0.53,0.54,0.54,110000
2011-09-22,0.48,0.48,0.44,0.44,0.44,450000
2011-09-23,0.36,0.38,0.3,0.32,0.32,386000
2011-09-26,0.24,0.24,0.12,0.22,0.22,1216200
2011-09-27,0.22,0.29,0.17,0.29,0.29,2305900
2011-09-28,0.28,0.28,0.23,0.24,0.24,339000
2011-09-29,0.23,0.27,0.2,0.2,0.2,910000
2011-09-30,0.19,0.19,0.11,0.12,0.12,1621100
2011-10-03,0.06,0.07,0.05,0.06,0.06,2385400
2011-10-04,0.1,0.1,0.07,0.1,0.1,1651700
2011-10-05,0.12,0.14,0.12,0.14,0.14,721200
2011-10-06,0.19,0.24,0.19,0.24,0.24,1530000
2011-10-07,0.24,0.24,0.21,0.21,0.21,370000
2011-10-10,0.15,0.21,0.14,0.21,0.21,1317800
2011-10-11,0.23,0.24,0.23,0.24,0.24,103000
2011-10-12,0.2,0.2,0.18,0.18,0.18,120000
2011-10-13,0.19,0.19,0.15,0.15,0.15,2152800
2011-10-14,0.18,0.2,0.18,0.2,0.2,168400
2011-10-17,0.26,0.3,0.26,0.3,0.3,390500
2011-10-18,0.2,0.22,0.18,0.22,0.22,414000
2011-10-19,0.24,0.25,0.24,0.24,0.24,552000
2011-10-25,0.28,0.29,0.28,0.29,0.29,160000
2011-10-26,0.25,0.25,0.23,0.23,0.23,100000
2011-10-27,0.26,0.26,0.26,0.26,0.26,130000
2011-10-28,0.38,0.38,0.38,0.38,0.38,140000
2011-10-31,0.33,0.33,0.3,0.3,0.3,200000
2011-11-01,0.26,0.26,0.21,0.21,0.21,284000
2011-11-02,0.15,0.19,0.14,0.19,0.19,572500
2011-11-03,0.14,0.14,0.12,0.13,0.13,893900
2011-11-04,0.15,0.15,0.12,0.12,0.12,515000
2011-11-07,0.12,0.12,0.11,0.11,0.11,131700
2011-11-08,0.13,0.18,0.13,0.18,0.18,424800
2011-11-09,0.18,0.28,0.18,0.25,0.25,896700
2011-11-10,0.14,0.17,0.14,0.17,0.17,240800
2011-11-14,0.23,0.31,0.23,0.31,0.31,718000
2011-11-15,0.24,0.24,0.2,0.2,0.2,70000
2011-11-17,0.24,0.24,0.22,0.22,0.22,108000
2011-11-18,0.11,0.11,0.11,0.11,0.11,60000
2011-11-22,0.03,0.03,0.02,0.02,0.02,60400
2011-11-23,0.01,0.01,0.01,0.01,0.01,200000
2011-11-24,0.01,0.01,0.01,0.01,0.01,120000
