Date,Open,High,Low,Close,Adj Close,Volume
2013-02-15,0.79,0.79,0.79,0.79,0.79,40000
2013-02-19,0.77,0.77,0.76,0.76,0.76,3000000
2013-02-20,0.77,0.77,0.77,0.77,0.77,1000
2013-02-22,0.73,0.73,0.69,0.69,0.69,5035000
2013-02-27,0.65,0.65,0.65,0.65,0.65,1000
2013-02-28,0.68,0.68,0.68,0.68,0.68,3000000
2013-03-06,0.63,0.63,0.63,0.63,0.63,6030000
2013-03-07,0.63,0.64,0.62,0.64,0.64,1030000
2013-03-13,0.59,0.59,0.58,0.58,0.58,1050300
2013-03-14,0.56,0.56,0.56,0.56,0.56,100000
2013-03-15,0.57,0.57,0.55,0.55,0.55,102800
2013-03-21,0.51,0.51,0.46,0.46,0.46,200
2013-03-26,0.43,0.43,0.43,0.43,0.43,1000
2013-03-27,0.47,0.48,0.46,0.48,0.48,108700
2013-03-28,0.48,0.48,0.48,0.48,0.48,3000000
2013-03-29,0.47,0.47,0.47,0.47,0.47,1000
2013-04-04,0.38,0.42,0.38,0.42,0.42,200000
2013-04-05,0.39,0.39,0.39,0.39,0.39,50000
2013-04-09,0.39,0.39,0.39,0.39,0.39,54200
2013-04-10,0.37,0.4,0.37,0.39,0.39,140000
2013-04-19,0.35,0.36,0.35,0.35,0.35,600000
2013-04-22,0.35,0.35,0.34,0.35,0.35,150100
2013-04-23,0.33,0.35,0.33,0.34,0.34,700300
2013-04-24,0.33,0.33,0.33,0.33,0.33,210400
2013-04-25,0.36,0.36,0.36,0.36,0.36,100000
2013-04-26,0.38,0.38,0.37,0.37,0.37,500100
2013-04-29,0.36,0.4,0.36,0.4,0.4,17200200
2013-04-30,0.42,0.46,0.42,0.46,0.46,13924000
2013-05-02,0.45,0.47,0.45,0.47,0.47,1600200
2013-05-03,0.48,0.48,0.43,0.44,0.44,1402500
2013-05-07,0.42,0.48,0.42,0.48,0.48,83600
2013-05-08,0.47,0.49,0.47,0.49,0.49,3800
2013-05-09,0.49,0.52,0.49,0.51,0.51,53100
2013-05-10,0.54,0.6,0.54,0.58,0.58,4612100
2013-05-13,0.53,0.54,0.53,0.54,0.54,50200
2013-05-14,0.54,0.55,0.54,0.54,0.54,166100
2013-05-15,0.56,0.56,0.55,0.56,0.56,300200
2013-05-16,0.55,0.55,0.5,0.5,0.5,200100
2013-05-17,0.48,0.5,0.48,0.5,0.5,100100
2013-05-20,0.51,0.56,0.51,0.56,0.56,2327900
2013-05-21,0.55,0.55,0.55,0.55,0.55,10000
2013-05-22,0.54,0.56,0.51,0.51,0.51,595900
2013-05-23,0.47,0.48,0.39,0.42,0.42,2350300
2013-05-27,0.4,0.41,0.38,0.39,0.39,2139200
2013-05-28,0.4,0.44,0.38,0.44,0.44,256400
2013-05-29,0.4,0.41,0.4,0.41,0.41,51100
2013-05-30,0.38,0.4,0.37,0.4,0.4,600100
2013-05-31,0.35,0.36,0.35,0.36,0.36,72100
2013-06-03,0.32,0.32,0.29,0.29,0.29,300000
2013-06-04,0.3,0.36,0.3,0.35,0.35,4577900
2013-06-05,0.34,0.35,0.32,0.32,0.32,3906500
2013-06-06,0.32,0.32,0.3,0.31,0.31,1655100
2013-06-07,0.32,0.35,0.32,0.35,0.35,804800
2013-06-10,0.36,0.36,0.36,0.36,0.36,2076300
2013-06-11,0.28,0.28,0.26,0.26,0.26,214000
2013-06-12,0.27,0.27,0.27,0.27,0.27,80000
2013-06-13,0.2,0.2,0.19,0.19,0.19,151000
2013-06-14,0.24,0.26,0.24,0.26,0.26,5060000
2013-06-17,0.3,0.3,0.26,0.28,0.28,1015600
2013-06-18,0.3,0.3,0.3,0.3,0.3,335000
2013-06-19,0.22,0.26,0.22,0.25,0.25,736000
2013-06-20,0.23,0.31,0.23,0.31,0.31,1120000
2013-06-21,0.26,0.37,0.26,0.37,0.37,4780000
2013-06-24,0.32,0.32,0.25,0.25,0.25,2325000
2013-06-25,0.29,0.31,0.29,0.31,0.31,105000
2013-06-26,0.29,0.29,0.29,0.29,0.29,190800
2013-06-27,0.28,0.33,0.26,0.33,0.33,1414000
2013-06-28,0.32,0.32,0.31,0.31,0.31,1120800
2013-07-02,0.28,0.28,0.27,0.28,0.28,164800
2013-07-03,0.3,0.32,0.26,0.26,0.26,2532000
2013-07-04,0.29,0.3,0.27,0.3,0.3,4431900
2013-07-05,0.32,0.32,0.32,0.32,0.32,250000
2013-07-08,0.31,0.33,0.31,0.31,0.31,3200000
2013-07-09,0.31,0.33,0.31,0.32,0.32,3800000
2013-07-10,0.29,0.29,0.28,0.28,0.28,150000
2013-07-11,0.34,0.37,0.34,0.37,0.37,2920000
2013-07-12,0.36,0.36,0.3,0.31,0.31,5885000
2013-07-15,0.29,0.29,0.28,0.28,0.28,508000
2013-07-16,0.27,0.29,0.25,0.29,0.29,2516000
2013-07-17,0.26,0.26,0.22,0.23,0.23,4344600
2013-07-18,0.23,0.25,0.21,0.25,0.25,3401400
2013-07-19,0.25,0.25,0.23,0.24,0.24,11706600
2013-07-23,0.23,0.23,0.22,0.22,0.22,375000
2013-07-24,0.22,0.22,0.19,0.21,0.21,7221300
2013-07-25,0.19,0.22,0.18,0.2,0.2,5856100
2013-07-26,0.2,0.22,0.19,0.22,0.22,3434600
2013-07-29,0.18,0.18,0.16,0.16,0.16,1594500
2013-07-30,0.15,0.15,0.13,0.13,0.13,1358000
2013-07-31,0.1,0.11,0.07,0.1,0.1,1208600
2013-08-01,0.12,0.14,0.11,0.14,0.14,3753500
2013-08-02,0.14,0.14,0.1,0.13,0.13,3760000
2013-08-05,0.11,0.12,0.09,0.1,0.1,5014600
2013-08-06,0.09,0.11,0.09,0.1,0.1,775600
2013-08-07,0.08,0.09,0.08,0.08,0.08,329600
2013-08-08,0.07,0.07,0.06,0.07,0.07,1092600
2013-08-09,0.05,0.06,0.05,0.06,0.06,3120000
2013-08-13,0.03,0.03,0.03,0.03,0.03,100
2013-08-15,0.01,0.01,0.01,0.01,0.01,350000
2013-08-16,0.01,0.01,0.01,0.01,0.01,325000
