Date,Open,High,Low,Close,Adj Close,Volume
2012-02-20,1.72,1.72,1.66,1.66,1.66,20000
2012-02-21,1.65,1.65,1.65,1.65,1.65,2000
2012-02-23,1.67,1.67,1.67,1.67,1.67,2000
2012-02-27,1.7,1.7,1.7,1.7,1.7,500
2012-02-28,1.66,1.66,1.66,1.66,1.66,500
2012-03-02,1.58,1.6,1.58,1.6,1.6,40000
2012-03-06,1.68,1.68,1.68,1.68,1.68,5000
2012-03-08,1.64,1.64,1.64,1.64,1.64,18000
2012-03-12,1.65,1.7,1.65,1.7,1.7,7000
2012-03-13,1.73,1.73,1.73,1.73,1.73,5000
2012-03-14,1.76,1.76,1.76,1.76,1.76,5000
2012-03-15,1.81,1.81,1.81,1.81,1.81,500
2012-03-19,1.72,1.72,1.72,1.72,1.72,500
2012-03-21,1.69,1.69,1.69,1.69,1.69,500
2012-03-23,1.75,1.75,1.75,1.75,1.75,500
2012-03-26,1.71,1.76,1.7,1.75,1.75,176000
2012-03-27,1.68,1.68,1.62,1.63,1.63,123000
2012-03-28,1.63,1.64,1.63,1.64,1.64,60000
2012-03-29,1.65,1.68,1.63,1.63,1.63,110000
2012-03-30,1.63,1.71,1.63,1.71,1.71,135000
2012-04-02,1.67,1.67,1.63,1.63,1.63,46000
2012-04-03,1.63,1.63,1.58,1.58,1.58,2500
2012-04-04,1.58,1.61,1.58,1.58,1.58,16500
2012-04-05,1.61,1.62,1.61,1.62,1.62,52000
2012-04-10,1.65,1.65,1.65,1.65,1.65,3000
2012-04-11,1.7,1.7,1.7,1.7,1.7,3000
2012-04-12,1.66,1.66,1.66,1.66,1.66,500
2012-04-17,1.62,1.65,1.62,1.64,1.64,96500
2012-04-19,1.61,1.63,1.61,1.62,1.62,205000
2012-04-20,1.58,1.6,1.58,1.58,1.58,90000
2012-04-23,1.61,1.63,1.61,1.63,1.63,19000
2012-04-24,1.53,1.54,1.53,1.53,1.53,63000
2012-04-25,1.48,1.56,1.48,1.54,1.54,60000
2012-05-02,1.46,1.48,1.46,1.47,1.47,20000
2012-05-03,1.45,1.45,1.45,1.45,1.45,4000
2012-05-08,1.51,1.51,1.51,1.51,1.51,1000
2012-05-09,1.52,1.52,1.52,1.52,1.52,1000
2012-05-14,1.5,1.57,1.49,1.57,1.57,294000
2012-05-15,1.58,1.58,1.58,1.58,1.58,1000
2012-05-21,1.59,1.65,1.59,1.64,1.64,200000
2012-05-23,2.06,2.06,2.04,2.04,2.04,10000
2012-05-24,1.96,1.96,1.96,1.96,1.96,500
2012-05-25,1.95,1.95,1.95,1.95,1.95,500
2012-06-07,1.8,1.8,1.8,1.8,1.8,500
2012-06-11,1.62,1.62,1.62,1.62,1.62,500
2012-06-13,1.54,1.54,1.51,1.51,1.51,17000
2012-06-15,1.34,1.34,1.34,1.34,1.34,17000
2012-06-19,1.37,1.37,1.37,1.37,1.37,100000
2012-06-21,1.43,1.43,1.43,1.43,1.43,100000
2012-07-02,1.25,1.25,1.25,1.25,1.25,15000
2012-07-03,1.19,1.21,1.16,1.16,1.16,45000
2012-07-04,1.14,1.14,1.14,1.14,1.14,25000
2012-07-05,1.15,1.15,1.14,1.14,1.14,15000
2012-07-06,1.17,1.17,1.17,1.17,1.17,10000
2012-07-09,1.18,1.18,1.18,1.18,1.18,60000
2012-07-11,1.12,1.12,1.11,1.11,1.11,30000
2012-07-12,1.13,1.15,1.13,1.13,1.13,30000
2012-07-17,1.16,1.16,1.16,1.16,1.16,1000
2012-07-18,1.25,1.33,1.25,1.33,1.33,3000
2012-07-19,1.3,1.3,1.3,1.3,1.3,1000
2012-07-20,1.32,1.32,1.32,1.32,1.32,3000
2012-07-23,1.59,1.59,1.59,1.59,1.59,9000
2012-07-24,1.64,1.64,1.64,1.64,1.64,4000
2012-07-27,1.74,1.74,1.74,1.74,1.74,5000
2012-08-07,1.54,1.54,1.54,1.54,1.54,10000
2012-08-10,1.57,1.57,1.57,1.57,1.57,10000
2012-08-14,1.45,1.45,1.45,1.45,1.45,1000
2012-08-16,1.47,1.47,1.47,1.47,1.47,1000
