Date,Open,High,Low,Close,Adj Close,Volume
2014-04-10,157,157,157,157,157,10
2014-04-16,156,158.75,156,158.75,158.75,20
2014-04-22,160.5,160.5,160.5,160.5,160.5,10
2014-04-23,160.72,160.72,160.72,160.72,160.72,10
2014-04-24,162.5,162.5,161.5,161.5,161.5,55
2014-05-07,158,158,158,158,158,10
2014-05-09,156.36,156.36,156,156,156,20
2014-05-14,154.5,154.5,154.5,154.5,154.5,10
2014-05-16,154,156.86,154,156.18,156.18,40
2014-05-19,156,156,156,156,156,10
2014-05-22,157.36,157.36,155.96,155.96,155.96,35
2014-05-23,156.72,156.72,155.92,155.92,155.92,20
2014-06-04,156.49,157.98,156.49,157.98,157.98,45
2014-06-05,157,157,157,157,157,115
2014-06-11,157.25,157.25,157.25,157.25,157.25,75
2014-06-13,160.16,160.16,160.16,160.16,160.16,50
2014-06-16,166.08,166.08,166.08,166.08,166.08,15
2014-06-17,166.5,167.81,166.5,167.81,167.81,20
2014-06-23,165.1,165.1,165.1,165.1,165.1,1
2014-06-30,167,167,167,167,167,50
2014-07-02,169.5,169.5,169.5,169.5,169.5,25
2014-07-03,168.5,168.5,168.5,168.5,168.5,5
2014-07-04,162,162,162,162,162,35
2014-07-07,160.32,160.32,160.32,160.32,160.32,25
2014-07-08,162.82,162.82,162.82,162.82,162.82,10
2014-07-09,162,162,162,162,162,10
2014-07-10,163.32,163.32,163.32,163.32,163.32,10
2014-07-18,167,167.81,167,167.81,167.81,20
2014-07-25,171,171,171,171,171,120
2014-07-30,166.5,167.31,166.5,167.31,167.31,70
2014-07-31,163,163,163,163,163,5
2014-08-01,163,163,163,163,163,10
2014-08-04,165.32,165.32,165.32,165.32,165.32,15
2014-08-14,174.94,174.94,174.94,174.94,174.94,30
2014-08-20,168,168,168,168,168,30
2014-08-27,167.39,167.39,167.39,167.39,167.39,30
2014-08-28,163,163,163,163,163,200
2014-08-29,164.36,164.36,164.36,164.36,164.36,170
2014-09-04,165.24,165.24,165.24,165.24,165.24,20
2014-09-15,163.5,163.5,163.5,163.5,163.5,100
2014-09-16,163.5,163.5,163.5,163.5,163.5,100
2014-09-17,163.5,163.5,163.5,163.5,163.5,20
2014-09-18,163.31,163.31,163.31,163.31,163.31,20
2014-09-19,163.85,163.85,163.85,163.85,163.85,180
2014-09-22,164,164,164,164,164,80
2014-09-23,161.82,161.82,161.82,161.82,161.82,60
2014-09-25,164.82,164.82,164.82,164.82,164.82,60
2014-09-30,161.5,161.75,161.5,161.75,161.75,20
2014-10-01,161.2,161.2,160,160,160,38
2014-10-02,158,158.6,158,158.6,158.6,2
2014-10-03,158.8,160.3,158.8,160.3,160.3,3
2014-10-06,156,156,156,156,156,1
2014-10-07,158.69,158.69,158.69,158.69,158.69,1
2014-10-08,156,156,154.01,154.01,154.01,4
2014-10-09,154.8,154.8,154.8,154.8,154.8,1
2014-10-10,153.9,153.9,153,153.1,153.1,4
2014-10-13,153.1,153.1,153,153,153,8
2014-10-15,151,151.2,150,150.2,150.2,109
2014-10-16,148,148.5,148,148,148,157
2014-10-17,148.89,148.89,147.3,147.3,147.3,27
2014-10-20,147.01,147.01,147,147,147,2
2014-10-21,144.22,145.8,144.22,145,145,38
2014-10-22,145.1,145.1,144,144,144,3
2014-10-24,146.29,146.8,146.2,146.2,146.2,6
2014-10-27,146,146,144.5,144.5,144.5,5
2014-10-28,144,144,143.8,143.8,143.8,47
2014-10-29,145.8,145.8,145.5,145.5,145.5,22
2014-10-30,146.28,149.05,146.28,149.05,149.05,380
2014-10-31,148.8,148.9,148.69,148.9,148.9,30
2014-11-03,146.8,146.8,146.8,146.8,146.8,52
2014-11-04,144.8,144.8,144.8,144.8,144.8,4
2014-11-05,143.5,143.5,143.5,143.5,143.5,200
2014-11-06,146.8,146.8,146.8,146.8,146.8,46
2014-11-07,148,148,148,148,148,1
2014-11-10,147.2,147.2,146.5,146.5,146.5,98
2014-11-11,147,147,147,147,147,25
2014-11-12,146.5,147,145.5,145.5,145.5,5
2014-11-13,145.5,145.5,145.5,145.5,145.5,30
2014-11-14,144.5,144.5,144.5,144.5,144.5,153
2014-11-17,144.5,144.5,143.5,143.5,143.5,58
2014-11-18,144.99,145.95,144.99,145.95,145.95,25
2014-11-19,145.51,145.95,145.51,145.95,145.95,3
2014-11-20,145,145,145,145,145,101
2014-11-21,145.5,145.5,145,145,145,11
2014-11-24,145.5,146,145.5,146,146,2
2014-11-25,145.5,145.8,145.5,145.8,145.8,25
2014-11-26,146.3,146.3,145.3,145.3,145.3,3
2014-11-27,144.8,144.8,144,144,144,65
2014-11-28,141,141,136.5,136.51,136.51,393
2014-12-01,136,136,129,130,130,124
2014-12-02,132.4,133.2,131,133.2,133.2,182
2014-12-03,132.8,133.2,132.32,132.32,132.32,148
2014-12-04,132,132.3,131.49,131.49,131.49,11
