Date,Open,High,Low,Close,Adj Close,Volume
2013-12-06,168.04,168.04,168.04,168.04,168.04,10
2014-01-02,157,157,157,157,157,1
2014-01-03,153,153,151.95,151.95,151.95,20
2014-01-06,149,149,149,149,149,1
2014-01-07,149.5,154.33,149.5,154.33,154.33,20
2014-01-08,157,157,157,157,157,10
2014-01-09,161.26,162.86,155.24,155.24,155.24,70
2014-01-10,155.36,155.36,155.36,155.36,155.36,30
2014-01-14,163.5,163.5,163,163,163,20
2014-01-15,162.5,163,162.5,163,163,40
2014-01-20,160.74,160.74,160.74,160.74,160.74,10
2014-01-22,159.17,159.17,159.17,159.17,159.17,10
2014-01-23,162.72,162.72,162.72,162.72,162.72,20
2014-01-24,164.64,164.64,164.5,164.5,164.5,24
2014-01-27,161.15,162.5,161.15,162.5,162.5,34
2014-01-28,157.5,157.5,157,157,157,20
2014-01-29,158.35,158.35,158.35,158.35,158.35,20
2014-01-31,155,156.5,154.5,154.5,154.5,31
2014-02-03,156.36,156.86,156.36,156.86,156.86,30
2014-02-05,155.5,155.5,155,155,155,20
2014-02-06,158.1,158.1,158.1,158.1,158.1,10
2014-02-07,157,157,157,157,157,10
2014-02-11,152,152,152,152,152,10
2014-02-13,153.5,153.5,153.5,153.5,153.5,10
2014-02-21,155.83,155.83,155.83,155.83,155.83,10
2014-02-25,154.69,154.69,154.69,154.69,154.69,10
2014-02-28,155.87,156.87,155.87,156.87,156.87,20
2014-03-04,156,156,156,156,156,10
2014-03-05,152,152,152,152,152,1
2014-03-12,157.25,157.25,157.25,157.25,157.25,120
2014-03-14,158,158,158,158,158,10
2014-03-19,156.5,156.5,153.5,153.5,153.5,45
2014-03-24,152.14,152.14,152.14,152.14,152.14,10
2014-03-25,153,153,153,153,153,40
2014-03-27,154.63,156.5,154.63,156.5,156.5,100
2014-03-28,156.13,156.65,156.13,156.65,156.65,70
2014-03-31,160.9,160.9,159.99,160.3,160.3,7
2014-04-01,161.39,161.5,161.39,161.5,161.5,3
2014-04-04,158.5,158.5,158.5,158.5,158.5,1
2014-04-08,158.28,158.28,158.28,158.28,158.28,10
2014-04-17,158.17,158.17,158.17,158.17,158.17,1
2014-04-23,160,160,160,160,160,100
2014-04-24,160.85,160.85,160.85,160.85,160.85,100
2014-04-25,160,160,160,160,160,100
