Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,0.84,0.84,0.84,0.84,0.84,1187000
2014-12-08,0.94,0.95,0.94,0.95,0.95,1187000
2014-12-09,1.01,1.02,1.01,1.02,1.02,1100
2014-12-11,1.14,1.17,1.14,1.17,1.17,10100
2014-12-12,1.12,1.12,1.12,1.12,1.12,11100
2014-12-15,1.19,1.19,1.19,1.19,1.19,20000
2014-12-16,1.28,1.28,1.28,1.28,1.28,20000
2014-12-18,1.1,1.1,1.07,1.07,1.07,289000
2014-12-19,1.06,1.1,1.06,1.1,1.1,369000
2015-01-06,1.2,1.2,1.17,1.17,1.17,600000
2015-02-03,0.85,0.85,0.85,0.85,0.85,500
2015-02-04,0.76,0.8,0.76,0.8,0.8,600
2015-02-05,0.82,0.83,0.82,0.83,0.83,1100
2015-03-12,0.96,0.96,0.95,0.95,0.95,20000
2015-03-13,0.95,0.95,0.95,0.95,0.95,20000
2015-04-07,0.79,0.79,0.79,0.79,0.79,500
2015-04-08,0.81,0.81,0.81,0.81,0.81,550000
2015-04-09,0.79,0.79,0.77,0.77,0.77,600000
2015-04-10,0.79,0.79,0.79,0.79,0.79,500
2015-04-16,0.73,0.73,0.73,0.73,0.73,500000
2015-04-17,0.61,0.62,0.59,0.6,0.6,128900
2015-04-20,0.62,0.63,0.6,0.6,0.6,207800
2015-04-21,0.58,0.58,0.56,0.56,0.56,2200
2015-04-22,0.57,0.59,0.56,0.59,0.59,1001000
2015-04-23,0.58,0.58,0.55,0.58,0.58,381200
2015-04-24,0.55,0.57,0.55,0.56,0.56,200400
2015-04-28,0.55,0.57,0.55,0.57,0.57,50400
2015-04-29,0.57,0.58,0.56,0.56,0.56,8000
2015-04-30,0.54,0.54,0.53,0.53,0.53,700
2015-05-06,0.5,0.5,0.49,0.49,0.49,5200
2015-05-08,0.53,0.53,0.53,0.53,0.53,200
2015-05-12,0.55,0.57,0.55,0.57,0.57,20000
2015-05-13,0.57,0.57,0.53,0.56,0.56,92600
2015-05-14,0.56,0.56,0.55,0.55,0.55,315800
2015-05-15,0.55,0.55,0.53,0.53,0.53,73800
2015-05-18,0.53,0.53,0.53,0.53,0.53,600
2015-05-19,0.51,0.51,0.47,0.48,0.48,845900
2015-05-20,0.48,0.48,0.45,0.45,0.45,64400
2015-05-22,0.43,0.46,0.43,0.45,0.45,250100
2015-05-25,0.45,0.45,0.45,0.45,0.45,100300
2015-05-26,0.48,0.48,0.48,0.48,0.48,60000
2015-05-27,0.48,0.5,0.46,0.46,0.46,65300
2015-05-29,0.45,0.45,0.43,0.43,0.43,5200
2015-06-03,0.43,0.43,0.43,0.43,0.43,5000
2015-06-04,0.43,0.43,0.42,0.42,0.42,41000
