Date,Open,High,Low,Close,Adj Close,Volume
2018-02-02,0.75,0.75,0.68,0.68,0.68,3520700
2018-02-05,0.57,0.63,0.57,0.61,0.61,10459100
2018-02-06,0.51,0.62,0.51,0.61,0.61,18608100
2018-02-07,0.62,0.62,0.52,0.54,0.54,13078500
2018-02-08,0.53,0.53,0.47,0.49,0.49,11890900
2018-02-09,0.47,0.54,0.47,0.53,0.53,15955800
2018-02-12,0.54,0.55,0.53,0.54,0.54,8171200
2018-02-13,0.55,0.56,0.52,0.54,0.54,15852300
2018-02-14,0.53,0.55,0.5,0.5,0.5,10838800
2018-02-15,0.52,0.54,0.52,0.54,0.54,9303500
2018-02-16,0.53,0.6,0.53,0.58,0.58,7975300
2018-02-19,0.61,0.62,0.58,0.58,0.58,23578200
2018-02-20,0.59,0.61,0.55,0.56,0.56,3071800
2018-02-21,0.57,0.57,0.53,0.55,0.55,5362900
2018-02-22,0.55,0.66,0.55,0.56,0.56,31999000
2018-02-23,0.59,0.59,0.57,0.59,0.59,6900500
2018-02-26,0.6,0.69,0.6,0.69,0.69,20321000
2018-02-27,0.74,0.8,0.73,0.75,0.75,21778800
2018-02-28,0.73,0.82,0.72,0.75,0.75,27353900
2018-03-02,0.72,0.77,0.71,0.73,0.73,19679700
2018-03-05,0.73,0.73,0.63,0.66,0.66,17767100
2018-03-06,0.68,0.73,0.68,0.69,0.69,15931800
2018-03-07,0.64,0.64,0.52,0.53,0.53,23707100
2018-03-08,0.56,0.61,0.53,0.57,0.57,13809600
2018-03-09,0.61,0.64,0.58,0.64,0.64,8883500
2018-03-12,0.71,0.72,0.67,0.69,0.69,8529500
2018-03-13,0.67,0.72,0.67,0.7,0.7,8961400
2018-03-14,0.67,0.69,0.65,0.65,0.65,11185800
2018-03-15,0.67,0.77,0.67,0.77,0.77,12065700
2018-03-16,0.74,0.85,0.73,0.85,0.85,11653600
2018-03-19,0.84,0.86,0.73,0.73,0.73,23845800
2018-03-20,0.69,0.74,0.69,0.74,0.74,9419400
2018-03-21,0.75,0.78,0.65,0.67,0.67,19605300
2018-03-22,0.71,0.76,0.7,0.72,0.72,18472500
2018-03-23,0.68,0.73,0.67,0.73,0.73,15850400
2018-03-26,0.76,0.76,0.72,0.74,0.74,13586500
2018-03-27,0.75,0.75,0.66,0.67,0.67,11209300
2018-03-28,0.66,0.68,0.63,0.64,0.64,10425300
2018-03-29,0.65,0.65,0.54,0.56,0.56,14663000
2018-03-30,0.58,0.59,0.55,0.55,0.55,4980800
2018-04-02,0.54,0.61,0.54,0.61,0.61,11694200
2018-04-03,0.59,0.63,0.57,0.58,0.58,8641600
2018-04-04,0.57,0.59,0.47,0.47,0.47,13610000
2018-04-05,0.51,0.57,0.51,0.57,0.57,6112400
2018-04-09,0.57,0.63,0.56,0.63,0.63,10023000
2018-04-10,0.64,0.64,0.53,0.54,0.54,10045300
2018-04-11,0.55,0.57,0.53,0.57,0.57,10959800
2018-04-12,0.57,0.6,0.56,0.58,0.58,6625400
2018-04-17,0.55,0.57,0.53,0.54,0.54,8665900
2018-04-18,0.55,0.6,0.55,0.6,0.6,11285500
2018-04-19,0.61,0.8,0.61,0.8,0.8,32610200
2018-04-20,0.8,0.85,0.76,0.84,0.84,18955200
2018-04-23,0.82,0.91,0.64,0.64,0.64,32313400
2018-04-24,0.66,0.71,0.61,0.61,0.61,26495800
2018-04-25,0.57,0.59,0.52,0.56,0.56,20897300
2018-04-26,0.57,0.58,0.53,0.54,0.54,26846800
2018-04-27,0.56,0.58,0.53,0.57,0.57,20899900
2018-04-30,0.58,0.58,0.54,0.56,0.56,9857100
2018-05-02,0.53,0.55,0.49,0.55,0.55,23245000
2018-05-03,0.54,0.56,0.52,0.52,0.52,30875900
2018-05-04,0.5,0.52,0.47,0.47,0.47,19452700
2018-05-07,0.5,0.51,0.48,0.51,0.51,15853800
2018-05-08,0.5,0.5,0.38,0.39,0.39,22266400
2018-05-09,0.38,0.41,0.36,0.39,0.39,17008300
2018-05-10,0.4,0.41,0.34,0.34,0.34,15705100
2018-05-11,0.35,0.39,0.35,0.39,0.39,13931800
2018-05-14,0.38,0.38,0.36,0.37,0.37,5657200
2018-05-15,0.39,0.41,0.37,0.37,0.37,9697900
2018-05-16,0.36,0.37,0.33,0.33,0.33,11672000
2018-05-17,0.33,0.43,0.33,0.42,0.42,20460800
2018-05-18,0.44,0.45,0.36,0.36,0.36,12802900
2018-05-21,0.37,0.4,0.37,0.39,0.39,7228400
2018-05-22,0.38,0.4,0.36,0.36,0.36,16793900
2018-05-23,0.37,0.38,0.36,0.36,0.36,8864900
2018-05-24,0.35,0.35,0.28,0.28,0.28,9075200
2018-05-25,0.28,0.28,0.21,0.24,0.24,18045600
2018-05-28,0.19,0.19,0.15,0.17,0.17,11948300
2018-05-30,0.13,0.18,0.12,0.18,0.18,18865700
2018-05-31,0.19,0.19,0.16,0.17,0.17,9345700
2018-06-01,0.16,0.16,0.13,0.13,0.13,7635200
2018-06-04,0.12,0.13,0.11,0.11,0.11,5812400
2018-06-05,0.12,0.15,0.11,0.15,0.15,9244100
2018-06-06,0.15,0.16,0.13,0.13,0.13,13122400
2018-06-07,0.16,0.19,0.16,0.16,0.16,19631300
2018-06-08,0.16,0.16,0.14,0.15,0.15,5806600
