Date,Open,High,Low,Close,Adj Close,Volume
2013-06-10,2.02,2.02,2.02,2.02,2.02,10000000
2013-06-11,2.16,2.16,2.16,2.16,2.16,10002400
2013-06-12,2.14,2.18,2.14,2.18,2.18,1000
2013-06-13,2.3,2.34,2.3,2.34,2.34,300
2013-06-17,2.04,2.04,1.99,1.99,1.99,500
2013-06-18,1.92,2.06,1.92,2.06,2.06,5100
2013-06-19,2.06,2.06,2.02,2.02,2.02,2100
2013-06-21,2.04,2.04,2.04,2.04,2.04,2000000
2013-07-05,1.95,1.95,1.92,1.93,1.93,26000
2013-07-08,1.85,1.85,1.85,1.85,1.85,10000
2013-07-09,1.89,1.9,1.89,1.9,1.9,4100
2013-07-11,1.82,1.82,1.77,1.77,1.77,10100
2013-07-12,1.76,1.78,1.74,1.74,1.74,390100
2013-07-15,1.78,1.78,1.78,1.78,1.78,1000
2013-07-16,1.85,1.85,1.85,1.85,1.85,10000
2013-07-17,1.79,1.8,1.78,1.8,1.8,80000
2013-07-18,1.78,1.78,1.78,1.78,1.78,10000
2013-07-19,1.73,1.73,1.73,1.73,1.73,100
2013-07-23,1.71,1.71,1.71,1.71,1.71,10000
2013-07-25,1.74,1.74,1.74,1.74,1.74,20000
2013-07-26,1.78,1.78,1.73,1.73,1.73,60000
2013-07-29,1.77,1.77,1.77,1.77,1.77,110000
2013-07-30,1.82,1.88,1.81,1.88,1.88,545300
2013-07-31,1.95,2.14,1.95,2.12,2.12,212000
2013-08-01,1.96,1.97,1.93,1.94,1.94,3277200
2013-08-02,1.92,2,1.92,1.97,1.97,2624600
2013-08-05,1.97,1.97,1.89,1.89,1.89,2040700
2013-08-06,1.91,1.91,1.89,1.89,1.89,100100
2013-08-08,1.86,1.86,1.8,1.84,1.84,1139800
2013-08-09,1.84,1.84,1.81,1.83,1.83,110000
2013-08-13,1.7,1.72,1.7,1.7,1.7,129300
2013-08-14,1.69,1.69,1.66,1.66,1.66,60400
2013-08-15,1.69,1.8,1.69,1.78,1.78,175000
2013-08-16,1.89,1.9,1.81,1.81,1.81,875000
