Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,57.8,58.5,57.4,57.5,57.5,84
2018-04-25,57.38,57.38,56.84,57.19,57.19,20
2018-04-26,56.5,56.5,56.5,56.5,56.5,21
2018-04-27,56.37,56.37,56.37,56.37,56.37,1
2018-04-30,56.75,56.75,56.75,56.75,56.75,50
2018-05-02,55.83,56.7,55.83,56.7,56.7,33
2018-05-03,56.5,57,56.5,57,57,79
2018-05-04,57.1,57.1,56.36,56.36,56.36,22
2018-05-08,55.11,55.11,55.11,55.11,55.11,21
2018-05-10,56.08,56.08,56.08,56.08,56.08,64
2018-05-11,55.6,56.4,55.6,56.4,56.4,62
2018-05-15,56.08,56.08,56.08,56.08,56.08,21
2018-05-16,56.71,56.71,56.71,56.71,56.71,20
2018-05-21,58.29,58.29,58.29,58.29,58.29,20
2018-05-22,56.05,56.29,55.54,55.54,55.54,47
2018-05-23,53.5,53.8,53,53.18,53.18,9
2018-05-24,52.79,52.79,51.35,51.35,51.35,71
2018-05-25,50.76,52,50.76,52,52,23
2018-05-28,51.01,51.01,50,50,50,51
2018-05-30,49.69,51.01,49.69,51,51,93
2018-05-31,52.27,53,52.15,53,53,84
2018-06-04,51.75,51.75,51.75,51.75,51.75,40
2018-06-05,51.61,51.61,51.61,51.61,51.61,61
2018-06-06,52.48,52.48,52.48,52.48,52.48,21
2018-06-07,52.4,52.4,52.4,52.4,52.4,1
2018-06-08,51.5,51.5,51.5,51.5,51.5,21
2018-06-11,50.71,50.97,50.71,50.8,50.8,3
2018-06-12,51.22,51.22,51.22,51.22,51.22,1
2018-06-13,52.48,52.48,52.48,52.48,52.48,20
2018-06-14,50.51,50.51,50.21,50.21,50.21,3
2018-06-18,48.7,48.7,48,48,48,24
2018-06-19,47.99,48.42,47.33,47.38,47.38,50
2018-06-20,48,48.8,48,48.8,48.8,7
2018-06-21,47.57,47.77,47.5,47.5,47.5,6
2018-06-22,48.02,48.02,48.02,48.02,48.02,20
2018-06-25,49,49,49,49,49,20
2018-06-26,48.37,48.37,48.37,48.37,48.37,60
2018-06-27,48.48,48.48,48.01,48.01,48.01,46
2018-06-28,47.6,47.62,47.48,47.48,47.48,11
2018-06-29,47.21,47.46,47.09,47.35,47.35,15
2018-07-02,46.91,47.42,46.75,47.42,47.42,7
2018-07-03,47.18,47.19,47.18,47.19,47.19,3
2018-07-04,46.92,46.92,46.9,46.9,46.9,25
2018-07-05,47.04,47.04,45.58,45.7,45.7,28
2018-07-06,45.43,46,44.26,45.62,45.62,13
2018-07-09,46.7,46.7,46.26,46.31,46.31,12
2018-07-10,46.54,48.28,46.5,48.15,48.15,55
2018-07-11,48.01,48.1,48,48.1,48.1,27
2018-07-12,48,48,47.7,47.7,47.7,2
2018-07-13,47.58,47.58,47,47.01,47.01,17
2018-07-16,47.07,47.07,47.06,47.06,47.06,6
2018-07-17,47.21,47.74,47.2,47.49,47.49,82
2018-07-18,48.56,49.05,48.56,48.84,48.84,108
2018-07-20,49.16,50.59,49.16,50.58,50.58,165
2018-07-23,50.6,50.6,50.6,50.6,50.6,42
2018-07-24,51,51,49.75,49.82,49.82,32
2018-07-26,51.18,51.18,51.18,51.18,51.18,41
2018-07-31,50.57,51.29,50.57,50.74,50.74,43
2018-08-01,50.75,51.4,50.75,51.4,51.4,153
2018-08-02,51.58,51.58,51.33,51.35,51.35,223
2018-08-03,51.75,51.75,51.75,51.75,51.75,40
2018-08-06,51.5,51.5,51.5,51.5,51.5,80
2018-08-07,53.52,53.52,53.52,53.52,53.52,80
2018-08-08,53.01,53.01,53.01,53.01,53.01,100
2018-08-09,52.57,52.57,52.57,52.57,52.57,111
2018-08-10,51.75,51.75,51.5,51.5,51.5,63
2018-08-14,51.09,51.09,51.06,51.06,51.06,82
2018-08-15,50.85,50.85,50.3,50.3,50.3,42
2018-08-16,50.3,50.3,49.47,50.08,50.08,4
2018-08-17,52.03,52.03,52.03,52.03,52.03,120
2018-08-20,51.32,51.79,51.32,51.79,51.79,22
2018-08-21,51.82,51.82,50.72,51,51,23
2018-08-22,50.85,50.85,50.85,50.85,50.85,41
2018-08-23,51.5,51.5,51.5,51.5,51.5,121
2018-08-27,51.75,51.75,51.56,51.56,51.56,7
2018-08-28,51.96,52.29,51.96,51.97,51.97,108
2018-08-29,51.79,51.79,51.79,51.79,51.79,9
2018-08-30,51.8,51.8,51.7,51.7,51.7,2
2018-08-31,51.99,51.99,51.99,51.99,51.99,7
2018-09-03,51.8,51.8,51.8,51.8,51.8,81
2018-09-04,51.75,52.2,51.75,51.75,51.75,68
2018-09-05,51.2,51.2,49.9,50.18,50.18,187
2018-09-06,49.52,49.99,49.49,49.98,49.98,156
2018-09-07,49.39,49.4,49.3,49.35,49.35,47
2018-09-10,49.04,49.73,49.02,49.73,49.73,23
2018-09-11,48.8,48.8,48.43,48.47,48.47,123
2018-09-12,48.47,48.85,48.4,48.85,48.85,50
2018-09-13,50.15,51.35,49.98,51.34,51.34,206
2018-09-14,51.39,51.39,51.39,51.39,51.39,122
2018-09-17,50.93,50.93,50.47,50.47,50.47,201
2018-09-18,51.19,51.72,51.03,51.7,51.7,126
2018-09-19,51.89,52.49,51.89,52.27,52.27,614
2018-09-20,52.68,53.2,52.07,53,53,804
2018-09-21,53.34,53.35,52.75,52.98,52.98,771
2018-09-24,52.97,53.4,52.97,53.25,53.25,375
2018-09-25,53.21,53.6,53.2,53.44,53.44,524
2018-09-26,53.55,53.93,53.54,53.9,53.9,247
2018-09-27,53.71,53.8,52.68,53.53,53.53,788
2018-09-28,53.95,53.95,53.55,53.85,53.85,477
2018-10-01,54.29,54.5,54.01,54.48,54.48,490
2018-10-02,53.56,54.6,53.56,53.6,53.6,495
