Date,Open,High,Low,Close,Adj Close,Volume
2005-12-23,2.7,2.72,2.32,2.32,2.32,23886210
2005-12-26,2.32,2.32,2.16,2.16,2.16,2883300
2005-12-27,2.16,2.2,2,2.04,2.04,3651400
2005-12-28,2.06,2.14,2.04,2.14,2.14,2806700
2005-12-29,2.14,2.18,2.12,2.12,2.12,1604800
2005-12-30,2.14,2.14,2.08,2.08,2.08,839600
2006-01-03,2.08,2.08,2,2.04,2.04,1633500
2006-01-04,2.04,2.1,2.04,2.04,2.04,1683900
2006-01-05,2.06,2.14,2.04,2.04,2.04,3194900
2006-01-06,2.06,2.12,2.04,2.08,2.08,2105400
2006-01-09,2.1,2.14,2.1,2.12,2.12,1428800
2006-01-10,2.12,2.18,2.12,2.14,2.14,2174800
2006-01-11,2.18,2.26,2.16,2.2,2.2,3320300
2006-01-12,2.22,2.24,2.16,2.2,2.2,1594600
2006-01-13,2.2,2.32,2.2,2.3,2.3,3742301
2006-01-16,2.28,2.3,2.24,2.26,2.26,1425100
2006-01-17,2.28,2.3,2.14,2.2,2.2,1469100
2006-01-18,2.2,2.2,2.12,2.16,2.16,815000
2006-01-19,2.2,2.2,2.14,2.2,2.2,232500
2006-01-20,2.18,2.22,2.14,2.2,2.2,898000
2006-01-23,2.2,2.2,2.16,2.18,2.18,387000
2006-01-24,2.2,2.2,2.14,2.16,2.16,683000
2006-01-25,2.16,2.26,2.16,2.26,2.26,1518400
2006-01-26,2.3,2.32,2.28,2.3,2.3,1158500
2006-01-27,2.32,2.36,2.3,2.3,2.3,898900
2006-01-30,2.32,2.32,2.24,2.28,2.28,353000
2006-01-31,2.28,2.28,2.24,2.24,2.24,356600
2006-02-01,2.24,2.28,2.2,2.2,2.2,166800
2006-02-02,2.2,2.2,2.12,2.14,2.14,542000
2006-02-03,2.14,2.18,2.14,2.18,2.18,405300
2006-02-06,2.16,2.16,2.14,2.14,2.14,60000
2006-02-07,2.14,2.16,2.14,2.16,2.16,466700
2006-02-08,2.14,2.14,2.12,2.14,2.14,433800
2006-02-09,2.14,2.16,2.12,2.14,2.14,393000
2006-02-10,2.12,2.12,2.1,2.12,2.12,227300
2006-02-14,2.1,2.14,2.08,2.1,2.1,300300
2006-02-15,2.12,2.18,2.12,2.14,2.14,288400
2006-02-16,2.16,2.16,2.1,2.12,2.12,190500
2006-02-17,2.12,2.12,2.12,2.12,2.12,71700
2006-02-20,2.12,2.14,2.12,2.14,2.14,57000
2006-02-21,2.14,2.18,2.08,2.12,2.12,356500
2006-02-22,2.1,2.14,2.08,2.14,2.14,231200
2006-02-23,2.1,2.14,2.1,2.1,2.1,100000
2006-02-24,2.08,2.14,2.08,2.12,2.12,269601
2006-02-27,2.1,2.12,2.04,2.06,2.06,533500
2006-02-28,2.04,2.1,2.04,2.08,2.08,83800
2006-03-01,2.06,2.06,2.02,2.06,2.06,530300
2006-03-02,2.06,2.06,2.04,2.04,2.04,26000
2006-03-03,2.04,2.04,1.98,2.04,2.04,858800
2006-03-06,2,2.02,1.96,2,2,328400
2006-03-07,2,2,1.97,2,2,396800
2006-03-08,1.98,2.02,1.98,2.02,2.02,169401
2006-03-09,2.02,2.1,2.02,2.04,2.04,243700
2006-03-10,2.04,2.08,2.04,2.06,2.06,125200
2006-03-13,2.04,2.06,2.04,2.06,2.06,15001
2006-03-14,2.06,2.06,2.04,2.06,2.06,50000
2006-03-15,2.06,2.18,2.06,2.08,2.08,2452400
2006-03-16,2.1,2.1,2.04,2.04,2.04,547300
2006-03-17,2.08,2.1,2.04,2.04,2.04,476000
2006-03-20,2.04,2.06,2.02,2.06,2.06,90500
2006-03-21,2.06,2.06,2.04,2.04,2.04,297100
2006-03-22,2.06,2.06,2.02,2.02,2.02,355300
2006-03-23,2.06,2.06,2.04,2.06,2.06,75000
2006-03-24,2.06,2.06,2.06,2.06,2.06,20000
2006-03-27,2.06,2.06,2.04,2.04,2.04,279500
