Date,Open,High,Low,Close,Adj Close,Volume
2013-12-25,0.58,0.59,0.57,0.57,0.57,7103100
2013-12-26,0.58,0.58,0.58,0.58,0.58,90000
2014-01-02,0.51,0.51,0.49,0.49,0.49,93000
2014-01-03,0.45,0.45,0.43,0.43,0.43,81000
2014-01-06,0.39,0.4,0.39,0.4,0.4,35000
2014-01-07,0.45,0.5,0.45,0.49,0.49,11127000
2014-01-08,0.48,0.49,0.47,0.49,0.49,265500
2014-01-09,0.49,0.51,0.46,0.46,0.46,3295400
2014-01-10,0.44,0.44,0.44,0.44,0.44,130000
2014-01-13,0.48,0.49,0.48,0.49,0.49,320000
2014-01-14,0.52,0.55,0.52,0.55,0.55,109700
2014-01-15,0.54,0.54,0.54,0.54,0.54,64000
2014-01-16,0.52,0.56,0.52,0.56,0.56,16900
2014-01-17,0.55,0.57,0.52,0.54,0.54,156400
2014-01-20,0.54,0.54,0.54,0.54,0.54,500
2014-01-21,0.55,0.55,0.55,0.55,0.55,15000
2014-01-22,0.53,0.54,0.52,0.52,0.52,4110800
2014-01-23,0.52,0.52,0.52,0.52,0.52,53400
2014-01-24,0.53,0.53,0.51,0.51,0.51,118900
2014-01-27,0.5,0.51,0.5,0.5,0.5,489900
2014-01-28,0.49,0.5,0.49,0.5,0.5,14500
2014-01-29,0.49,0.49,0.47,0.47,0.47,51200
2014-01-30,0.46,0.46,0.46,0.46,0.46,46800
2014-01-31,0.47,0.47,0.47,0.47,0.47,7200
2014-02-03,0.48,0.48,0.48,0.48,0.48,24800
2014-02-04,0.47,0.47,0.45,0.45,0.45,72000
2014-02-05,0.46,0.46,0.46,0.46,0.46,50000
2014-02-06,0.48,0.5,0.48,0.5,0.5,512200
2014-02-07,0.5,0.51,0.49,0.49,0.49,145000
2014-02-10,0.51,0.51,0.48,0.49,0.49,165900
2014-02-11,0.48,0.49,0.48,0.49,0.49,75200
2014-02-12,0.49,0.49,0.49,0.49,0.49,25400
2014-02-13,0.5,0.53,0.5,0.53,0.53,3700
2014-02-17,0.54,0.59,0.54,0.59,0.59,256600
2014-02-18,0.56,0.6,0.54,0.6,0.6,1783400
2014-02-19,0.58,0.58,0.57,0.58,0.58,510200
2014-02-20,0.56,0.56,0.53,0.53,0.53,435600
2014-02-21,0.51,0.55,0.51,0.55,0.55,1255000
2014-02-24,0.52,0.52,0.51,0.52,0.52,192300
2014-02-25,0.52,0.52,0.5,0.5,0.5,444000
2014-02-26,0.49,0.52,0.49,0.5,0.5,1599500
2014-02-27,0.51,0.55,0.51,0.53,0.53,1616800
2014-02-28,0.54,0.55,0.54,0.55,0.55,1401900
2014-03-03,0.55,0.6,0.55,0.59,0.59,3056400
2014-03-04,0.59,0.62,0.59,0.62,0.62,1267100
2014-03-05,0.63,0.64,0.61,0.63,0.63,817300
2014-03-06,0.62,0.64,0.62,0.63,0.63,2276400
2014-03-07,0.63,0.63,0.62,0.63,0.63,1201200
2014-03-10,0.62,0.62,0.59,0.62,0.62,1156700
2014-03-11,0.62,0.63,0.62,0.63,0.63,450000
2014-03-12,0.61,0.62,0.6,0.6,0.6,817400
2014-03-13,0.61,0.61,0.61,0.61,0.61,641200
2014-03-14,0.6,0.63,0.6,0.63,0.63,92900
2014-03-17,0.64,0.64,0.63,0.64,0.64,2217600
2014-03-18,0.69,0.71,0.67,0.67,0.67,2337300
2014-03-19,0.66,0.67,0.65,0.65,0.65,130600
2014-03-20,0.63,0.63,0.63,0.63,0.63,41000
2014-03-21,0.63,0.64,0.63,0.63,0.63,710200
2014-03-24,0.62,0.62,0.6,0.61,0.61,430600
2014-03-25,0.59,0.59,0.58,0.59,0.59,784000
2014-03-26,0.58,0.61,0.58,0.61,0.61,1506800
2014-03-27,0.62,0.62,0.61,0.61,0.61,28000
2014-03-28,0.61,0.62,0.61,0.62,0.62,809200
2014-03-31,0.63,0.63,0.6,0.6,0.6,120100
2014-04-01,0.6,0.61,0.6,0.6,0.6,901400
2014-04-02,0.61,0.63,0.61,0.63,0.63,14200
2014-04-03,0.64,0.67,0.64,0.66,0.66,4084000
2014-04-04,0.65,0.67,0.65,0.66,0.66,859300
2014-04-08,0.66,0.66,0.66,0.66,0.66,652400
2014-04-09,0.64,0.67,0.64,0.67,0.67,1505000
2014-04-10,0.66,0.66,0.66,0.66,0.66,2822400
2014-04-11,0.66,0.66,0.66,0.66,0.66,1356800
2014-04-16,0.67,0.7,0.67,0.7,0.7,2068300
2014-04-17,0.71,0.72,0.71,0.72,0.72,3029800
2014-04-18,0.69,0.69,0.67,0.68,0.68,1835600
2014-04-21,0.69,0.75,0.68,0.74,0.74,474300
2014-04-22,0.73,0.75,0.73,0.75,0.75,28200
2014-04-23,0.73,0.74,0.73,0.73,0.73,1768200
2014-04-24,0.72,0.72,0.72,0.72,0.72,3043200
2014-04-25,0.73,0.74,0.7,0.7,0.7,2842200
2014-04-28,0.7,0.74,0.7,0.74,0.74,3380300
2014-04-29,0.74,0.75,0.73,0.74,0.74,2498000
2014-04-30,0.73,0.75,0.73,0.73,0.73,4640200
2014-05-02,0.74,0.74,0.74,0.74,0.74,433400
2014-05-06,0.72,0.72,0.72,0.72,0.72,100000
2014-05-07,0.7,0.7,0.7,0.7,0.7,24000
2014-05-08,0.66,0.66,0.6,0.62,0.62,983000
2014-05-09,0.58,0.58,0.58,0.58,0.58,645300
2014-05-12,0.59,0.62,0.59,0.62,0.62,1674600
2014-05-14,0.64,0.68,0.64,0.68,0.68,1186000
2014-05-15,0.68,0.68,0.65,0.67,0.67,1093400
2014-05-16,0.65,0.69,0.65,0.68,0.68,135000
2014-05-19,0.69,0.71,0.69,0.71,0.71,755400
2014-05-20,0.66,0.68,0.66,0.68,0.68,890600
2014-05-21,0.69,0.71,0.68,0.71,0.71,1482800
2014-05-22,0.71,0.71,0.7,0.7,0.7,102000
2014-05-26,0.7,0.71,0.7,0.71,0.71,919600
2014-05-27,0.68,0.69,0.68,0.69,0.69,933100
2014-05-28,0.72,0.75,0.72,0.73,0.73,954800
2014-05-29,0.73,0.73,0.73,0.73,0.73,2259600
2014-05-30,0.7,0.78,0.7,0.78,0.78,1471100
2014-06-02,0.79,0.83,0.77,0.83,0.83,4084200
2014-06-03,0.88,0.88,0.86,0.86,0.86,2745200
2014-06-04,0.85,0.85,0.8,0.82,0.82,315000
2014-06-05,0.82,0.83,0.82,0.82,0.82,17000
2014-06-06,0.85,0.86,0.84,0.86,0.86,1458800
2014-06-09,0.83,0.85,0.83,0.85,0.85,1436700
2014-06-10,0.84,0.84,0.84,0.84,0.84,8000
2014-06-11,0.87,0.87,0.85,0.85,0.85,204200
2014-06-13,0.84,0.85,0.84,0.85,0.85,320000
2014-06-16,0.8,0.8,0.78,0.78,0.78,814200
2014-06-17,0.76,0.76,0.72,0.76,0.76,534300
2014-06-18,0.74,0.74,0.68,0.7,0.7,59600
2014-06-20,0.78,0.82,0.76,0.82,0.82,701000
2014-06-26,0.82,0.86,0.82,0.86,0.86,266700
