Date,Open,High,Low,Close,Adj Close,Volume
2016-09-01,22,22.1,18.4,18.5,18.5,138531800
2016-09-02,18.8,19.9,18.7,19.8,19.8,59023200
2016-09-05,19.7,19.7,18,19.1,19.1,36007400
2016-09-06,19.4,20.2,19.4,19.6,19.6,32748800
2016-09-07,19.8,19.9,19.1,19.2,19.2,21552200
2016-09-08,19.4,19.5,18.8,19,19,10489200
2016-09-09,19,19.7,18.8,19.6,19.6,7591800
2016-09-12,19.2,19.4,18.9,18.9,18.9,2082300
2016-09-13,19.2,19.7,18.9,19.6,19.6,2833000
2016-09-14,19.6,20.6,19.4,20.4,20.4,8326000
2016-09-15,20.6,21.1,19.8,20.2,20.2,16666800
2016-09-16,20,20.4,20,20.3,20.3,1372600
2016-09-19,20.2,21,20.2,20.9,20.9,3688300
2016-09-20,20.9,20.9,20.1,20.6,20.6,3398600
2016-09-21,20.7,22,20.7,21.7,21.7,13656800
2016-09-22,21.8,21.9,21.5,21.8,21.8,2600000
2016-09-23,21.8,21.8,21.1,21.6,21.6,5826800
2016-09-26,21.4,22.7,21.4,22.7,22.7,13064900
2016-09-27,22.4,22.8,22.2,22.4,22.4,6341400
2016-09-28,22.6,23.3,22.4,23.3,23.3,11245800
2016-09-29,23.4,23.9,23.1,23.3,23.3,9479200
2016-09-30,23.1,23.3,22.7,23.3,23.3,4084300
2016-10-03,23.3,23.7,23.1,23.4,23.4,4656400
2016-10-04,23.4,24,23.4,23.9,23.9,5563400
2016-10-05,24,24,23.5,23.9,23.9,3783700
2016-10-06,23.9,23.9,23.3,23.6,23.6,2569900
2016-10-07,23.6,23.8,23.2,23.5,23.5,2526200
2016-10-10,21.2,22.9,21.2,22.2,22.2,4823400
2016-10-11,22.4,22.6,20.4,21.3,21.3,9342700
2016-10-12,20.8,21.2,18.6,21,21,13457200
2016-10-13,20.4,21.6,20.1,21.4,21.4,2842300
2016-10-14,21.7,23.4,21.3,23,23,8976000
2016-10-17,22.9,23.5,22.7,23.5,23.5,4996400
2016-10-18,23.7,23.7,23.2,23.5,23.5,1583100
2016-10-19,23.3,23.6,23.3,23.6,23.6,1046800
2016-10-20,23.8,24,23.6,23.8,23.8,1961300
2016-10-21,23.9,23.9,23.6,23.9,23.9,2082100
2016-10-25,23.8,23.9,23.5,23.8,23.8,1039200
2016-10-26,23.8,24.4,23.8,23.8,23.8,3255100
2016-10-27,24,24,23,23.9,23.9,3675800
2016-10-28,23.6,23.8,23.1,23.7,23.7,2448300
2016-10-31,23.7,23.8,23.6,23.7,23.7,129700
2016-11-01,23.7,24.1,23.7,24,24,1053900
2016-11-02,23.8,24,23.6,23.7,23.7,811400
2016-11-03,23.9,23.9,23.5,23.6,23.6,331300
2016-11-04,23.5,23.6,23.1,23.5,23.5,1081700
2016-11-07,23.6,23.6,23.3,23.6,23.6,771000
2016-11-08,23.6,23.6,23.2,23.5,23.5,754300
2016-11-09,23.1,23.3,23,23.2,23.2,2545350
2016-11-10,23.3,24.3,23.3,24,24,3599900
2016-11-11,24.1,24.1,23.5,23.8,23.8,1077900
2016-11-14,23.6,23.7,23.2,23.7,23.7,754100
2016-11-15,23.7,23.7,23.2,23.5,23.5,569400
2016-11-16,23.5,23.8,23.3,23.7,23.7,1121200
2016-11-17,23.6,23.6,23.5,23.6,23.6,316500
2016-11-18,23.5,23.6,23.4,23.6,23.6,217100
2016-11-21,23.6,23.6,23.4,23.6,23.6,169800
2016-11-22,23.7,23.8,23.6,23.7,23.7,203500
2016-11-23,23.7,25,23.7,25,25,6728400
2016-11-24,25.25,25.25,24.8,25,25,980700
2016-11-25,25,25.25,24.7,25,25,1066300
2016-11-28,25,26,24.8,26,26,2300600
2016-11-29,26.25,26.25,24.9,25.25,25.25,2663000
2016-11-30,25,25,24.5,24.8,24.8,1981700
2016-12-01,24.8,25.25,24.8,25,25,1341600
2016-12-02,25,25.5,24.7,25.25,25.25,2859500
2016-12-06,25.75,26.75,25.5,26,26,5516700
2016-12-07,26.25,26.25,25.5,25.75,25.75,1822100
2016-12-08,26,26.5,25.5,26,26,3235100
2016-12-09,26,26.5,26,26.5,26.5,1409900
2016-12-13,26.5,26.75,26,26,26,1061700
2016-12-14,26,26,25.5,25.5,25.5,767000
2016-12-15,25.5,26.25,25.5,25.5,25.5,1003800
2016-12-16,25.75,26.25,25.5,25.75,25.75,539300
2016-12-19,25.75,26,25.25,25.25,25.25,1078700
2016-12-20,25.5,26.25,25.25,26,26,3005800
2016-12-21,26,26.25,25.5,25.5,25.5,410700
2016-12-22,25.75,25.75,25,25,25,849000
2016-12-23,25,25.25,24.8,25.25,25.25,2289700
2016-12-26,25,25.25,24.8,24.9,24.9,1097500
2016-12-27,25,25,24.8,24.9,24.9,1208000
2016-12-28,24.9,25,24.8,24.9,24.9,921600
2016-12-29,25,25.25,24.9,25,25,364300
2016-12-30,25.25,25.5,25.25,25.5,25.5,966700
2017-01-04,25.25,25.75,25.25,25.25,25.25,296700
2017-01-05,25.75,26.25,25.25,26.25,26.25,6132800
2017-01-06,26.25,26.75,26,26.75,26.75,2581200
2017-01-09,26.75,26.75,26,26.75,26.75,1579800
2017-01-10,26.25,27,26.25,27,27,931400
2017-01-11,26.75,27.25,26.75,26.75,26.75,864600
2017-01-12,26.75,26.75,26.25,26.25,26.25,262200
2017-01-13,26.5,27.5,26.25,27,27,2860600
2017-01-16,27.25,27.5,26.75,26.75,26.75,693200
2017-01-17,27,27.75,26.75,27.75,27.75,1642400
2017-01-18,28,28,27.5,27.5,27.5,1802800
2017-01-19,27.5,27.5,26.5,26.75,26.75,2211400
2017-01-20,26.75,28,26.5,27.75,27.75,1126500
2017-01-23,27.75,28.5,27.75,27.75,27.75,1169100
2017-01-24,28,28.25,27.5,27.5,27.5,387900
2017-01-25,27.5,28,27,27.25,27.25,765000
2017-01-26,27.25,27.5,27,27,27,482400
2017-01-27,27,27,26.5,26.5,26.5,1115400
2017-01-30,26.5,28,26.5,28,28,1091500
2017-01-31,28,28,27,27.5,27.5,362900
2017-02-01,27.75,28,27.25,27.75,27.75,1269000
2017-02-02,27.5,27.5,27,27.25,27.25,816000
2017-02-03,27.25,27.75,27.25,27.5,27.5,236600
2017-02-06,27.25,27.5,27,27,27,252400
2017-02-07,27,27.5,27,27.5,27.5,108500
2017-02-08,27.5,27.5,26,26.25,26.25,1735300
2017-02-09,26,26.5,24.7,26.5,26.5,4267000
2017-02-10,26.5,26.5,26,26.5,26.5,424600
2017-02-14,26.5,26.5,25.5,25.75,25.75,526000
2017-02-15,25.75,26,25.5,26,26,662700
2017-02-16,25.75,26.5,25.75,26.25,26.25,492600
2017-02-17,26,26,25.25,25.75,25.75,907500
2017-02-20,26,26,24.9,25,25,916700
2017-02-21,25.25,25.25,24.3,24.3,24.3,1821500
2017-02-22,24.3,24.6,24,24.6,24.6,817500
2017-02-23,24.6,25.25,24.6,25,25,1075800
2017-02-24,25,25.5,24.9,24.9,24.9,1082900
2017-02-27,24.8,24.9,24.3,24.4,24.4,626100
2017-02-28,24.3,24.5,24.1,24.2,24.2,574900
2017-03-01,24.2,25.25,24.2,24.7,24.7,1077600
2017-03-02,24.8,25.25,24.7,24.9,24.9,829100
2017-03-03,24.9,25.25,24.5,24.9,24.9,217000
2017-03-06,24.9,24.9,24.4,24.7,24.7,224800
2017-03-07,24.7,24.7,24.2,24.5,24.5,333400
2017-03-08,24.5,24.5,23.5,23.8,23.8,1067600
2017-03-09,23.6,24,23.6,23.8,23.8,433000
2017-03-10,23.7,24,23.1,23.4,23.4,501800
2017-03-13,23,23.3,22.5,22.5,22.5,766800
2017-03-14,22.5,23.5,22.5,23.5,23.5,270600
2017-03-15,23.5,23.5,22.9,23,23,354400
2017-03-16,23.1,23.3,22.6,22.8,22.8,1783500
2017-03-17,22.6,22.7,22.4,22.5,22.5,1412100
2017-03-20,22.5,22.6,22.2,22.4,22.4,3327700
2017-03-21,22.6,22.7,22.4,22.5,22.5,2241400
2017-03-22,22.5,23.1,22.5,22.9,22.9,1520400
2017-03-23,23,23.1,22.6,22.7,22.7,1102700
2017-03-24,22.7,22.8,22.6,22.8,22.8,150100
2017-03-27,22.8,22.8,22.5,22.6,22.6,727900
2017-03-28,22.6,23.2,22.6,23,23,1320700
2017-03-29,23.2,23.3,22.9,23,23,1754900
2017-03-30,23.2,23.2,23,23,23,582900
2017-03-31,23.1,23.1,22.9,22.9,22.9,360100
2017-04-03,22.9,22.9,22.6,22.7,22.7,540000
2017-04-04,22.7,22.9,22.6,22.9,22.9,582100
2017-04-05,22.8,22.8,22.7,22.7,22.7,573700
2017-04-07,22.7,22.7,22.5,22.5,22.5,171000
2017-04-10,22.5,22.6,22.3,22.5,22.5,352700
2017-04-11,22.7,22.7,22.5,22.6,22.6,370600
2017-04-12,22.7,22.7,22.4,22.6,22.6,167900
2017-04-17,22.5,22.6,22.2,22.2,22.2,203600
2017-04-18,22.2,22.4,22.2,22.2,22.2,133300
2017-04-19,22.2,22.3,21.8,21.9,21.9,485600
2017-04-20,21.7,21.9,21.6,21.6,21.6,283500
2017-04-21,21.7,22,21.6,22,22,355800
2017-04-24,22,22,21.5,21.6,21.6,322600
2017-04-25,21.8,21.9,21.2,21.9,21.9,207800
2017-04-26,21.7,21.7,21.6,21.7,21.7,35500
2017-04-27,21.7,22.3,21.7,22.3,22.3,414200
2017-04-28,22.4,22.4,22.2,22.3,22.3,223200
2017-05-02,22.3,22.9,22.2,22.7,22.7,503800
2017-05-03,22.7,22.7,22.4,22.4,22.4,119000
2017-05-04,22.6,22.8,22.5,22.6,22.6,320300
2017-05-05,22.6,22.6,22.2,22.2,22.2,203200
2017-05-08,22.2,22.4,21.7,21.7,21.7,353100
2017-05-09,21.7,22.1,21.7,21.9,21.9,265600
2017-05-11,21.9,21.9,21.6,21.7,21.7,191500
2017-05-12,21.7,21.7,21.2,21.2,21.2,424700
2017-05-15,21.2,21.2,21,21.1,21.1,238800
