Date,Open,High,Low,Close,Adj Close,Volume
2016-01-13,0.45,0.45,0.43,0.43,0.43,200
2016-01-14,0.41,0.43,0.41,0.42,0.42,213700
2016-01-15,0.47,0.47,0.39,0.39,0.39,138400
2016-01-18,0.37,0.38,0.37,0.38,0.38,145500
2016-01-19,0.38,0.42,0.38,0.41,0.41,724900
2016-01-20,0.38,0.39,0.38,0.38,0.38,771600
2016-01-21,0.4,0.4,0.35,0.37,0.37,971800
2016-01-22,0.36,0.37,0.36,0.37,0.37,967500
2016-01-25,0.37,0.37,0.36,0.36,0.36,455900
2016-01-26,0.35,0.35,0.34,0.34,0.34,134400
2016-01-27,0.34,0.34,0.33,0.33,0.33,259600
2016-01-28,0.32,0.32,0.31,0.31,0.31,962600
2016-01-29,0.32,0.33,0.32,0.32,0.32,135800
2016-02-01,0.32,0.32,0.32,0.32,0.32,20000
2016-02-02,0.31,0.33,0.31,0.33,0.33,136600
2016-02-03,0.32,0.32,0.31,0.32,0.32,855200
2016-02-08,0.3,0.37,0.3,0.36,0.36,2871200
2016-02-09,0.34,0.36,0.33,0.35,0.35,1866600
2016-02-10,0.33,0.33,0.32,0.32,0.32,725400
2016-02-11,0.33,0.33,0.29,0.29,0.29,421900
2016-02-12,0.29,0.3,0.29,0.3,0.3,444600
2016-02-15,0.3,0.31,0.29,0.3,0.3,1562900
2016-02-16,0.31,0.31,0.29,0.29,0.29,273800
2016-02-17,0.29,0.29,0.28,0.28,0.28,870000
2016-02-18,0.29,0.29,0.28,0.28,0.28,1028800
2016-02-19,0.29,0.3,0.29,0.3,0.3,433000
2016-02-23,0.32,0.33,0.31,0.31,0.31,1180200
2016-02-24,0.3,0.3,0.3,0.3,0.3,283000
2016-02-25,0.31,0.35,0.31,0.35,0.35,501000
2016-02-26,0.34,0.35,0.33,0.35,0.35,2053600
2016-02-29,0.32,0.38,0.32,0.38,0.38,951500
2016-03-01,0.38,0.38,0.36,0.38,0.38,600600
2016-03-02,0.39,0.43,0.39,0.43,0.43,153600
2016-03-03,0.41,0.43,0.41,0.42,0.42,539400
2016-03-04,0.44,0.45,0.41,0.42,0.42,268300
2016-03-07,0.44,0.44,0.39,0.4,0.4,654400
2016-03-08,0.4,0.4,0.37,0.37,0.37,212600
2016-03-09,0.39,0.46,0.39,0.46,0.46,492600
2016-03-10,0.42,0.46,0.41,0.44,0.44,623200
2016-03-11,0.46,0.62,0.46,0.53,0.53,1984700
2016-03-14,0.58,0.6,0.52,0.54,0.54,3348700
2016-03-15,0.56,0.59,0.53,0.57,0.57,658000
2016-03-16,0.69,0.74,0.64,0.73,0.73,2094900
2016-03-17,0.7,0.73,0.66,0.66,0.66,1110400
2016-03-18,0.7,0.71,0.67,0.71,0.71,730600
2016-03-21,0.71,0.72,0.71,0.72,0.72,10000
2016-03-22,0.7,0.76,0.68,0.73,0.73,1568200
2016-03-23,0.73,0.78,0.73,0.73,0.73,736800
2016-03-24,0.74,0.74,0.69,0.7,0.7,1296400
2016-03-25,0.74,0.83,0.7,0.77,0.77,1785600
2016-03-28,0.71,0.77,0.71,0.74,0.74,1914300
2016-03-29,0.77,0.78,0.74,0.74,0.74,775400
2016-03-30,0.78,0.79,0.73,0.74,0.74,1376600
2016-03-31,0.75,0.76,0.74,0.74,0.74,358000
2016-04-01,0.73,0.75,0.73,0.75,0.75,363800
2016-04-04,0.79,0.83,0.78,0.79,0.79,1910600
2016-04-05,0.81,0.84,0.81,0.82,0.82,2265500
2016-04-07,0.77,0.86,0.77,0.82,0.82,2217900
2016-04-08,0.83,0.88,0.82,0.82,0.82,1009400
2016-04-11,0.84,0.84,0.72,0.74,0.74,384000
2016-04-12,0.78,0.84,0.76,0.77,0.77,1963000
2016-04-18,0.77,0.91,0.77,0.9,0.9,2561600
2016-04-19,0.96,0.98,0.82,0.94,0.94,2816800
2016-04-20,0.87,0.98,0.87,0.92,0.92,2331800
2016-04-21,0.96,0.96,0.89,0.89,0.89,1582800
