Date,Open,High,Low,Close,Adj Close,Volume
1995-12-13,18.4,18.4,16.9,18,18,5287000
1995-12-14,17.8,18,16.8,17,17,713000
1995-12-15,17,17,16.2,16.2,16.2,871000
1995-12-18,16.1,16.7,16,16.3,16.3,314000
1995-12-19,16,16.2,15.9,16.2,16.2,171000
1995-12-20,16.3,16.7,16.3,16.7,16.7,474000
1995-12-21,16.7,16.7,16.3,16.5,16.5,232000
1995-12-22,16.5,16.8,16.2,16.8,16.8,491000
1995-12-25,16.6,17.2,16.4,17.2,17.2,274000
1995-12-26,17,17.3,16.8,17.3,17.3,213000
1995-12-27,16.8,17.5,16.8,17.4,17.4,275000
1995-12-28,17,17.6,16.9,17.6,17.6,663000
1995-12-29,17.3,17.4,17.2,17.3,17.3,2762000
1996-01-03,17.2,17.3,16.9,16.9,16.9,103000
1996-01-04,17,17.2,16.7,16.7,16.7,94000
1996-01-05,16.9,16.9,16.6,16.6,16.6,19000
1996-01-08,16.9,17.1,16.4,16.4,16.4,123000
1996-01-09,16.2,16.8,16.2,16.8,16.8,34000
1996-01-10,16.7,16.7,16.5,16.6,16.6,25000
1996-01-11,16.4,16.9,16.2,16.7,16.7,60000
1996-01-12,16.9,16.9,16.4,16.4,16.4,8000
1996-01-15,16.6,16.6,16.1,16.2,16.2,76000
1996-01-16,16,16.7,16,16.5,16.5,193000
1996-01-17,16.8,17.2,16.7,17.1,17.1,424000
1996-01-18,17.1,17.1,16.7,16.7,16.7,165000
1996-01-19,17.1,17.4,17,17.3,17.3,464000
1996-01-22,17.3,17.5,17.3,17.3,17.3,156000
1996-01-23,16.9,17.3,16.9,17,17,72000
1996-01-24,16.9,17,16.9,16.9,16.9,40000
1996-01-25,17,17.2,17,17,17,60000
1996-01-29,17.1,17.5,17.1,17.2,17.2,174000
1996-01-30,17.2,17.3,17,17.2,17.2,1509000
1996-01-31,17.3,17.3,17,17.2,17.2,1037000
1996-02-01,17.3,17.3,16.7,17,17,160000
1996-02-02,17.2,17.2,16.8,17.1,17.1,13000
1996-02-05,17.2,17.3,17.2,17.3,17.3,7000
1996-02-06,16.8,17.1,16.8,17.1,17.1,7000
1996-02-07,17,17,17,17,17,2000
1996-02-08,16.7,16.8,16.6,16.8,16.8,26000
1996-02-09,16.6,16.8,16.5,16.7,16.7,14000
1996-02-12,16.6,16.7,16.5,16.5,16.5,10000
1996-02-13,16.5,16.7,16.3,16.3,16.3,27000
