Date,Open,High,Low,Close,Adj Close,Volume
2018-08-28,0.51,0.52,0.49,0.49,0.49,6030200
2018-08-29,0.49,0.51,0.49,0.51,0.51,2215400
2018-08-30,0.54,0.54,0.52,0.53,0.53,4743600
2018-08-31,0.5,0.52,0.5,0.52,0.52,2572000
2018-09-03,0.53,0.57,0.53,0.56,0.56,6266000
2018-09-04,0.55,0.56,0.54,0.54,0.54,3598500
2018-09-05,0.52,0.52,0.46,0.46,0.46,3943300
2018-09-06,0.46,0.5,0.46,0.49,0.49,3352700
2018-09-07,0.48,0.48,0.47,0.47,0.47,1258400
2018-09-10,0.47,0.49,0.47,0.48,0.48,1265800
2018-09-11,0.47,0.5,0.46,0.46,0.46,4160200
2018-09-12,0.45,0.45,0.42,0.44,0.44,3604500
2018-09-13,0.46,0.5,0.46,0.49,0.49,3448000
2018-09-14,0.48,0.53,0.48,0.53,0.53,3208600
2018-09-17,0.53,0.54,0.5,0.51,0.51,2402200
2018-09-18,0.51,0.64,0.51,0.64,0.64,12654400
2018-09-19,0.72,0.72,0.69,0.7,0.7,8836200
2018-09-20,0.68,0.74,0.63,0.73,0.73,7210000
2018-09-21,0.74,0.77,0.72,0.74,0.74,8033400
2018-09-24,0.76,0.76,0.73,0.74,0.74,3624300
2018-09-25,0.74,0.75,0.72,0.73,0.73,3205500
2018-09-26,0.74,0.79,0.73,0.77,0.77,4916500
2018-09-27,0.77,0.77,0.75,0.75,0.75,3119600
2018-09-28,0.76,0.76,0.7,0.74,0.74,3965600
2018-10-01,0.76,0.8,0.75,0.78,0.78,6598000
2018-10-02,0.75,0.76,0.68,0.7,0.7,5479100
2018-10-03,0.72,0.72,0.61,0.61,0.61,2138500
2018-10-04,0.57,0.58,0.52,0.56,0.56,4565600
2018-10-05,0.55,0.57,0.54,0.54,0.54,1928700
2018-10-08,0.55,0.56,0.49,0.49,0.49,3383400
2018-10-09,0.49,0.51,0.47,0.48,0.48,2902300
2018-10-10,0.52,0.53,0.5,0.53,0.53,2503900
2018-10-11,0.45,0.48,0.43,0.43,0.43,6831800
2018-10-12,0.44,0.45,0.42,0.42,0.42,3590500
2018-10-16,0.42,0.42,0.37,0.39,0.39,2618900
2018-10-17,0.4,0.4,0.32,0.32,0.32,4615800
2018-10-18,0.3,0.3,0.19,0.2,0.2,11547400
2018-10-19,0.2,0.21,0.16,0.17,0.17,6388800
2018-10-22,0.18,0.18,0.14,0.14,0.14,2742500
2018-10-24,0.13,0.16,0.13,0.14,0.14,1944100
2018-10-25,0.15,0.2,0.15,0.19,0.19,4058500
2018-10-26,0.18,0.2,0.18,0.19,0.19,2828100
2018-10-29,0.21,0.23,0.19,0.22,0.22,4012100
2018-10-30,0.23,0.23,0.2,0.21,0.21,2285500
2018-10-31,0.22,0.23,0.21,0.21,0.21,1455900
2018-11-01,0.23,0.23,0.2,0.21,0.21,1582400
2018-11-02,0.22,0.24,0.22,0.24,0.24,2762500
2018-11-05,0.23,0.23,0.22,0.22,0.22,1212300
2018-11-06,0.22,0.23,0.2,0.2,0.2,1573200
2018-11-07,0.21,0.21,0.16,0.17,0.17,2239100
2018-11-08,0.18,0.18,0.16,0.17,0.17,1228600
2018-11-09,0.16,0.17,0.15,0.16,0.16,3308400
2018-11-12,0.15,0.15,0.12,0.12,0.12,1433000
2018-11-13,0.12,0.13,0.12,0.13,0.13,2280300
2018-11-14,0.13,0.13,0.13,0.13,0.13,140000
2018-11-15,0.12,0.12,0.1,0.1,0.1,1823700
2018-11-16,0.1,0.11,0.1,0.11,0.11,1530500
2018-11-19,0.11,0.12,0.11,0.12,0.12,1452000
2018-11-20,0.12,0.12,0.11,0.11,0.11,687500
2018-11-21,0.1,0.11,0.1,0.11,0.11,1200400
2018-11-22,0.1,0.1,0.09,0.09,0.09,360600
2018-11-23,0.09,0.09,0.09,0.09,0.09,626800
2018-11-26,0.1,0.12,0.1,0.12,0.12,1217000
2018-11-27,0.12,0.12,0.11,0.11,0.11,1179200
2018-11-28,0.11,0.12,0.11,0.11,0.11,494000
2018-11-29,0.12,0.12,0.11,0.11,0.11,123800
