Date,Open,High,Low,Close,Adj Close,Volume
2017-09-18,0.85,0.92,0.85,0.89,0.89,1331900
2017-09-19,0.9,0.91,0.86,0.9,0.9,330200
2017-09-20,0.88,0.88,0.86,0.87,0.87,173100
2017-09-21,0.88,0.88,0.87,0.87,0.87,30100
2017-09-22,0.84,0.84,0.81,0.81,0.81,556900
2017-09-25,0.8,0.84,0.79,0.84,0.84,114100
2017-09-26,0.86,0.86,0.85,0.85,0.85,95100
2017-09-27,0.86,0.86,0.85,0.85,0.85,27700
2017-09-28,0.86,0.87,0.81,0.82,0.82,33300
2017-09-29,0.84,0.85,0.84,0.85,0.85,7000
2017-10-02,0.87,0.92,0.87,0.91,0.91,39400
2017-10-03,0.94,0.94,0.91,0.92,0.92,47900
2017-10-04,0.96,0.96,0.89,0.89,0.89,180000
2017-10-05,0.88,0.9,0.87,0.9,0.9,32100
2017-10-06,0.92,0.93,0.91,0.91,0.91,54900
2017-10-09,0.92,0.92,0.91,0.91,0.91,19200
2017-10-10,0.9,0.98,0.88,0.98,0.98,174800
2017-10-11,1.01,1.01,0.99,1,1,80000
2017-10-12,1.02,1.03,0.99,0.99,0.99,175200
2017-10-16,1.03,1.07,1.03,1.07,1.07,102600
2017-10-17,1.05,1.05,1.04,1.05,1.05,6803600
2017-10-18,1.03,1.03,0.98,0.98,0.98,325000
2017-10-19,0.97,0.98,0.85,0.86,0.86,2599400
2017-10-20,0.8,0.9,0.8,0.89,0.89,24728600
2017-10-24,0.89,0.93,0.89,0.92,0.92,27723900
2017-10-25,0.94,0.94,0.92,0.92,0.92,32844900
2017-10-27,0.95,0.98,0.95,0.96,0.96,13182800
2017-10-30,0.93,0.99,0.91,0.99,0.99,11676400
2017-10-31,1,1.01,0.98,0.99,0.99,5094500
2017-11-01,1.01,1.01,0.95,0.95,0.95,16124400
2017-11-02,0.94,0.94,0.88,0.88,0.88,29179800
2017-11-03,0.9,0.9,0.85,0.87,0.87,14038000
2017-11-06,0.87,0.91,0.84,0.91,0.91,29243600
2017-11-07,0.94,0.96,0.93,0.94,0.94,2292700
2017-11-08,0.94,0.95,0.92,0.93,0.93,21523600
2017-11-09,0.95,0.95,0.88,0.89,0.89,25700900
2017-11-10,0.86,0.87,0.83,0.83,0.83,10398600
2017-11-13,0.79,0.82,0.79,0.82,0.82,2621000
2017-11-14,0.83,0.9,0.82,0.9,0.9,2590000
2017-11-15,0.88,0.88,0.82,0.84,0.84,3980100
2017-11-16,0.84,0.87,0.84,0.85,0.85,4369300
2017-11-17,0.9,0.93,0.89,0.93,0.93,5114400
2017-11-20,0.96,0.96,0.94,0.94,0.94,855100
2017-11-21,0.95,0.95,0.92,0.95,0.95,7092200
2017-11-22,0.96,0.98,0.96,0.96,0.96,2027800
2017-11-23,0.96,0.97,0.94,0.94,0.94,5323200
2017-11-24,0.89,0.9,0.87,0.87,0.87,3412400
2017-11-27,0.86,0.89,0.86,0.89,0.89,2844300
2017-11-28,0.9,0.93,0.9,0.93,0.93,5419800
2017-11-29,0.95,0.95,0.94,0.94,0.94,73100
