Date,Open,High,Low,Close,Adj Close,Volume
2017-12-29,0.46,0.46,0.46,0.46,0.46,602000
2018-01-03,0.5,0.73,0.5,0.72,0.72,124925300
2018-01-04,0.75,0.82,0.7,0.81,0.81,115591000
2018-01-05,0.85,0.88,0.79,0.83,0.83,92721000
2018-01-08,0.79,0.91,0.72,0.73,0.73,105670100
2018-01-09,0.73,0.74,0.64,0.71,0.71,127893300
2018-01-10,0.76,0.81,0.7,0.71,0.71,99138800
2018-01-11,0.68,0.75,0.64,0.75,0.75,82677500
2018-01-12,0.81,0.88,0.8,0.81,0.81,87316400
2018-01-15,0.89,1,0.89,0.96,0.96,95029100
2018-01-16,1.08,1.1,0.95,0.95,0.95,128993800
2018-01-17,0.87,0.98,0.86,0.98,0.98,119035200
2018-01-18,1.04,1.06,0.86,0.86,0.86,131550000
2018-01-19,0.78,0.87,0.71,0.84,0.84,128629600
2018-01-22,0.8,0.9,0.78,0.85,0.85,115647000
2018-01-23,0.93,0.97,0.86,0.91,0.91,105072200
2018-01-24,0.89,1,0.89,1,1,121381700
2018-01-25,1.02,1.03,0.75,0.75,0.75,104229400
2018-01-26,0.73,0.86,0.65,0.86,0.86,189370600
2018-01-29,0.91,0.95,0.86,0.94,0.94,75669700
2018-01-30,0.87,0.88,0.71,0.78,0.78,149143000
2018-01-31,0.67,0.8,0.65,0.78,0.78,151768900
2018-02-01,0.78,0.82,0.74,0.82,0.82,94253000
2018-02-02,0.8,0.82,0.69,0.69,0.69,80615000
2018-02-05,0.55,0.58,0.5,0.53,0.53,127997800
2018-02-06,0.33,0.41,0.32,0.38,0.38,87952900
2018-02-07,0.44,0.45,0.33,0.33,0.33,71206800
2018-02-08,0.34,0.39,0.32,0.33,0.33,54483200
2018-02-09,0.22,0.31,0.22,0.28,0.28,48627600
2018-02-12,0.31,0.35,0.29,0.35,0.35,32775800
2018-02-13,0.37,0.37,0.31,0.31,0.31,50380300
2018-02-14,0.33,0.35,0.3,0.3,0.3,46410200
2018-02-15,0.32,0.37,0.3,0.37,0.37,39232300
2018-02-16,0.37,0.39,0.36,0.37,0.37,26251300
2018-02-19,0.39,0.42,0.38,0.39,0.39,32757000
2018-02-20,0.37,0.38,0.3,0.3,0.3,42485900
2018-02-21,0.35,0.36,0.31,0.35,0.35,32462400
2018-02-22,0.32,0.37,0.3,0.31,0.31,56476400
2018-02-23,0.33,0.4,0.29,0.4,0.4,47861700
2018-02-26,0.42,0.69,0.41,0.69,0.69,55803100
2018-02-27,0.77,1.02,0.67,0.67,0.67,109408100
2018-02-28,0.65,0.82,0.62,0.7,0.7,132457000
2018-03-02,0.57,0.57,0.4,0.4,0.4,72905100
2018-03-05,0.41,0.46,0.36,0.36,0.36,44335700
2018-03-06,0.4,0.48,0.32,0.33,0.33,81202200
2018-03-07,0.27,0.34,0.26,0.26,0.26,14182200
2018-03-08,0.3,0.3,0.16,0.16,0.16,11476800
2018-03-09,0.21,0.21,0.13,0.16,0.16,67039100
2018-03-12,0.22,0.32,0.22,0.32,0.32,45316100
2018-03-13,0.27,0.36,0.25,0.34,0.34,56332300
2018-03-14,0.3,0.34,0.28,0.29,0.29,51736700
2018-03-15,0.29,0.34,0.28,0.32,0.32,44036400
2018-03-16,0.27,0.27,0.22,0.24,0.24,64626100
2018-03-19,0.2,0.2,0.13,0.13,0.13,29222000
2018-03-20,0.11,0.13,0.09,0.11,0.11,25457700
2018-03-21,0.12,0.13,0.09,0.09,0.09,26328600
2018-03-22,0.1,0.13,0.07,0.07,0.07,37964400
2018-03-23,0.03,0.04,0.02,0.03,0.03,46245200
2018-03-26,0.03,0.04,0.02,0.04,0.04,14976400
2018-03-27,0.03,0.03,0.03,0.03,0.03,18079800
2018-03-28,0.01,0.02,0.01,0.01,0.01,3422600
2018-03-29,0.01,0.01,0.01,0.01,0.01,3816800
