Date,Open,High,Low,Close,Adj Close,Volume
2016-05-04,1.09,1.1,1.07,1.09,1.09,767900
2016-05-09,1.07,1.1,1.03,1.03,1.03,4074200
2016-05-10,1.07,1.09,1.04,1.06,1.06,7531800
2016-05-11,1.06,1.11,1.04,1.1,1.1,37313300
2016-05-12,1.09,1.09,1.01,1.02,1.02,9867600
2016-05-13,1,1.02,0.97,1.01,1.01,30762800
2016-05-16,0.98,1.02,0.95,0.99,0.99,15780500
2016-05-17,0.95,0.96,0.91,0.93,0.93,11823000
2016-05-18,0.92,0.96,0.91,0.94,0.94,15321500
2016-05-19,0.96,1.03,0.96,1.03,1.03,14292300
2016-05-23,1,1.05,1,1.04,1.04,7550500
2016-05-24,1.02,1.06,1.01,1.01,1.01,17156400
2016-05-25,0.96,0.98,0.96,0.97,0.97,10804500
2016-05-26,0.95,0.96,0.93,0.93,0.93,8877100
2016-05-27,0.93,0.94,0.88,0.88,0.88,7089800
2016-05-30,0.82,0.84,0.8,0.83,0.83,8248300
2016-05-31,0.8,0.84,0.79,0.81,0.81,47933300
2016-06-01,0.82,0.86,0.8,0.85,0.85,27223000
2016-06-02,0.85,0.85,0.8,0.82,0.82,24214000
2016-06-03,0.8,0.81,0.76,0.76,0.76,38313400
2016-06-06,0.74,0.74,0.72,0.73,0.73,28733100
2016-06-07,0.72,0.73,0.7,0.72,0.72,20309300
2016-06-08,0.72,0.76,0.7,0.7,0.7,28334500
2016-06-09,0.69,0.74,0.68,0.73,0.73,58029200
2016-06-10,0.75,0.78,0.74,0.77,0.77,22534400
2016-06-13,0.83,0.85,0.8,0.82,0.82,18647800
2016-06-14,0.82,0.82,0.78,0.79,0.79,41789800
2016-06-15,0.77,0.8,0.75,0.75,0.75,46142100
2016-06-16,0.79,0.87,0.79,0.87,0.87,53051600
2016-06-17,0.84,0.86,0.82,0.83,0.83,43717500
2016-06-20,0.8,0.81,0.79,0.8,0.8,75343100
2016-06-21,0.8,0.81,0.75,0.76,0.76,28003800
2016-06-22,0.74,0.8,0.74,0.78,0.78,38590500
2016-06-23,0.78,0.82,0.7,0.71,0.71,51673400
2016-06-24,0.84,0.93,0.82,0.85,0.85,168049400
2016-06-27,0.86,0.87,0.79,0.8,0.8,71810500
2016-06-28,0.79,0.8,0.74,0.74,0.74,32422500
2016-06-29,0.68,0.71,0.67,0.69,0.69,88779800
2016-06-30,0.66,0.73,0.65,0.7,0.7,60369500
2016-07-04,0.63,0.65,0.62,0.62,0.62,47415200
2016-07-05,0.62,0.66,0.6,0.63,0.63,85571500
2016-07-06,0.68,0.68,0.62,0.64,0.64,75702700
2016-07-07,0.61,0.62,0.58,0.59,0.59,43873400
2016-07-08,0.62,0.65,0.6,0.61,0.61,50327800
2016-07-11,0.55,0.56,0.53,0.53,0.53,8182200
2016-07-12,0.51,0.54,0.48,0.49,0.49,42612600
2016-07-13,0.46,0.47,0.44,0.47,0.47,63297500
2016-07-14,0.46,0.46,0.4,0.4,0.4,64635200
2016-07-15,0.37,0.39,0.36,0.38,0.38,45201000
2016-07-20,0.32,0.33,0.27,0.27,0.27,13857000
2016-07-21,0.25,0.28,0.23,0.27,0.27,14921800
2016-07-22,0.28,0.29,0.23,0.23,0.23,10568600
2016-07-25,0.23,0.23,0.2,0.21,0.21,1883900
2016-07-26,0.2,0.25,0.19,0.22,0.22,7478900
2016-07-27,0.19,0.19,0.17,0.17,0.17,7339400
2016-07-28,0.14,0.17,0.11,0.11,0.11,5585300
2016-07-29,0.07,0.07,0.02,0.02,0.02,7150200
